Link;ID ;nlat;slat;elon;wlon;region;fecha;anio
https://xeno-canto.org/127873;XC127873;4.48;4.23;-75.48;-75.73;Tolima;21/03/2013;2013
https://xeno-canto.org/299429;XC299429;4.7;4.45;-75.53;-75.78;Risaralda;13/02/2014;2014
https://xeno-canto.org/311839;XC311839;6.41;6.16;-75.97;-76.22;Antioquia;15/08/2014;2014
https://xeno-canto.org/202803;XC202803;6.11;5.86;-75.55;-75.8;Antioquia;16/11/2014;2014
https://xeno-canto.org/211079;XC211079;4.9;4.65;-73.93;-74.18;Cundinamarca;10/01/2015;2015
https://xeno-canto.org/211072;XC211072;4.9;4.65;-73.92;-74.17;Cundinamarca;17/01/2015;2015
https://xeno-canto.org/215991;XC215991;5.73;5.48;-73.38;-73.63;Boyaca;3/03/2015;2015
https://xeno-canto.org/245523;XC245523;5.25;5;-72.88;-73.13;Casanare;8/04/2015;2015
https://xeno-canto.org/245534;XC245534;5.25;5;-72.88;-73.13;Casanare;9/04/2015;2015
https://xeno-canto.org/245584;XC245584;5.33;5.08;-72.77;-73.02;Casanare;11/04/2015;2015
https://xeno-canto.org/247859;XC247859;1.23;0.98;-76.93;-77.18;Putumayo;3/06/2015;2015
https://xeno-canto.org/402340;XC267703;4.86;4.61;-74.08;-74.33;Boyaca;2/08/2015;2015
https://xeno-canto.org/302211;XC302211;4.72;4.47;-75.58;-75.83;Quindio;31/01/2016;2016
https://xeno-canto.org/308138;XC308138;4.8;4.55;-73.79;-74.04;Cundinamarca;22/03/2016;2016
https://macaulaylibrary.org/asset/215054161;ML215054161;4.61;4.36;-74.31;-74.56;Cundinamarca;1/04/2016;2016
https://xeno-canto.org/312397;XC312397;4.61;4.36;-74.32;-74.57;Cundinamarca;1/04/2016;2016
https://xeno-canto.org/331468;XC331468;6.82;6.57;-75.33;-75.58;Antioquia;8/04/2016;2016
https://xeno-canto.org/331467;XC331467;6.82;6.57;-75.33;-75.58;Antioquia;8/04/2016;2016
https://macaulaylibrary.org/asset/90485401;ML90485401;4.81;4.56;-73.78;-74.03;Cundinamarca;22/11/2016;2016
https://macaulaylibrary.org/asset/46892261;ML46892261;10.36;10.11;-72.95;-73.2;Cesar;14/12/2016;2016
https://xeno-canto.org/376458;XC376458;4.65;4.4;-75.47;-75.72;Quindio;11/02/2017;2017
https://macaulaylibrary.org/asset/134949711;ML134949711;5.71;5.46;-73.46;-73.71;Boyaca;21/05/2017;2017
https://xeno-canto.org/423762;XC423762;4.57;4.32;-75.33;-75.58;Tolima;14/06/2017;2017
https://macaulaylibrary.org/asset/69012591;ML69012591;5.79;5.54;-73.52;-73.77;Boyaca;5/09/2017;2017
https://macaulaylibrary.org/asset/83789761;ML83789761;5.79;5.54;-73.52;-73.77;Boyaca;13/01/2018;2018
https://xeno-canto.org/402340;XC402340;5.8;5.55;-73.52;-73.77;Boyaca;13/01/2018;2018
https://macaulaylibrary.org/asset/87782381;ML87782381;5.54;5.29;-75.8;-76.05;Antioquia;1/02/2018;2018
https://macaulaylibrary.org/asset/98599161;ML98599161;4.49;4.24;-75.2;-75.45;Tolima;5/05/2018;2018
https://macaulaylibrary.org/asset/104776411;ML104776411;10.36;10.11;-72.98;-73.23;Cesar;4/06/2018;2018
https://xeno-canto.org/432481;XC432481;4.61;4.36;-74.31;-74.56;Cundinamarca;8/07/2018;2018
https://xeno-canto.org/442567;XC442567;4.77;4.52;-75.62;-75.87;Risaralda;14/11/2018;2018
https://macaulaylibrary.org/asset/145137171;ML145137171;5.07;4.82;-75.44;-75.69;Caldas;27/02/2019;2019
https://xeno-canto.org/460825;XC460825;4.98;4.73;-74.22;-74.47;Cundinamarca;7/03/2019;2019
https://macaulaylibrary.org/asset/155228091;ML155228091;5.5;5.25;-73.37;-73.62;Boyaca;20/04/2019;2019
https://xeno-canto.org/469911;XC469911;5.49;5.24;-73.36;-73.61;Boyaca;20/04/2019;2019
https://macaulaylibrary.org/asset/160994421;ML160994421;5.48;5.23;-73.41;-73.66;Boyaca;26/05/2019;2019
https://xeno-canto.org/485489;XC485489;5.6;5.35;-73.91;-74.16;Boyaca;22/06/2019;2019
https://xeno-canto.org/484121;XC484121;7.36;7.11;-72.74;-72.99;Santander;23/06/2019;2023
https://macaulaylibrary.org/asset/168748811;ML168748811;4.7;4.45;-75.54;-75.79;Risaralda;6/07/2019;2019
https://macaulaylibrary.org/asset/176342261;ML176342261;4.53;4.28;-75.4;-75.65;Tolima;3/09/2019;2019
https://macaulaylibrary.org/asset/176085171;ML176085171;5.48;5.23;-73.41;-73.66;Boyaca;7/09/2019;2019
https://macaulaylibrary.org/asset/185348451;ML185348451;5.07;4.82;-75.45;-75.7;Caldas;22/09/2019;2019
https://macaulaylibrary.org/asset/246946471;ML246946471;4.99;4.74;-74.22;-74.47;Cundinamarca;9/12/2019;2019
https://xeno-canto.org/572856;XC572856;4.99;4.74;-74.22;-74.47;Cundinamarca;9/12/2019;2019
https://macaulaylibrary.org/asset/215584781;ML215584781;4.61;4.36;-74.3;-74.55;Cundinamarca;1/03/2020;2020
