Selection;View;Channel;Begin Time (s);End Time (s);Low Freq (Hz);High Freq (Hz);Delta Time (s);Peak Freq (Hz);total_elements;note;singing;ID;nombre_archivo
1;Waveform 1;1;1.996433122;2.288295529;1592.1;1949;0.292;NA;3;d;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
1;Spectrogram 1;1;1.996433122;2.288295529;1592.1;1949;0.292;1808.8;3;d;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
2;Waveform 1;1;2.37900952;2.789194523;1372.5;1866.6;0.41;NA;3;d;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
2;Spectrogram 1;1;2.37900952;2.789194523;1372.5;1866.6;0.41;1722.7;3;d;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
3;Waveform 1;1;2.860188081;3.155994574;1202.6;2301.4;0.296;NA;3;d;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
3;Spectrogram 1;1;2.860188081;3.155994574;1202.6;2301.4;0.296;1722.7;3;d;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
4;Waveform 1;1;1.996433122;3.155994574;1162.1;2300;1.16;NA;3;t;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
4;Spectrogram 1;1;1.996433122;3.155994574;1162.1;2300;1.16;1722.7;3;t;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
5;Waveform 1;1;2.292239615;2.375065433;1186.3;2300;0.083;NA;0;cad;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
5;Spectrogram 1;1;2.292239615;2.375065433;1186.3;2300;0.083;1722.7;0;cad;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
6;Waveform 1;1;2.793138609;2.860188081;1186.3;2300;0.067;NA;0;cad;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
6;Spectrogram 1;1;2.793138609;2.860188081;1186.3;2300;0.067;1550.4;0;cad;1;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
7;Waveform 1;1;9.635982623;10.00411615;1577;1892.4;0.368;NA;3;d;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
7;Spectrogram 1;1;9.635982623;10.00411615;1577;1892.4;0.368;1722.7;3;d;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
8;Waveform 1;1;10.16866068;10.53679421;1357.6;1768.9;0.368;NA;3;d;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
8;Spectrogram 1;1;10.16866068;10.53679421;1357.6;1768.9;0.368;1464.3;3;d;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
9;Waveform 1;1;10.67344984;10.99138334;1302.7;1810.1;0.318;NA;3;d;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
9;Spectrogram 1;1;10.67344984;10.99138334;1302.7;1810.1;0.318;1722.7;3;d;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
10;Waveform 1;1;9.635982623;10.99138334;1287.5;1885.9;1.355;NA;3;t;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
10;Spectrogram 1;1;9.635982623;10.99138334;1287.5;1885.9;1.355;1722.7;3;t;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
11;Waveform 1;1;10.00690504;10.16587179;1287.5;1885.9;0.159;NA;0;cad;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
11;Spectrogram 1;1;10.00690504;10.16587179;1287.5;1885.9;0.159;1722.7;0;cad;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
12;Waveform 1;1;10.54237199;10.67066095;1287.5;1885.9;0.128;NA;0;cad;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
12;Spectrogram 1;1;10.54237199;10.67066095;1287.5;1885.9;0.128;1722.7;0;cad;2;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
13;Waveform 1;1;26.17249963;26.43186643;1589.5;1893.9;0.259;NA;3;d;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
13;Spectrogram 1;1;26.17249963;26.43186643;1589.5;1893.9;0.259;1722.7;3;d;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
14;Waveform 1;1;26.56294428;26.87808889;1318.9;1775.5;0.315;NA;3;d;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
14;Spectrogram 1;1;26.56294428;26.87808889;1318.9;1775.5;0.315;1464.3;3;d;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
15;Waveform 1;1;27.03984453;27.37730027;1403.5;1843.1;0.337;NA;3;d;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
15;Spectrogram 1;1;27.03984453;27.37730027;1403.5;1843.1;0.337;1722.7;3;d;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
16;Waveform 1;1;26.17249963;27.37730027;1318.9;1893.9;1.205;NA;3;t;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
16;Spectrogram 1;1;26.17249963;27.37730027;1318.9;1893.9;1.205;1464.3;3;t;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
17;Waveform 1;1;26.43186643;26.56294428;1318.9;1877;0.131;NA;0;cad;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
17;Spectrogram 1;1;26.43186643;26.56294428;1318.9;1877;0.131;1722.7;0;cad;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
18;Waveform 1;1;26.88087778;27.03984453;1318.9;1893.9;0.159;NA;0;cad;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
18;Spectrogram 1;1;26.88087778;27.03984453;1318.9;1893.9;0.159;1550.4;0;cad;3;ML104776411 ;ML104776411_cesar_2018_MacaulayLibrary.Table.6.selections.txt
1;Waveform 1;1;45.41443459;45.51865148;1278;1949;0.104;NA;4;a;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
1;Spectrogram 1;1;45.41443459;45.51865148;1278;1949;0.104;1722.7;4;a;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
2;Waveform 1;1;45.76548097;46.35238664;1437.8;1853.1;0.587;NA;4;d;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
2;Spectrogram 1;1;45.76548097;46.35238664;1437.8;1853.1;0.587;1722.7;4;d;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
3;Waveform 1;1;46.42917804;46.85701582;1246.1;1597.5;0.428;NA;4;d;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
3;Spectrogram 1;1;46.42917804;46.85701582;1246.1;1597.5;0.428;1464.3;4;d;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
4;Waveform 1;1;46.98317312;47.2848536;1373.9;1789.2;0.302;NA;4;d;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
4;Spectrogram 1;1;46.98317312;47.2848536;1373.9;1789.2;0.302;1636.5;4;d;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
5;Waveform 1;1;45.41443459;47.2903387;1246.1;1949;1.876;NA;4;t;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
5;Spectrogram 1;1;45.41443459;47.2903387;1246.1;1949;1.876;1636.5;4;t;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
6;Waveform 1;1;45.52962168;45.75999587;1246.1;1949;0.23;NA;0;cad;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
6;Spectrogram 1;1;45.52962168;45.75999587;1246.1;1949;0.23;1378.1;0;cad;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
7;Waveform 1;1;46.35238664;46.41820784;1246.1;1949;0.066;NA;0;cad;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
7;Spectrogram 1;1;46.35238664;46.41820784;1246.1;1949;0.066;1636.5;0;cad;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
8;Waveform 1;1;46.84604562;46.97220292;1246.1;1949;0.126;NA;0;cad;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
8;Spectrogram 1;1;46.84604562;46.97220292;1246.1;1949;0.126;1464.3;0;cad;1;ML134949711;ML134949711_boyaca_2017_MacaulayLibrary.Table.5.selections.txt
1;Waveform 1;1;11.02344986;11.48560127;1521.7;1776.6;0.462;NA;3;d;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
1;Spectrogram 1;1;11.02344986;11.48560127;1521.7;1776.6;0.462;1636.5;3;d;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
2;Waveform 1;1;11.5663656;11.99262175;1334;1688.4;0.426;NA;3;d;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
2;Spectrogram 1;1;11.5663656;11.99262175;1334;1688.4;0.426;1550.4;3;d;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
3;Waveform 1;1;12.11825514;12.42336481;1458.4;1750.1;0.305;NA;3;d;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
3;Spectrogram 1;1;12.11825514;12.42336481;1458.4;1750.1;0.305;1636.5;3;d;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
4;Waveform 1;1;11.01896296;12.42785172;1299.3;1776.6;1.409;NA;3;t;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
4;Spectrogram 1;1;11.01896296;12.42785172;1299.3;1776.6;1.409;1636.5;3;t;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
5;Waveform 1;1;11.49008818;11.5663656;1272.8;1776.6;0.076;NA;0;cad;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
5;Spectrogram 1;1;11.49008818;11.5663656;1272.8;1776.6;0.076;1636.5;0;cad;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
6;Waveform 1;1;11.99710866;12.11825514;1299.3;1750.1;0.121;NA;0;cad;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
6;Spectrogram 1;1;11.99710866;12.11825514;1299.3;1750.1;0.121;1464.3;0;cad;1;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
7;Waveform 1;1;23.49499271;23.91676196;1447.8;1744.8;0.422;NA;3;d;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
7;Spectrogram 1;1;23.49499271;23.91676196;1447.8;1744.8;0.422;1636.5;3;d;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
8;Waveform 1;1;24.03790845;24.49108604;1336.4;1670.5;0.453;NA;3;d;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
8;Spectrogram 1;1;24.03790845;24.49108604;1336.4;1670.5;0.453;1464.3;3;d;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
9;Waveform 1;1;24.57185037;24.93080292;1373.6;1819;0.359;NA;3;d;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
9;Spectrogram 1;1;24.57185037;24.93080292;1373.6;1819;0.359;1636.5;3;d;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
12;Waveform 1;1;23.49050581;24.93528982;1336.4;1819;1.445;NA;3;t;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
12;Spectrogram 1;1;23.49050581;24.93528982;1336.4;1819;1.445;1636.5;3;t;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
13;Waveform 1;1;23.91676196;24.02893463;1336.4;1819;0.112;NA;0;cad;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
13;Spectrogram 1;1;23.91676196;24.02893463;1336.4;1819;0.112;1636.5;0;cad;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
14;Waveform 1;1;24.49557295;24.57185037;1299.3;1819;0.076;NA;0;cad;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
