Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.996433122	2.288295529	1592.1	1949.0		0.292		3	d	1	ML104776411 
1	Spectrogram 1	1	1.996433122	2.288295529	1592.1	1949.0	1808.8	0.292	109.3	3	d	1	ML104776411 
2	Waveform 1	1	2.379009520	2.789194523	1372.5	1866.6		0.410		3	d	1	ML104776411 
2	Spectrogram 1	1	2.379009520	2.789194523	1372.5	1866.6	1722.7	0.410	112.3	3	d	1	ML104776411 
3	Waveform 1	1	2.860188081	3.155994574	1202.6	2301.4		0.296		3	d	1	ML104776411 
3	Spectrogram 1	1	2.860188081	3.155994574	1202.6	2301.4	1722.7	0.296	111.6	3	d	1	ML104776411 
4	Waveform 1	1	1.996433122	3.155994574	1162.1	2300.0		1.160		3	t	1	ML104776411 
4	Spectrogram 1	1	1.996433122	3.155994574	1162.1	2300.0	1722.7	1.160	112.3	3	t	1	ML104776411 
5	Waveform 1	1	2.292239615	2.375065433	1186.3	2300.0		0.083		NA	cad	1	ML104776411 
5	Spectrogram 1	1	2.292239615	2.375065433	1186.3	2300.0	1722.7	0.083	88.1	NA	cad	1	ML104776411 
6	Waveform 1	1	2.793138609	2.860188081	1186.3	2300.0		0.067		NA	cad	1	ML104776411 
6	Spectrogram 1	1	2.793138609	2.860188081	1186.3	2300.0	1550.4	0.067	91.8	NA	cad	1	ML104776411 
7	Waveform 1	1	9.635982623	10.004116150	1577.0	1892.4		0.368		3	d	2	ML104776411 
7	Spectrogram 1	1	9.635982623	10.004116150	1577.0	1892.4	1722.7	0.368	109.3	3	d	2	ML104776411 
8	Waveform 1	1	10.168660681	10.536794209	1357.6	1768.9		0.368		3	d	2	ML104776411 
8	Spectrogram 1	1	10.168660681	10.536794209	1357.6	1768.9	1464.3	0.368	114.2	3	d	2	ML104776411 
9	Waveform 1	1	10.673449836	10.991383337	1302.7	1810.1		0.318		3	d	2	ML104776411 
9	Spectrogram 1	1	10.673449836	10.991383337	1302.7	1810.1	1722.7	0.318	114.4	3	d	2	ML104776411 
10	Waveform 1	1	9.635982623	10.991383337	1287.5	1885.9		1.355		3	t	2	ML104776411 
10	Spectrogram 1	1	9.635982623	10.991383337	1287.5	1885.9	1722.7	1.355	114.4	3	t	2	ML104776411 
11	Waveform 1	1	10.006905040	10.165871791	1287.5	1885.9		0.159		NA	cad	2	ML104776411 
11	Spectrogram 1	1	10.006905040	10.165871791	1287.5	1885.9	1722.7	0.159	96.3	NA	cad	2	ML104776411 
12	Waveform 1	1	10.542371989	10.670660946	1287.5	1885.9		0.128		NA	cad	2	ML104776411 
12	Spectrogram 1	1	10.542371989	10.670660946	1287.5	1885.9	1722.7	0.128	97.3	NA	cad	2	ML104776411 
13	Waveform 1	1	26.172499630	26.431866433	1589.5	1893.9		0.259		3	d	3	ML104776411 
13	Spectrogram 1	1	26.172499630	26.431866433	1589.5	1893.9	1722.7	0.259	105.9	3	d	3	ML104776411 
14	Waveform 1	1	26.562944280	26.878088890	1318.9	1775.5		0.315		3	d	3	ML104776411 
14	Spectrogram 1	1	26.562944280	26.878088890	1318.9	1775.5	1464.3	0.315	112.8	3	d	3	ML104776411 
15	Waveform 1	1	27.039844531	27.377300265	1403.5	1843.1		0.337		3	d	3	ML104776411 
15	Spectrogram 1	1	27.039844531	27.377300265	1403.5	1843.1	1722.7	0.337	111.5	3	d	3	ML104776411 
16	Waveform 1	1	26.172499630	27.377300265	1318.9	1893.9		1.205		3	t	3	ML104776411 
16	Spectrogram 1	1	26.172499630	27.377300265	1318.9	1893.9	1464.3	1.205	112.8	3	t	3	ML104776411 
17	Waveform 1	1	26.431866433	26.562944280	1318.9	1877.0		0.131		NA	cad	3	ML104776411 
17	Spectrogram 1	1	26.431866433	26.562944280	1318.9	1877.0	1722.7	0.131	91.9	NA	cad	3	ML104776411 
18	Waveform 1	1	26.880877781	27.039844531	1318.9	1893.9		0.159		NA	cad	3	ML104776411 
18	Spectrogram 1	1	26.880877781	27.039844531	1318.9	1893.9	1550.4	0.159	101.4	NA	cad	3	ML104776411 
