Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.416579595	3.789403205	1169.3	2004.5		0.373		3	d	1	ML167430121
1	Spectrogram 1	1	3.416579595	3.789403205	1169.3	2004.5	1808.8	0.373	115.3	3	d	1	ML167430121
2	Waveform 1	1	3.960597720	4.299182428	1113.6	1837.5		0.339		3	d	1	ML167430121
2	Spectrogram 1	1	3.960597720	4.299182428	1113.6	1837.5	1636.5	0.339	120.4	3	d	1	ML167430121
3	Waveform 1	1	4.428529395	4.732875200	1169.3	2004.5		0.304		3	d	1	ML167430121
3	Spectrogram 1	1	4.428529395	4.732875200	1169.3	2004.5	1808.8	0.304	126.7	3	d	1	ML167430121
4	Waveform 1	1	3.416579595	4.736679522	1148.4	1981.1		1.320		3	t	1	ML167430121
4	Spectrogram 1	1	3.416579595	4.736679522	1148.4	1981.1	1808.8	1.320	126.7	3	t	1	ML167430121
5	Waveform 1	1	3.785598883	3.956793398	1148.4	1981.1		0.171		NA	cad	1	ML167430121
5	Spectrogram 1	1	3.785598883	3.956793398	1148.4	1981.1	1808.8	0.171	97.6	NA	cad	1	ML167430121
6	Waveform 1	1	4.299182428	4.428529395	1148.4	1981.1		0.129		NA	cad	1	ML167430121
6	Spectrogram 1	1	4.299182428	4.428529395	1148.4	1981.1	1550.4	0.129	97.7	NA	cad	1	ML167430121
7	Waveform 1	1	43.924771415	43.997053544	1400.7	1852.6		0.072		4	a	2	ML167430121
7	Spectrogram 1	1	43.924771415	43.997053544	1400.7	1852.6	1722.7	0.072	92.2	4	a	2	ML167430121
8	Waveform 1	1	44.194878317	44.628571089	1581.5	2078.5		0.434		4	d	2	ML167430121
8	Spectrogram 1	1	44.194878317	44.628571089	1581.5	2078.5	1894.9	0.434	122.1	4	d	2	ML167430121
9	Waveform 1	1	44.803569926	45.149763279	1220.0	1988.1		0.346		4	d	2	ML167430121
9	Spectrogram 1	1	44.803569926	45.149763279	1220.0	1988.1	1722.7	0.346	122.3	4	d	2	ML167430121
10	Waveform 1	1	45.286718891	45.591064696	994.1	2123.7		0.304		4	d	2	ML167430121
10	Spectrogram 1	1	45.286718891	45.591064696	994.1	2123.7	1894.9	0.304	127.0	4	d	2	ML167430121
11	Waveform 1	1	43.924771415	45.598673341	903.7	2033.3		1.674		4	t	2	ML167430121
11	Spectrogram 1	1	43.924771415	45.598673341	903.7	2033.3	1894.9	1.674	127.0	4	t	2	ML167430121
12	Waveform 1	1	44.000857866	44.194878317	994.1	2078.5		0.194		NA	cad	2	ML167430121
12	Spectrogram 1	1	44.000857866	44.194878317	994.1	2078.5	1033.6	0.194	89.3	NA	cad	2	ML167430121
13	Waveform 1	1	44.632375411	44.803569926	994.1	2123.7		0.171		NA	cad	2	ML167430121
13	Spectrogram 1	1	44.632375411	44.803569926	994.1	2123.7	1808.8	0.171	96.9	NA	cad	2	ML167430121
14	Waveform 1	1	45.157371924	45.286718891	994.1	2078.5		0.129		NA	cad	2	ML167430121
14	Spectrogram 1	1	45.157371924	45.286718891	994.1	2078.5	1636.5	0.129	99.0	NA	cad	2	ML167430121
15	Waveform 1	1	86.640240928	86.720131702	1310.3	1852.6		0.080		4	a	3	ML167430121
15	Spectrogram 1	1	86.640240928	86.720131702	1310.3	1852.6	1636.5	0.080	89.9	4	a	3	ML167430121
16	Waveform 1	1	86.898934862	87.294584408	1491.1	1988.1		0.396		4	d	3	ML167430121
16	Spectrogram 1	1	86.898934862	87.294584408	1491.1	1988.1	1808.8	0.396	112.2	4	d	3	ML167430121
17	Waveform 1	1	87.458170278	87.811972276	1039.2	1897.7		0.354		4	d	3	ML167430121
17	Spectrogram 1	1	87.458170278	87.811972276	1039.2	1897.7	1636.5	0.354	120.6	4	d	3	ML167430121
18	Waveform 1	1	87.937514921	88.245665048	1039.2	2078.5		0.308		4	d	3	ML167430121
18	Spectrogram 1	1	87.937514921	88.245665048	1039.2	2078.5	1808.8	0.308	123.0	4	d	3	ML167430121
19	Waveform 1	1	86.640240928	88.245665048	1039.2	2123.7		1.605		4	t	3	ML167430121
19	Spectrogram 1	1	86.640240928	88.245665048	1039.2	2123.7	1808.8	1.605	123.0	4	t	3	ML167430121
20	Waveform 1	1	86.727740347	86.895130540	1039.2	2123.7		0.167		NA	cad	3	ML167430121
20	Spectrogram 1	1	86.727740347	86.895130540	1039.2	2123.7	1119.7	0.167	87.0	NA	cad	3	ML167430121
21	Waveform 1	1	87.309801699	87.458170278	1039.2	2078.5		0.148		NA	cad	3	ML167430121
21	Spectrogram 1	1	87.309801699	87.458170278	1039.2	2078.5	1894.9	0.148	97.5	NA	cad	3	ML167430121
22	Waveform 1	1	87.811972276	87.937514921	1039.2	2078.5		0.126		NA	cad	3	ML167430121
22	Spectrogram 1	1	87.811972276	87.937514921	1039.2	2078.5	1636.5	0.126	98.8	NA	cad	3	ML167430121
