Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de canto	canto	nombre archivo
1	Waveform 1	1	0.980396313	1.507171717	1406.2	1912.5		0.527		3	d	1	ML185348451
1	Spectrogram 1	1	0.980396313	1.507171717	1406.2	1912.5	1636.5	0.527	115.9	3	d	1	ML185348451
2	Waveform 1	1	1.526864255	1.979792640	1125.0	1687.5		0.453		3	d	1	ML185348451
2	Spectrogram 1	1	1.526864255	1.979792640	1125.0	1687.5	1464.3	0.453	114.1	3	d	1	ML185348451
3	Waveform 1	1	2.048921886	2.500209226	1237.5	1743.7		0.451		3	d	1	ML185348451
3	Spectrogram 1	1	2.048921886	2.500209226	1237.5	1743.7	1550.4	0.451	120.5	3	d	1	ML185348451
4	Waveform 1	1	0.979088627	2.501978269	1181.2	1856.2		1.523		3	t	1	ML185348451
4	Spectrogram 1	1	0.979088627	2.501978269	1181.2	1856.2	1550.4	1.523	120.5	3	t	1	ML185348451
5	Waveform 1	1	1.507505076	1.527197615	956.2	1912.5		0.020		NA	cad	1	ML185348451
5	Spectrogram 1	1	1.507505076	1.527197615	956.2	1912.5	1636.5	0.020	90.9	NA	cad	1	ML185348451
6	Waveform 1	1	1.980125999	2.050690929	1237.5	1912.5		0.071		NA	cad	1	ML185348451
6	Spectrogram 1	1	1.980125999	2.050690929	1237.5	1912.5	1464.3	0.071	96.0	NA	cad	1	ML185348451
7	Waveform 1	1	37.582987896	38.042480461	1406.2	1856.2		0.459		3	d	2	ML185348451
7	Spectrogram 1	1	37.582987896	38.042480461	1406.2	1856.2	1636.5	0.459	118.0	3	d	2	ML185348451
8	Waveform 1	1	38.119609570	38.592230493	1237.5	1631.2		0.473		3	d	2	ML185348451
8	Spectrogram 1	1	38.119609570	38.592230493	1237.5	1631.2	1464.3	0.473	117.0	3	d	2	ML185348451
9	Waveform 1	1	38.653001083	39.132186185	1012.5	1743.7		0.479		3	d	2	ML185348451
9	Spectrogram 1	1	38.653001083	39.132186185	1012.5	1743.7	1550.4	0.479	119.0	3	d	2	ML185348451
10	Waveform 1	1	37.582987896	39.133775300	1012.5	1856.2		1.551		3	t	2	ML185348451
10	Spectrogram 1	1	37.582987896	39.133775300	1012.5	1856.2	1550.4	1.551	119.0	3	t	2	ML185348451
11	Waveform 1	1	38.044121505	38.117968525	1012.5	1856.2		0.074		NA	cad	2	ML185348451
11	Spectrogram 1	1	38.044121505	38.117968525	1012.5	1856.2	1636.5	0.074	92.0	NA	cad	2	ML185348451
12	Waveform 1	1	38.593897502	38.651334073	1012.5	1856.2		0.057		NA	cad	2	ML185348451
12	Spectrogram 1	1	38.593897502	38.651334073	1012.5	1856.2	1464.3	0.057	95.6	NA	cad	2	ML185348451
13	Waveform 1	1	76.544202060	77.039797611	1518.7	1856.2		0.496		3	d	3	ML185348451
13	Spectrogram 1	1	76.544202060	77.039797611	1518.7	1856.2	1636.5	0.496	109.2	3	d	3	ML185348451
14	Waveform 1	1	77.048002835	77.420520021	1237.5	1687.5		0.373		3	d	3	ML185348451
14	Spectrogram 1	1	77.048002835	77.420520021	1237.5	1687.5	1464.3	0.373	110.2	3	d	3	ML185348451
15	Waveform 1	1	77.576419284	77.952218560	1350.0	1800.0		0.376		3	d	3	ML185348451
15	Spectrogram 1	1	77.576419284	77.952218560	1350.0	1800.0	1550.4	0.376	119.1	3	d	3	ML185348451
16	Waveform 1	1	76.544202060	77.952218560	1237.5	1856.2		1.408		3	t	3	ML185348451
16	Spectrogram 1	1	76.544202060	77.952218560	1237.5	1856.2	1550.4	1.408	119.1	3	t	3	ML185348451
17	Waveform 1	1	77.039797611	77.048002835	1237.5	1856.2		0.008		NA	cad	3	ML185348451
17	Spectrogram 1	1	77.039797611	77.048002835	1237.5	1856.2	1550.4	0.008	86.2	NA	cad	3	ML185348451
18	Waveform 1	1	77.422161066	77.576419284	1237.5	1856.2		0.154		NA	cad	3	ML185348451
18	Spectrogram 1	1	77.422161066	77.576419284	1237.5	1856.2	1464.3	0.154	101.1	NA	cad	3	ML185348451
