Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de canto	canto	nombre archivo
1	Waveform 1	1	1.550135228	1.894609723	1456.9	1890.0		0.344		3	d	1	ML223560251
1	Spectrogram 1	1	1.550135228	1.894609723	1456.9	1890.0	1808.8	0.344	117.4	3	d	1	ML223560251
2	Waveform 1	1	2.101832661	2.588941127	787.5	1662.5		0.487		3	d	1	ML223560251
2	Spectrogram 1	1	2.101832661	2.588941127	787.5	1662.5	1550.4	0.487	111.4	3	d	1	ML223560251
3	Waveform 1	1	2.718203527	3.049221987	1181.2	1881.2		0.331		3	d	1	ML223560251
3	Spectrogram 1	1	2.718203527	3.049221987	1181.2	1881.2	1636.5	0.331	129.3	3	d	1	ML223560251
4	Waveform 1	1	1.552322066	3.048633154	787.5	1881.2		1.496		3	t	1	ML223560251
4	Spectrogram 1	1	1.552322066	3.048633154	787.5	1881.2	1636.5	1.496	129.3	3	t	1	ML223560251
5	Waveform 1	1	1.894105354	2.106710707	708.7	1802.5		0.213		NA	cad	1	ML223560251
5	Spectrogram 1	1	1.894105354	2.106710707	708.7	1802.5	1636.5	0.213	99.8	NA	cad	1	ML223560251
6	Waveform 1	1	2.591127966	2.720305901	787.5	1925.0		0.129		NA	cad	1	ML223560251
6	Spectrogram 1	1	2.591127966	2.720305901	787.5	1925.0	1464.3	0.129	93.9	NA	cad	1	ML223560251
7	Waveform 1	1	11.811710518	11.887064314	1463.8	1899.8		0.075		4	a	2	ML223560251
7	Spectrogram 1	1	11.811710518	11.887064314	1463.8	1899.8	1722.7	0.075	92.7	4	a	2	ML223560251
8	Waveform 1	1	12.145420185	12.481821059	1463.8	1962.1		0.336		4	d	2	ML223560251
8	Spectrogram 1	1	12.145420185	12.481821059	1463.8	1962.1	1722.7	0.336	115.7	4	d	2	ML223560251
9	Waveform 1	1	12.683661584	13.173461256	809.7	1775.2		0.490		4	d	2	ML223560251
9	Spectrogram 1	1	12.683661584	13.173461256	809.7	1775.2	1550.4	0.490	110.5	4	d	2	ML223560251
10	Waveform 1	1	13.297256778	13.630966445	1152.3	1868.6		0.334		4	d	2	ML223560251
10	Spectrogram 1	1	13.297256778	13.630966445	1152.3	1868.6	1636.5	0.334	128.8	4	d	2	ML223560251
11	Waveform 1	1	11.811710518	13.633657652	840.9	1993.2		1.822		4	t	2	ML223560251
11	Spectrogram 1	1	11.811710518	13.633657652	840.9	1993.2	1636.5	1.822	128.8	4	t	2	ML223560251
12	Waveform 1	1	11.892446728	12.140037771	809.7	1993.2		0.248		NA	cad	2	ML223560251
12	Spectrogram 1	1	11.892446728	12.140037771	809.7	1993.2	861.3	0.248	73.8	NA	cad	2	ML223560251
13	Waveform 1	1	12.489894680	12.683661584	809.7	1993.2		0.194		NA	cad	2	ML223560251
13	Spectrogram 1	1	12.489894680	12.683661584	809.7	1993.2	1722.7	0.194	87.7	NA	cad	2	ML223560251
14	Waveform 1	1	13.176152463	13.297256778	809.7	1993.2		0.121		NA	cad	2	ML223560251
14	Spectrogram 1	1	13.176152463	13.297256778	809.7	1993.2	1464.3	0.121	93.3	NA	cad	2	ML223560251
15	Waveform 1	1	180.592183911	180.678302535	1090.0	1868.6		0.086		4	a	3	ML223560251
15	Spectrogram 1	1	180.592183911	180.678302535	1090.0	1868.6	1722.7	0.086	93.8	4	a	3	ML223560251
16	Waveform 1	1	180.936658406	181.278441694	965.5	1962.1		0.342		4	d	3	ML223560251
16	Spectrogram 1	1	180.936658406	181.278441694	965.5	1962.1	1808.8	0.342	119.8	4	d	3	ML223560251
17	Waveform 1	1	181.488355840	182.010449996	1027.8	1744.1		0.522		4	d	3	ML223560251
17	Spectrogram 1	1	181.488355840	182.010449996	1027.8	1744.1	1550.4	0.522	111.1	4	d	3	ML223560251
18	Waveform 1	1	182.110024655	182.443734322	965.5	1712.9		0.334		4	d	3	ML223560251
18	Spectrogram 1	1	182.110024655	182.443734322	965.5	1712.9	1636.5	0.334	109.3	4	d	3	ML223560251
19	Waveform 1	1	180.592183911	182.446425529	965.5	1962.1		1.854		t	t	3	ML223560251
19	Spectrogram 1	1	180.592183911	182.446425529	965.5	1962.1	1808.8	1.854	119.8	t	t	3	ML223560251
20	Waveform 1	1	180.678302535	180.936658406	934.3	1962.1		0.258		cad	cad	3	ML223560251
20	Spectrogram 1	1	180.678302535	180.936658406	934.3	1962.1	1464.3	0.258	78.0	cad	cad	3	ML223560251
21	Waveform 1	1	181.275750487	181.485664633	934.3	1962.1		0.210		cad	cad	3	ML223560251
21	Spectrogram 1	1	181.275750487	181.485664633	934.3	1962.1	1722.7	0.210	99.8	cad	cad	3	ML223560251
22	Waveform 1	1	182.013141203	182.110024655	903.2	1962.1		0.097		cad	cad	3	ML223560251
22	Spectrogram 1	1	182.013141203	182.110024655	903.2	1962.1	1550.4	0.097	90.2	cad	cad	3	ML223560251
