Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	5.096920841	5.229554468	808.3	1865.3		0.133		4	a	1	ML419328951
1	Spectrogram 1	1	5.096920841	5.229554468	808.3	1865.3	1687.5	0.133	89.2	4	a	1	ML419328951
2	Waveform 1	1	5.437978741	5.883248777	1057.0	2051.8		0.445		4	d	1	ML419328951
2	Spectrogram 1	1	5.437978741	5.883248777	1057.0	2051.8	1781.2	0.445	118.7	4	d	1	ML419328951
3	Waveform 1	1	6.053777727	6.461152441	808.3	1740.9		0.407		4	d	1	ML419328951
3	Spectrogram 1	1	6.053777727	6.461152441	808.3	1740.9	1593.8	0.407	117.5	4	d	1	ML419328951
4	Waveform 1	1	6.593786069	6.953791630	758.3	1877.5		0.360		4	d	1	ML419328951
4	Spectrogram 1	1	6.593786069	6.953791630	758.3	1877.5	1687.5	0.360	125.3	4	d	1	ML419328951
5	Waveform 1	1	5.087447010	6.953791630	808.3	2114.0		1.866		4	t	1	ML419328951
5	Spectrogram 1	1	5.087447010	6.953791630	808.3	2114.0	1687.5	1.866	125.3	4	t	1	ML419328951
6	Waveform 1	1	5.229554468	5.428504910	792.5	2075.5		0.199		NA	cad	1	ML419328951
6	Spectrogram 1	1	5.229554468	5.428504910	792.5	2075.5	1687.5	0.199	79.0	NA	cad	1	ML419328951
7	Waveform 1	1	5.883248777	6.063251558	792.5	2150.9		0.180		NA	cad	1	ML419328951
7	Spectrogram 1	1	5.883248777	6.063251558	792.5	2150.9	1687.5	0.180	98.0	NA	cad	1	ML419328951
8	Waveform 1	1	6.461152441	6.593786069	792.5	2113.2		0.133		NA	cad	1	ML419328951
8	Spectrogram 1	1	6.461152441	6.593786069	792.5	2113.2	1500.0	0.133	97.2	NA	cad	1	ML419328951
9	Waveform 1	1	76.793940980	76.945522269	1329.0	1915.3		0.152		4	a	2	ML419328951
9	Spectrogram 1	1	76.793940980	76.945522269	1329.0	1915.3	1781.2	0.152	97.0	4	a	2	ML419328951
10	Waveform 1	1	77.163420372	77.580268917	1214.9	1840.3		0.417		4	d	2	ML419328951
10	Spectrogram 1	1	77.163420372	77.580268917	1214.9	1840.3	1781.2	0.417	121.6	4	d	2	ML419328951
11	Waveform 1	1	77.788693189	78.177120242	742.7	1680.8		0.388		4	d	2	ML419328951
11	Spectrogram 1	1	77.788693189	78.177120242	742.7	1680.8	1500.0	0.388	118.9	4	d	2	ML419328951
12	Waveform 1	1	78.300280039	78.669759431	664.5	1954.4		0.369		4	d	2	ML419328951
12	Spectrogram 1	1	78.300280039	78.669759431	664.5	1954.4	1781.2	0.369	129.0	4	d	2	ML419328951
13	Waveform 1	1	76.784467150	78.669759431	589.5	1879.4		1.885		4	t	2	ML419328951
13	Spectrogram 1	1	76.784467150	78.669759431	589.5	1879.4	1781.2	1.885	129.0	4	t	2	ML419328951
14	Waveform 1	1	76.936048439	77.163420372	664.5	1954.4		0.227		NA	cad	2	ML419328951
14	Spectrogram 1	1	76.936048439	77.163420372	664.5	1954.4	1781.2	0.227	87.4	NA	cad	2	ML419328951
15	Waveform 1	1	77.589742747	77.779219358	664.5	1954.4		0.189		NA	cad	2	ML419328951
15	Spectrogram 1	1	77.589742747	77.779219358	664.5	1954.4	1687.5	0.189	89.8	NA	cad	2	ML419328951
16	Waveform 1	1	78.177120242	78.290806209	589.5	1879.4		0.114		NA	cad	2	ML419328951
16	Spectrogram 1	1	78.177120242	78.290806209	589.5	1879.4	1500.0	0.114	86.4	NA	cad	2	ML419328951
17	Waveform 1	1	133.305175996	133.456757285	1000.0	1925.9		0.152		4	a	3	ML419328951
17	Spectrogram 1	1	133.305175996	133.456757285	1000.0	1925.9	1687.5	0.152	89.4	4	a	3	ML419328951
18	Waveform 1	1	133.655707727	134.100977763	1000.0	2000.0		0.445		4	d	3	ML419328951
18	Spectrogram 1	1	133.655707727	134.100977763	1000.0	2000.0	1781.2	0.445	115.7	4	d	3	ML419328951
19	Waveform 1	1	134.280980544	134.659933766	605.1	1605.1		0.379		4	d	3	ML419328951
19	Spectrogram 1	1	134.280980544	134.659933766	605.1	1605.1	1593.8	0.379	116.9	4	d	3	ML419328951
20	Waveform 1	1	134.792567394	135.162046786	703.7	1963.0		0.369		4	d	3	ML419328951
20	Spectrogram 1	1	134.792567394	135.162046786	703.7	1963.0	1781.2	0.369	125.7	4	d	3	ML419328951
21	Waveform 1	1	133.295702166	135.162046786	703.7	2000.0		1.866		4	t	3	ML419328951
21	Spectrogram 1	1	133.295702166	135.162046786	703.7	2000.0	1781.2	1.866	125.7	4	t	3	ML419328951
22	Waveform 1	1	133.456757285	133.646233896	568.1	1864.4		0.189		NA	cad	3	ML419328951
22	Spectrogram 1	1	133.456757285	133.646233896	568.1	1864.4	750.0	0.189	63.9	NA	cad	3	ML419328951
23	Waveform 1	1	134.100977763	134.271506713	703.7	2000.0		0.171		NA	cad	3	ML419328951
23	Spectrogram 1	1	134.100977763	134.271506713	703.7	2000.0	1687.5	0.171	82.3	NA	cad	3	ML419328951
24	Waveform 1	1	134.659933766	134.792567394	703.7	2000.0		0.133		NA	cad	3	ML419328951
24	Spectrogram 1	1	134.659933766	134.792567394	703.7	2000.0	1500.0	0.133	85.6	NA	cad	3	ML419328951
