Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	8.231839646	8.757708926	1263.8	1850.5		0.526		3	d	1	ML432077551
1	Spectrogram 1	1	8.231839646	8.757708926	1263.8	1850.5	1593.8	0.526	97.0	3	d	1	ML432077551
2	Waveform 1	1	8.939133827	9.341423826	1128.4	1624.8		0.402		3	d	1	ML432077551
2	Spectrogram 1	1	8.939133827	9.341423826	1128.4	1624.8	1406.2	0.402	95.2	3	d	1	ML432077551
3	Waveform 1	1	9.462373760	9.785783367	947.8	1760.2		0.323		3	d	1	ML432077551
3	Spectrogram 1	1	9.462373760	9.785783367	947.8	1760.2	1500.0	0.323	101.2	3	d	1	ML432077551
4	Waveform 1	1	8.231839646	9.785783367	745.6	1783.7		1.554		3	t	1	ML432077551
4	Spectrogram 1	1	8.231839646	9.785783367	745.6	1783.7	1500.0	1.554	101.2	3	t	1	ML432077551
6	Waveform 1	1	8.757708926	8.936504481	812.4	1850.5		0.179		NA	cad	1	ML432077551
6	Spectrogram 1	1	8.757708926	8.936504481	812.4	1850.5	1593.8	0.179	77.6	NA	cad	1	ML432077551
7	Waveform 1	1	9.344053173	9.459744414	812.4	1850.5		0.116		NA	cad	1	ML432077551
7	Spectrogram 1	1	9.344053173	9.459744414	812.4	1850.5	1406.2	0.116	80.9	NA	cad	1	ML432077551
8	Waveform 1	1	29.588560847	30.109171434	1399.2	1805.4		0.521		3	d	2	ML432077551
8	Spectrogram 1	1	29.588560847	30.109171434	1399.2	1805.4	1593.8	0.521	103.3	3	d	2	ML432077551
9	Waveform 1	1	30.243268100	30.666592870	1038.1	1534.6		0.423		3	d	2	ML432077551
9	Spectrogram 1	1	30.243268100	30.666592870	1038.1	1534.6	1406.2	0.423	102.2	3	d	2	ML432077551
10	Waveform 1	1	30.763878687	31.126728490	904.5	1626.6		0.363		3	d	2	ML432077551
10	Spectrogram 1	1	30.763878687	31.126728490	904.5	1626.6	1500.0	0.363	108.6	3	d	2	ML432077551
11	Waveform 1	1	29.588560847	31.126728490	1083.2	1805.4		1.538		3	t	2	ML432077551
11	Spectrogram 1	1	29.588560847	31.126728490	1083.2	1805.4	1500.0	1.538	108.6	3	t	2	ML432077551
24	Waveform 1	1	30.113115453	30.241953427	1038.1	1805.4		0.129			cad	2	ML432077551
24	Spectrogram 1	1	30.113115453	30.241953427	1038.1	1805.4	1593.8	0.129	84.0		cad	2	ML432077551
25	Waveform 1	1	30.667907543	30.765193360	1038.1	1805.4		0.097			cad	2	ML432077551
25	Spectrogram 1	1	30.667907543	30.765193360	1038.1	1805.4	1406.2	0.097	84.1		cad	2	ML432077551
26	Waveform 1	1	39.590122996	39.947714106	1444.3	1760.2		0.358			d	3	ML432077551
26	Spectrogram 1	1	39.590122996	39.947714106	1444.3	1760.2	1593.8	0.358	104.6		d	3	ML432077551
27	Waveform 1	1	40.063405348	40.478842078	1128.4	1624.8		0.415			d	3	ML432077551
27	Spectrogram 1	1	40.063405348	40.478842078	1128.4	1624.8	1406.2	0.415	100.5		d	3	ML432077551
28	Waveform 1	1	40.589274627	40.944236391	1308.9	1670.0		0.355			d	3	ML432077551
28	Spectrogram 1	1	40.589274627	40.944236391	1308.9	1670.0	1500.0	0.355	103.5		d	3	ML432077551
29	Waveform 1	1	39.590122996	40.946865737	1128.4	1760.2		1.357			t	3	ML432077551
29	Spectrogram 1	1	39.590122996	40.946865737	1128.4	1760.2	1593.8	1.357	104.6		t	3	ML432077551
30	Waveform 1	1	39.950343453	40.063405348	1061.5	1693.4		0.113			cad	3	ML432077551
30	Spectrogram 1	1	39.950343453	40.063405348	1061.5	1693.4	1593.8	0.113	84.3		cad	3	ML432077551
31	Waveform 1	1	40.481471425	40.586645281	1128.4	1760.2		0.105			cad	3	ML432077551
31	Spectrogram 1	1	40.481471425	40.586645281	1128.4	1760.2	1406.2	0.105	84.1		cad	3	ML432077551
