Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.104063306	1.209619746	1090.9	2097.9		0.106		4	a	1	ML435163371
1	Spectrogram 1	1	1.104063306	1.209619746	1090.9	2097.9	1875.0	0.106	98.4	4	a	1	ML435163371
2	Waveform 1	1	1.412173996	1.845811264	713.3	2055.9		0.434		4	d	1	ML435163371
2	Spectrogram 1	1	1.412173996	1.845811264	713.3	2055.9	1781.2	0.434	126.8	4	d	1	ML435163371
3	Waveform 1	1	2.048365514	2.407827985	797.2	1804.2		0.359		4	d	1	ML435163371
3	Spectrogram 1	1	2.048365514	2.407827985	797.2	1804.2	1687.5	0.359	127.0	4	d	1	ML435163371
4	Waveform 1	1	2.553324700	2.881405527	797.2	1972.0		0.328		4	d	1	ML435163371
4	Spectrogram 1	1	2.553324700	2.881405527	797.2	1972.0	1781.2	0.328	127.2	4	d	1	ML435163371
5	Waveform 1	1	1.104063306	2.884258404	560.2	1986.8		1.780		4	t	1	ML435163371
5	Spectrogram 1	1	1.104063306	2.884258404	560.2	1986.8	1781.2	1.780	127.2	4	t	1	ML435163371
6	Waveform 1	1	1.209619746	1.412173996	671.3	2097.9		0.203		NA	cad	1	ML435163371
6	Spectrogram 1	1	1.209619746	1.412173996	671.3	2097.9	1875.0	0.203	84.3	NA	cad	1	ML435163371
7	Waveform 1	1	1.851517017	2.042659760	671.3	2097.9		0.191		NA	cad	1	ML435163371
7	Spectrogram 1	1	1.851517017	2.042659760	671.3	2097.9	1781.2	0.191	109.1	NA	cad	1	ML435163371
8	Waveform 1	1	2.410680862	2.553324700	671.3	2139.9		0.143		NA	cad	1	ML435163371
8	Spectrogram 1	1	2.410680862	2.553324700	671.3	2139.9	1593.8	0.143	105.0	NA	cad	1	ML435163371
9	Waveform 1	1	16.806493365	16.900638298	1049.0	2055.9		0.094		4	a	2	ML435163371
9	Spectrogram 1	1	16.806493365	16.900638298	1049.0	2055.9	1781.2	0.094	98.6	4	a	2	ML435163371
10	Waveform 1	1	17.128868439	17.556799952	1105.7	1860.9		0.428		4	d	2	ML435163371
10	Spectrogram 1	1	17.128868439	17.556799952	1105.7	1860.9	1781.2	0.428	123.4	4	d	2	ML435163371
11	Waveform 1	1	17.756501326	18.164462702	839.2	1804.2		0.408		4	d	2	ML435163371
11	Spectrogram 1	1	17.756501326	18.164462702	839.2	1804.2	1593.8	0.408	124.5	4	d	2	ML435163371
12	Waveform 1	1	18.312812294	18.649451751	713.3	1846.2		0.337		4	d	2	ML435163371
12	Spectrogram 1	1	18.312812294	18.649451751	713.3	1846.2	1687.5	0.337	127.0	4	d	2	ML435163371
13	Waveform 1	1	16.806493365	18.652304628	713.3	2055.9		1.846		4	t	2	ML435163371
13	Spectrogram 1	1	16.806493365	18.652304628	713.3	2055.9	1687.5	1.846	127.0	4	t	2	ML435163371
14	Waveform 1	1	16.903491174	17.126015562	713.3	2055.9		0.223		NA	cad	2	ML435163371
14	Spectrogram 1	1	16.903491174	17.126015562	713.3	2055.9	1687.5	0.223	93.0	NA	cad	2	ML435163371
15	Waveform 1	1	17.562505706	17.756501326	602.2	1944.8		0.194		NA	cad	2	ML435163371
15	Spectrogram 1	1	17.562505706	17.756501326	602.2	1944.8	1781.2	0.194	107.3	NA	cad	2	ML435163371
16	Waveform 1	1	18.170168456	18.309959417	713.3	2055.9		0.140		NA	cad	2	ML435163371
16	Spectrogram 1	1	18.170168456	18.309959417	713.3	2055.9	1500.0	0.140	103.1	NA	cad	2	ML435163371
17	Waveform 1	1	29.531157341	29.619596520	1384.6	2014.0		0.088		4	a	3	ML435163371
17	Spectrogram 1	1	29.531157341	29.619596520	1384.6	2014.0	1875.0	0.088	95.0	4	a	3	ML435163371
18	Waveform 1	1	29.847826661	30.281463928	644.1	1819.0		0.434		4	d	3	ML435163371
18	Spectrogram 1	1	29.847826661	30.281463928	644.1	1819.0	1781.2	0.434	117.5	4	d	3	ML435163371
19	Waveform 1	1	30.475459548	30.883420925	713.3	1804.2		0.408		4	d	3	ML435163371
19	Spectrogram 1	1	30.475459548	30.883420925	713.3	1804.2	1500.0	0.408	121.8	4	d	3	ML435163371
20	Waveform 1	1	31.017680795	31.348614499	797.2	1888.1		0.331		4	d	3	ML435163371
20	Spectrogram 1	1	31.017680795	31.348614499	797.2	1888.1	1593.8	0.331	123.9	4	d	3	ML435163371
21	Waveform 1	1	29.528479126	31.351467375	713.3	2014.0		1.823		4	t	3	ML435163371
21	Spectrogram 1	1	29.528479126	31.351467375	713.3	2014.0	1593.8	1.823	123.9	4	t	3	ML435163371
22	Waveform 1	1	29.625476936	29.848001323	713.3	2014.0		0.223		NA	cad	3	ML435163371
22	Spectrogram 1	1	29.625476936	29.848001323	713.3	2014.0	1031.2	0.223	89.7	NA	cad	3	ML435163371
23	Waveform 1	1	30.284491467	30.475634210	713.3	2014.0		0.191		NA	cad	3	ML435163371
23	Spectrogram 1	1	30.284491467	30.475634210	713.3	2014.0	1687.5	0.191	103.7	NA	cad	3	ML435163371
24	Waveform 1	1	30.892154217	31.017680795	713.3	2014.0		0.126		NA	cad	3	ML435163371
24	Spectrogram 1	1	30.892154217	31.017680795	713.3	2014.0	1500.0	0.126	105.0	NA	cad	3	ML435163371
