Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.440423982	3.651540909	1318.7	1747.3		0.211		3	d	1	ML491945461
1	Spectrogram 1	1	3.440423982	3.651540909	1318.7	1747.3	1500.0	0.211	114.6	3	d	1	ML491945461
2	Waveform 1	1	3.815742962	4.253615106	1087.9	1549.5		0.438		3	d	1	ML491945461
2	Spectrogram 1	1	3.815742962	4.253615106	1087.9	1549.5	1406.2	0.438	116.1	3	d	1	ML491945461
3	Waveform 1	1	4.363083141	4.777497848	1186.8	1813.2		0.414		3	d	1	ML491945461
3	Spectrogram 1	1	4.363083141	4.777497848	1186.8	1813.2	1593.8	0.414	124.8	3	d	1	ML491945461
4	Waveform 1	1	3.440423982	4.777497848	1087.9	1747.3		1.337		3	t	1	ML491945461
4	Spectrogram 1	1	3.440423982	4.777497848	1087.9	1747.3	1593.8	1.337	124.8	3	t	1	ML491945461
5	Waveform 1	1	3.659360054	3.815742962	1087.9	1747.3		0.156		NA	cad	1	ML491945461
5	Spectrogram 1	1	3.659360054	3.815742962	1087.9	1747.3	1500.0	0.156	88.4	NA	cad	1	ML491945461
6	Waveform 1	1	4.261434251	4.363083141	1087.9	1747.3		0.102		NA	cad	1	ML491945461
6	Spectrogram 1	1	4.261434251	4.363083141	1087.9	1747.3	1406.2	0.102	99.4	NA	cad	1	ML491945461
7	Waveform 1	1	42.107134458	42.169687621	1392.9	1714.3		0.063		4	a	2	ML491945461
7	Spectrogram 1	1	42.107134458	42.169687621	1392.9	1714.3	1593.8	0.063	91.3	4	a	2	ML491945461
8	Waveform 1	1	42.447267284	42.779580964	1285.7	1750.0		0.332		4	d	2	ML491945461
8	Spectrogram 1	1	42.447267284	42.779580964	1285.7	1750.0	1500.0	0.332	114.9	4	d	2	ML491945461
9	Waveform 1	1	42.994607463	43.401203024	1196.4	1535.7		0.407		4	d	2	ML491945461
9	Spectrogram 1	1	42.994607463	43.401203024	1196.4	1535.7	1406.2	0.407	115.8	4	d	2	ML491945461
10	Waveform 1	1	43.530218924	43.952452776	1232.1	1785.7		0.422		4	d	2	ML491945461
10	Spectrogram 1	1	43.530218924	43.952452776	1232.1	1785.7	1593.8	0.422	125.7	4	d	2	ML491945461
11	Waveform 1	1	42.103224885	43.952452776	1210.8	1818.0		1.849		4	t	2	ML491945461
11	Spectrogram 1	1	42.103224885	43.952452776	1210.8	1818.0	1593.8	1.849	125.7	4	t	2	ML491945461
12	Waveform 1	1	42.173597194	42.443357711	1178.6	1785.7		0.270		NA	cad	2	ML491945461
12	Spectrogram 1	1	42.173597194	42.443357711	1178.6	1785.7	1593.8	0.270	85.4	NA	cad	2	ML491945461
13	Waveform 1	1	42.779580964	42.990697890	1178.6	1785.7		0.211		NA	cad	2	ML491945461
13	Spectrogram 1	1	42.779580964	42.990697890	1178.6	1785.7	1406.2	0.211	102.6	NA	cad	2	ML491945461
14	Waveform 1	1	43.405112597	43.530218924	1178.6	1785.7		0.125		NA	cad	2	ML491945461
14	Spectrogram 1	1	43.405112597	43.530218924	1178.6	1785.7	1406.2	0.125	101.5	NA	cad	2	ML491945461
15	Waveform 1	1	76.624597439	76.691060175	1416.7	1733.3		0.066		4	a	3	ML491945461
15	Spectrogram 1	1	76.624597439	76.691060175	1416.7	1733.3	1593.8	0.066	92.6	4	a	3	ML491945461
16	Waveform 1	1	76.945182401	77.367416253	1183.3	1683.3		0.422		4	d	3	ML491945461
16	Spectrogram 1	1	76.945182401	77.367416253	1183.3	1683.3	1593.8	0.422	115.1	4	d	3	ML491945461
17	Waveform 1	1	77.492522580	77.922575578	1233.3	1583.3		0.430		4	d	3	ML491945461
17	Spectrogram 1	1	77.492522580	77.922575578	1233.3	1583.3	1406.2	0.430	116.0	4	d	3	ML491945461
18	Waveform 1	1	78.051591477	78.481644475	1250.0	1766.7		0.430		4	d	3	ML491945461
18	Spectrogram 1	1	78.051591477	78.481644475	1250.0	1766.7	1593.8	0.430	124.4	4	d	3	ML491945461
19	Waveform 1	1	76.624597439	78.489463620	1183.3	1733.3		1.865		4	t	3	ML491945461
19	Spectrogram 1	1	76.624597439	78.489463620	1183.3	1733.3	1593.8	1.865	124.4	4	t	3	ML491945461
20	Waveform 1	1	76.691060175	76.945182401	1183.3	1733.3		0.254		NA	cad	3	ML491945461
20	Spectrogram 1	1	76.691060175	76.945182401	1183.3	1733.3	1218.8	0.254	83.2	NA	cad	3	ML491945461
21	Waveform 1	1	77.371325826	77.488613007	1183.3	1733.3		0.117		NA	cad	3	ML491945461
21	Spectrogram 1	1	77.371325826	77.488613007	1183.3	1733.3	1500.0	0.117	87.3	NA	cad	3	ML491945461
22	Waveform 1	1	77.934304296	78.043772332	1183.3	1733.3		0.109		NA	cad	3	ML491945461
22	Spectrogram 1	1	77.934304296	78.043772332	1183.3	1733.3	1406.2	0.109	102.7	NA	cad	3	ML491945461
