Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.202700498	2.315189177	1089.0	1815.0		0.112		4	a	1	ML500026221
1	Spectrogram 1	1	2.202700498	2.315189177	1089.0	1815.0	1593.8	0.112	96.6	4	a	1	ML500026221
2	Waveform 1	1	2.462830568	2.926846367	1225.1	1678.9		0.464		4	d	1	ML500026221
2	Spectrogram 1	1	2.462830568	2.926846367	1225.1	1678.9	1593.8	0.464	125.3	4	d	1	ML500026221
3	Waveform 1	1	3.046365588	3.411953794	816.8	1452.0		0.366		4	d	1	ML500026221
3	Spectrogram 1	1	3.046365588	3.411953794	816.8	1452.0	1406.2	0.366	124.3	4	d	1	ML500026221
4	Waveform 1	1	3.531473015	3.847847424	1134.4	1769.7		0.316		4	d	1	ML500026221
4	Spectrogram 1	1	3.531473015	3.847847424	1134.4	1769.7	1593.8	0.316	129.1	4	d	1	ML500026221
5	Waveform 1	1	2.202700498	3.840816881	862.1	1815.0		1.638		4	t	1	ML500026221
5	Spectrogram 1	1	2.202700498	3.840816881	862.1	1815.0	1593.8	1.638	129.1	4	t	1	ML500026221
6	Waveform 1	1	2.322219719	2.448769483	862.1	1815.0		0.127		NA	cad	1	ML500026221
6	Spectrogram 1	1	2.322219719	2.448769483	862.1	1815.0	1500.0	0.127	81.3	NA	cad	1	ML500026221
7	Waveform 1	1	2.940907452	3.039335046	862.1	1815.0		0.098		NA	cad	1	ML500026221
7	Spectrogram 1	1	2.940907452	3.039335046	862.1	1815.0	1500.0	0.098	103.9	NA	cad	1	ML500026221
8	Waveform 1	1	3.426014879	3.531473015	816.8	1815.0		0.105		NA	cad	1	ML500026221
8	Spectrogram 1	1	3.426014879	3.531473015	816.8	1815.0	1312.5	0.105	99.1	NA	cad	1	ML500026221
9	Waveform 1	1	28.961770967	29.046137476	1099.9	1728.5		0.084		4	a	2	ML500026221
9	Spectrogram 1	1	28.961770967	29.046137476	1099.9	1728.5	1593.8	0.084	99.3	4	a	2	ML500026221
10	Waveform 1	1	29.242992663	29.735130633	1204.7	1759.6		0.492		4	d	2	ML500026221
10	Spectrogram 1	1	29.242992663	29.735130633	1204.7	1759.6	1593.8	0.492	127.5	4	d	2	ML500026221
11	Waveform 1	1	29.826527684	30.192115890	1152.3	1571.3		0.366		4	d	2	ML500026221
11	Spectrogram 1	1	29.826527684	30.192115890	1152.3	1571.3	1406.2	0.366	125.5	4	d	2	ML500026221
12	Waveform 1	1	30.325696195	30.670192774	1143.9	1691.3		0.344		4	d	2	ML500026221
12	Spectrogram 1	1	30.325696195	30.670192774	1143.9	1691.3	1593.8	0.344	132.2	4	d	2	ML500026221
13	Waveform 1	1	28.961770967	30.670192774	1086.4	1798.6		1.708		4	t	2	ML500026221
13	Spectrogram 1	1	28.961770967	30.670192774	1086.4	1798.6	1593.8	1.708	132.2	4	t	2	ML500026221
14	Waveform 1	1	29.067229103	29.235962121	871.5	1560.5		0.169		NA	cad	2	ML500026221
14	Spectrogram 1	1	29.067229103	29.235962121	871.5	1560.5	1406.2	0.169	79.2	NA	cad	2	ML500026221
15	Waveform 1	1	29.742161175	29.819497141	1083.2	1775.3		0.077		NA	cad	2	ML500026221
15	Spectrogram 1	1	29.742161175	29.819497141	1083.2	1775.3	1593.8	0.077	103.9	NA	cad	2	ML500026221
16	Waveform 1	1	30.192115890	30.318665653	1053.1	1775.3		0.127		NA	cad	2	ML500026221
16	Spectrogram 1	1	30.192115890	30.318665653	1053.1	1775.3	1406.2	0.127	106.5	NA	cad	2	ML500026221
17	Waveform 1	1	38.803823461	38.951464852	962.6	1782.6		0.148		4	a	3	ML500026221
17	Spectrogram 1	1	38.803823461	38.951464852	962.6	1782.6	1593.8	0.148	97.6	4	a	3	ML500026221
18	Waveform 1	1	39.211594921	39.675610720	1354.8	1747.0		0.464		4	d	3	ML500026221
18	Spectrogram 1	1	39.211594921	39.675610720	1354.8	1747.0	1593.8	0.464	124.6	4	d	3	ML500026221
19	Waveform 1	1	39.703732890	40.097443265	915.4	1307.6		0.394		4	d	3	ML500026221
19	Spectrogram 1	1	39.703732890	40.097443265	915.4	1307.6	1218.8	0.394	105.8	4	d	3	ML500026221
20	Waveform 1	1	40.209931944	40.512245268	1212.2	1747.0		0.302		4	d	3	ML500026221
20	Spectrogram 1	1	40.209931944	40.512245268	1212.2	1747.0	1593.8	0.302	130.4	4	d	3	ML500026221
21	Waveform 1	1	38.803823461	40.526306353	962.6	1782.6		1.722		4	t	3	ML500026221
21	Spectrogram 1	1	38.803823461	40.526306353	962.6	1782.6	1593.8	1.722	130.4	4	t	3	ML500026221
22	Waveform 1	1	38.972556479	39.204564379	962.6	1782.6		0.232		NA	cad	3	ML500026221
22	Spectrogram 1	1	38.972556479	39.204564379	962.6	1782.6	1500.0	0.232	98.6	NA	cad	3	ML500026221
23	Waveform 1	1	39.675610720	39.717793975	962.6	1782.6		0.042		NA	cad	3	ML500026221
23	Spectrogram 1	1	39.675610720	39.717793975	962.6	1782.6	1406.2	0.042	108.4	NA	cad	3	ML500026221
24	Waveform 1	1	40.097443265	40.209931944	962.6	1782.6		0.112		NA	cad	3	ML500026221
24	Spectrogram 1	1	40.097443265	40.209931944	962.6	1782.6	1406.2	0.112	104.2	NA	cad	3	ML500026221
