Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.950325634	3.051134027	1319.9	1697.1		0.101		4	a	1	ML528465711
1	Spectrogram 1	1	2.950325634	3.051134027	1319.9	1697.1	1593.8	0.101	98.4	4	a	1	ML528465711
2	Waveform 1	1	3.340118087	3.608940468	1379.2	1685.6		0.269		4	d	1	ML528465711
2	Spectrogram 1	1	3.340118087	3.608940468	1379.2	1685.6	1593.8	0.269	120.1	4	d	1	ML528465711
3	Waveform 1	1	3.790395575	4.213790826	1272.8	1579.2		0.423		4	d	1	ML528465711
3	Spectrogram 1	1	3.790395575	4.213790826	1272.8	1579.2	1406.2	0.423	121.0	4	d	1	ML528465711
4	Waveform 1	1	4.314599219	4.690950552	1390.6	1838.5		0.376		4	d	1	ML528465711
4	Spectrogram 1	1	4.314599219	4.690950552	1390.6	1838.5	1593.8	0.376	128.1	4	d	1	ML528465711
5	Waveform 1	1	2.957046194	4.697671112	1319.9	1838.5		1.741		4	t	1	ML528465711
5	Spectrogram 1	1	2.957046194	4.697671112	1319.9	1838.5	1593.8	1.741	128.1	4	t	1	ML528465711
6	Waveform 1	1	3.064575146	3.333397527	1319.9	1838.5		0.269		NA	cad	1	ML528465711
6	Spectrogram 1	1	3.064575146	3.333397527	1319.9	1838.5	1500.0	0.269	101.6	NA	cad	1	ML528465711
7	Waveform 1	1	3.602219908	3.790395575	1296.4	1838.5		0.188		NA	cad	1	ML528465711
7	Spectrogram 1	1	3.602219908	3.790395575	1296.4	1838.5	1593.8	0.188	102.1	NA	cad	1	ML528465711
8	Waveform 1	1	4.227231945	4.301158100	1226.2	1768.4		0.074		NA	cad	1	ML528465711
8	Spectrogram 1	1	4.227231945	4.301158100	1226.2	1768.4	1406.2	0.074	104.0	NA	cad	1	ML528465711
9	Waveform 1	1	57.373195863	57.487445376	1332.4	1893.4		0.114		4	a	2	ML528465711
9	Spectrogram 1	1	57.373195863	57.487445376	1332.4	1893.4	1593.8	0.114	101.3	4	a	2	ML528465711
10	Waveform 1	1	57.628577126	57.957884543	1402.5	1718.1		0.329		4	d	2	ML528465711
10	Spectrogram 1	1	57.628577126	57.957884543	1402.5	1718.1	1593.8	0.329	122.6	4	d	2	ML528465711
11	Waveform 1	1	58.146060210	58.535852662	1192.1	1612.9		0.390		4	d	2	ML528465711
11	Spectrogram 1	1	58.146060210	58.535852662	1192.1	1612.9	1406.2	0.390	123.1	4	d	2	ML528465711
12	Waveform 1	1	58.643381615	58.952527353	1192.1	1718.1		0.309		4	d	2	ML528465711
12	Spectrogram 1	1	58.643381615	58.952527353	1192.1	1718.1	1593.8	0.309	129.3	4	d	2	ML528465711
13	Waveform 1	1	57.373195863	58.952527353	1122.0	1928.5		1.579		4	t	2	ML528465711
13	Spectrogram 1	1	57.373195863	58.952527353	1122.0	1928.5	1593.8	1.579	129.3	4	t	2	ML528465711
14	Waveform 1	1	57.487445376	57.628577126	1192.1	1893.4		0.141		NA	cad	2	ML528465711
14	Spectrogram 1	1	57.487445376	57.628577126	1192.1	1893.4	1500.0	0.141	103.7	NA	cad	2	ML528465711
15	Waveform 1	1	57.957884543	58.146060210	1122.0	1893.4		0.188		NA	cad	2	ML528465711
15	Spectrogram 1	1	57.957884543	58.146060210	1122.0	1893.4	1593.8	0.188	108.3	NA	cad	2	ML528465711
16	Waveform 1	1	58.535852662	58.650102174	1122.0	1928.5		0.114		NA	cad	2	ML528465711
16	Spectrogram 1	1	58.535852662	58.650102174	1122.0	1928.5	1593.8	0.114	108.7	NA	cad	2	ML528465711
17	Waveform 1	1	68.276921512	68.391171024	1227.2	1718.1		0.114		4	a	3	ML528465711
17	Spectrogram 1	1	68.276921512	68.391171024	1227.2	1718.1	1593.8	0.114	100.3	4	a	3	ML528465711
18	Waveform 1	1	68.565905572	68.948977465	1227.2	1648.0		0.383		4	d	3	ML528465711
18	Spectrogram 1	1	68.565905572	68.948977465	1227.2	1648.0	1593.8	0.383	118.9	4	d	3	ML528465711
19	Waveform 1	1	69.096829775	69.520225025	631.1	1648.0		0.423		4	d	3	ML528465711
19	Spectrogram 1	1	69.096829775	69.520225025	631.1	1648.0	1406.2	0.423	126.8	4	d	3	ML528465711
20	Waveform 1	1	69.621033418	70.024266990	806.5	1753.2		0.403		4	d	3	ML528465711
20	Spectrogram 1	1	69.621033418	70.024266990	806.5	1753.2	1593.8	0.403	127.2	4	d	3	ML528465711
21	Waveform 1	1	68.270200953	70.030987550	631.1	1718.1		1.761		4	t	3	ML528465711
21	Spectrogram 1	1	68.270200953	70.030987550	631.1	1718.1	1593.8	1.761	127.2	4	t	3	ML528465711
22	Waveform 1	1	68.391171024	68.565905572	631.1	1718.1		0.175		NA	cad	3	ML528465711
22	Spectrogram 1	1	68.391171024	68.565905572	631.1	1718.1	1500.0	0.175	88.7	NA	cad	3	ML528465711
23	Waveform 1	1	68.962418584	69.090109215	631.1	1718.1		0.128		NA	cad	3	ML528465711
23	Spectrogram 1	1	68.962418584	69.090109215	631.1	1718.1	1593.8	0.128	103.5	NA	cad	3	ML528465711
24	Waveform 1	1	69.526945585	69.614312859	631.1	1718.1		0.087		NA	cad	3	ML528465711
24	Spectrogram 1	1	69.526945585	69.614312859	631.1	1718.1	1406.2	0.087	106.2	NA	cad	3	ML528465711
