Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	0.591013733	0.731851048	1359.4	1875.0		0.141		3	d	1	ML610239872
1	Spectrogram 1	1	0.591013733	0.731851048	1359.4	1875.0	1687.5	0.141	109.0	3	d	1	ML610239872
2	Waveform 1	1	1.016040630	1.302745164	1218.7	1453.1		0.287		3	d	1	ML610239872
2	Spectrogram 1	1	1.016040630	1.302745164	1218.7	1453.1	1406.2	0.287	107.3	3	d	1	ML610239872
3	Waveform 1	1	1.483821712	1.760466438	1265.6	1781.2		0.277		3	d	1	ML610239872
3	Spectrogram 1	1	1.483821712	1.760466438	1265.6	1781.2	1500.0	0.277	115.8	3	d	1	ML610239872
4	Waveform 1	1	0.591013733	1.760466438	1218.7	1875.0		1.169		3	t	1	ML610239872
4	Spectrogram 1	1	0.591013733	1.760466438	1218.7	1875.0	1500.0	1.169	115.8	3	t	1	ML610239872
5	Waveform 1	1	0.731851048	1.013525678	1171.9	1828.1		0.282		NA	cad	1	ML610239872
5	Spectrogram 1	1	0.731851048	1.013525678	1171.9	1828.1	1593.8	0.282	100.6	NA	cad	1	ML610239872
6	Waveform 1	1	1.307775068	1.481306760	1218.7	1875.0		0.174		NA	cad	1	ML610239872
6	Spectrogram 1	1	1.307775068	1.481306760	1218.7	1875.0	1406.2	0.174	100.8	NA	cad	1	ML610239872
7	Waveform 1	1	27.840520374	28.051776347	1265.6	1781.2		0.211		3	d	2	ML610239872
7	Spectrogram 1	1	27.840520374	28.051776347	1265.6	1781.2	1687.5	0.211	107.8	3	d	2	ML610239872
8	Waveform 1	1	28.225308039	28.436564011	1218.7	1453.1		0.211		3	d	2	ML610239872
8	Spectrogram 1	1	28.225308039	28.436564011	1218.7	1453.1	1406.2	0.211	107.9	3	d	2	ML610239872
9	Waveform 1	1	28.730813402	29.035122600	1265.6	1734.4		0.304		3	d	2	ML610239872
9	Spectrogram 1	1	28.730813402	29.035122600	1265.6	1734.4	1593.8	0.304	115.0	3	d	2	ML610239872
10	Waveform 1	1	27.840520374	29.035122600	1265.6	1781.2		1.195		3	t	2	ML610239872
10	Spectrogram 1	1	27.840520374	29.035122600	1265.6	1781.2	1593.8	1.195	115.0	3	t	2	ML610239872
11	Waveform 1	1	28.054291299	28.222793087	1218.7	1734.4		0.169		NA	cad	2	ML610239872
11	Spectrogram 1	1	28.054291299	28.222793087	1218.7	1734.4	1687.5	0.169	94.8	NA	cad	2	ML610239872
12	Waveform 1	1	28.436564011	28.728298450	1265.6	1781.2		0.292		NA	cad	2	ML610239872
12	Spectrogram 1	1	28.436564011	28.728298450	1265.6	1781.2	1406.2	0.292	103.3	NA	cad	2	ML610239872
13	Waveform 1	1	41.513035015	41.787164789	1453.1	1828.1		0.274		3	d	3	ML610239872
13	Spectrogram 1	1	41.513035015	41.787164789	1453.1	1828.1	1593.8	0.274	104.2	3	d	3	ML610239872
14	Waveform 1	1	41.928002104	42.277580440	1218.7	1640.6		0.350		3	d	3	ML610239872
14	Spectrogram 1	1	41.928002104	42.277580440	1218.7	1640.6	1406.2	0.350	106.6	3	d	3	ML610239872
15	Waveform 1	1	42.430992515	42.732786762	1218.7	1828.1		0.302		3	d	3	ML610239872
15	Spectrogram 1	1	42.430992515	42.732786762	1218.7	1828.1	1500.0	0.302	117.6	3	d	3	ML610239872
16	Waveform 1	1	41.513035015	42.732786762	1218.7	1828.1		1.220		3	t	3	ML610239872
16	Spectrogram 1	1	41.513035015	42.732786762	1218.7	1828.1	1500.0	1.220	117.6	3	t	3	ML610239872
17	Waveform 1	1	41.792194693	41.925487152	1218.7	1828.1		0.133		NA	cad	3	ML610239872
17	Spectrogram 1	1	41.792194693	41.925487152	1218.7	1828.1	1593.8	0.133	97.9	NA	cad	3	ML610239872
18	Waveform 1	1	42.282610344	42.430992515	1218.7	1828.1		0.148		NA	cad	3	ML610239872
18	Spectrogram 1	1	42.282610344	42.430992515	1218.7	1828.1	1500.0	0.148	95.3	NA	cad	3	ML610239872
