Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.011723293	3.273418721	1572.4	1987.8		0.262		3	d	1	ML613946456
1	Spectrogram 1	1	3.011723293	3.273418721	1572.4	1987.8	1781.2	0.262	120.8	3	d	1	ML613946456
2	Waveform 1	1	3.415170412	3.753193674	1008.7	1839.5		0.338		3	d	1	ML613946456
2	Spectrogram 1	1	3.415170412	3.753193674	1008.7	1839.5	1500.0	0.338	122.2	3	d	1	ML613946456
3	Waveform 1	1	3.884041388	4.151188805	1305.4	1958.1		0.267		3	d	1	ML613946456
3	Spectrogram 1	1	3.884041388	4.151188805	1305.4	1958.1	1781.2	0.267	125.6	3	d	1	ML613946456
4	Waveform 1	1	3.011723293	4.156640793	979.1	1987.8		1.145		3	t	1	ML613946456
4	Spectrogram 1	1	3.011723293	4.156640793	979.1	1987.8	1781.2	1.145	125.6	3	t	1	ML613946456
5	Waveform 1	1	3.284322697	3.415170412	979.1	1987.8		0.131		NA	cad	1	ML613946456
5	Spectrogram 1	1	3.284322697	3.415170412	979.1	1987.8	1781.2	0.131	105.6	NA	cad	1	ML613946456
6	Waveform 1	1	3.758645662	3.884041388	979.1	1987.8		0.125		NA	cad	1	ML613946456
6	Spectrogram 1	1	3.758645662	3.884041388	979.1	1987.8	1500.0	0.125	99.4	NA	cad	1	ML613946456
7	Waveform 1	1	16.541726228	16.797969669	1542.8	2047.1		0.256		3	d	2	ML613946456
7	Spectrogram 1	1	16.541726228	16.797969669	1542.8	2047.1	1875.0	0.256	124.1	3	d	2	ML613946456
8	Waveform 1	1	16.972433288	17.305004562	1127.4	1839.5		0.333		3	d	2	ML613946456
8	Spectrogram 1	1	16.972433288	17.305004562	1127.4	1839.5	1687.5	0.333	122.0	3	d	2	ML613946456
9	Waveform 1	1	17.446756252	17.735711621	1394.4	1928.5		0.289		3	d	2	ML613946456
9	Spectrogram 1	1	17.446756252	17.735711621	1394.4	1928.5	1781.2	0.289	128.6	3	d	2	ML613946456
10	Waveform 1	1	16.541726228	17.741163609	1127.4	2047.1		1.199		3	t	2	ML613946456
10	Spectrogram 1	1	16.541726228	17.741163609	1127.4	2047.1	1781.2	1.199	128.6	3	t	2	ML613946456
11	Waveform 1	1	16.803421657	16.972433288	1127.4	2047.1		0.169		NA	cad	2	ML613946456
11	Spectrogram 1	1	16.803421657	16.972433288	1127.4	2047.1	1781.2	0.169	109.1	NA	cad	2	ML613946456
12	Waveform 1	1	17.310456550	17.446756252	1097.7	2047.1		0.136		NA	cad	2	ML613946456
12	Spectrogram 1	1	17.310456550	17.446756252	1097.7	2047.1	1406.2	0.136	98.4	NA	cad	2	ML613946456
13	Waveform 1	1	30.062638570	30.329785987	1513.1	2106.5		0.267		3	d	3	ML613946456
13	Spectrogram 1	1	30.062638570	30.329785987	1513.1	2106.5	1781.2	0.267	122.8	3	d	3	ML613946456
14	Waveform 1	1	30.509701594	30.853176844	1186.8	1839.5		0.343		3	d	3	ML613946456
14	Spectrogram 1	1	30.509701594	30.853176844	1186.8	1839.5	1687.5	0.343	121.1	3	d	3	ML613946456
15	Waveform 1	1	30.989476546	31.278431915	1364.8	2047.1		0.289		3	d	3	ML613946456
15	Spectrogram 1	1	30.989476546	31.278431915	1364.8	2047.1	1781.2	0.289	126.7	3	d	3	ML613946456
16	Waveform 1	1	30.062638570	31.283883903	1157.1	2106.5		1.221		3	t	3	ML613946456
16	Spectrogram 1	1	30.062638570	31.283883903	1157.1	2106.5	1781.2	1.221	126.7	3	t	3	ML613946456
17	Waveform 1	1	30.389757856	30.509701594	1157.1	2106.5		0.120		NA	cad	3	ML613946456
17	Spectrogram 1	1	30.389757856	30.509701594	1157.1	2106.5	1781.2	0.120	99.3	NA	cad	3	ML613946456
18	Waveform 1	1	30.869532808	30.984024558	1157.1	2106.5		0.114		NA	cad	3	ML613946456
18	Spectrogram 1	1	30.869532808	30.984024558	1157.1	2106.5	1500.0	0.114	97.8	NA	cad	3	ML613946456
