Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.082971208	1.355460738	1528.1	1730.3		0.272		3	d	1	ML614561334
1	Spectrogram 1	1	1.082971208	1.355460738	1528.1	1730.3	1687.5	0.272	101.1	3	d	1	ML614561334
2	Waveform 1	1	1.558081158	1.973802363	1314.6	1651.7		0.416		3	d	1	ML614561334
2	Spectrogram 1	1	1.558081158	1.973802363	1314.6	1651.7	1523.4	0.416	96.2	3	d	1	ML614561334
3	Waveform 1	1	2.155462050	2.564196344	1337.1	1853.9		0.409		3	d	1	ML614561334
3	Spectrogram 1	1	2.155462050	2.564196344	1337.1	1853.9	1640.6	0.409	108.3	3	d	1	ML614561334
4	Waveform 1	1	1.082971208	2.567689800	1303.4	1853.9		1.485		3	t	1	ML614561334
4	Spectrogram 1	1	1.082971208	2.567689800	1303.4	1853.9	1640.6	1.485	108.3	3	t	1	ML614561334
5	Waveform 1	1	1.358954193	1.561574613	1314.6	1865.2		0.203		NA	cad	1	ML614561334
5	Spectrogram 1	1	1.358954193	1.561574613	1314.6	1865.2	1664.1	0.203	88.4	NA	cad	1	ML614561334
6	Waveform 1	1	1.980789274	2.158955505	1243.3	1771.4		0.178		NA	cad	1	ML614561334
6	Spectrogram 1	1	1.980789274	2.158955505	1243.3	1771.4	1523.4	0.178	87.4	NA	cad	1	ML614561334
7	Waveform 1	1	11.727272840	12.062644569	1505.6	1764.0		0.335		3	d	2	ML614561334
7	Spectrogram 1	1	11.727272840	12.062644569	1505.6	1764.0	1664.1	0.335	101.6	3	d	2	ML614561334
8	Waveform 1	1	12.261771533	12.680986194	1258.4	1595.5		0.419		3	d	2	ML614561334
8	Spectrogram 1	1	12.261771533	12.680986194	1258.4	1595.5	1523.4	0.419	101.2	3	d	2	ML614561334
9	Waveform 1	1	12.855658969	13.271380175	1325.8	1955.1		0.416		3	d	2	ML614561334
9	Spectrogram 1	1	12.855658969	13.271380175	1325.8	1955.1	1710.9	0.416	109.1	3	d	2	ML614561334
10	Waveform 1	1	11.727272840	13.271380175	1239.5	1955.1		1.544		3	t	2	ML614561334
10	Spectrogram 1	1	11.727272840	13.271380175	1239.5	1955.1	1710.9	1.544	109.1	3	t	2	ML614561334
11	Waveform 1	1	12.069631480	12.254784622	1247.2	1955.1		0.185		NA	cad	2	ML614561334
11	Spectrogram 1	1	12.069631480	12.254784622	1247.2	1955.1	1664.1	0.185	89.9	NA	cad	2	ML614561334
12	Waveform 1	1	12.684479649	12.855658969	1175.9	1861.3		0.171		NA	cad	2	ML614561334
12	Spectrogram 1	1	12.684479649	12.855658969	1175.9	1861.3	1500.0	0.171	85.8	NA	cad	2	ML614561334
13	Waveform 1	1	26.913328261	27.356997111	1473.1	1760.5		0.444		3	d	3	ML614561334
13	Spectrogram 1	1	26.913328261	27.356997111	1473.1	1760.5	1710.9	0.444	103.2	3	d	3	ML614561334
14	Waveform 1	1	27.556124075	27.971845280	1311.4	1598.8		0.416		3	d	3	ML614561334
14	Spectrogram 1	1	27.556124075	27.971845280	1311.4	1598.8	1523.4	0.416	104.6	3	d	3	ML614561334
15	Waveform 1	1	28.139531145	28.562239262	1383.2	1886.2		0.423		3	d	3	ML614561334
15	Spectrogram 1	1	28.139531145	28.562239262	1383.2	1886.2	1617.2	0.423	111.3	3	d	3	ML614561334
16	Waveform 1	1	26.913328261	28.565732717	1311.4	1886.2		1.652		3	t	3	ML614561334
16	Spectrogram 1	1	26.913328261	28.565732717	1311.4	1886.2	1617.2	1.652	111.3	3	t	3	ML614561334
17	Waveform 1	1	27.360490566	27.556124075	1311.4	1886.2		0.196		NA	cad	3	ML614561334
17	Spectrogram 1	1	27.360490566	27.556124075	1311.4	1886.2	1710.9	0.196	87.1	NA	cad	3	ML614561334
18	Waveform 1	1	27.975338736	28.139531145	1311.4	1886.2		0.164		NA	cad	3	ML614561334
18	Spectrogram 1	1	27.975338736	28.139531145	1311.4	1886.2	1500.0	0.164	89.7	NA	cad	3	ML614561334
