Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.810916679	1.864058703	1230.8	1807.7		0.053		4	a	1	ML616703718
1	Spectrogram 1	1	1.810916679	1.864058703	1230.8	1807.7	1593.8	0.053	76.1	4	a	1	ML616703718
2	Waveform 1	1	2.227877178	2.395478948	1346.2	1730.8		0.168		4	d	1	ML616703718
2	Spectrogram 1	1	2.227877178	2.395478948	1346.2	1730.8	1593.8	0.168	94.1	4	d	1	ML616703718
3	Waveform 1	1	2.587607805	3.078149569	769.2	1653.8		0.491		4	d	1	ML616703718
3	Spectrogram 1	1	2.587607805	3.078149569	769.2	1653.8	1406.2	0.491	101.6	4	d	1	ML616703718
4	Waveform 1	1	3.225312098	3.593218421	1307.7	1653.8		0.368		4	d	1	ML616703718
4	Spectrogram 1	1	3.225312098	3.593218421	1307.7	1653.8	1500.0	0.368	105.4	4	d	1	ML616703718
5	Waveform 1	1	1.810916679	3.585042725	682.3	1720.7		1.774		4	d	1	ML616703718
5	Spectrogram 1	1	1.810916679	3.585042725	682.3	1720.7	1500.0	1.774	105.4	4	d	1	ML616703718
6	Waveform 1	1	1.872234399	2.227877178	769.2	1769.2		0.356		NA	cad	1	ML616703718
6	Spectrogram 1	1	1.872234399	2.227877178	769.2	1769.2	1593.8	0.356	84.0	NA	cad	1	ML616703718
7	Waveform 1	1	2.403654644	2.583519957	692.3	1807.7		0.180		NA	cad	1	ML616703718
7	Spectrogram 1	1	2.403654644	2.583519957	692.3	1807.7	1593.8	0.180	84.9	NA	cad	1	ML616703718
8	Waveform 1	1	3.082237417	3.225312098	769.2	1807.7		0.143		NA	cad	1	ML616703718
8	Spectrogram 1	1	3.082237417	3.225312098	769.2	1807.7	1406.2	0.143	93.4	NA	cad	1	ML616703718
9	Waveform 1	1	17.055447561	17.133116674	884.6	1769.2		0.078		4	a	2	ML616703718
9	Spectrogram 1	1	17.055447561	17.133116674	884.6	1769.2	1593.8	0.078	91.3	4	a	2	ML616703718
10	Waveform 1	1	17.370211860	17.660449070	1038.5	1961.5		0.290		4	d	2	ML616703718
10	Spectrogram 1	1	17.370211860	17.660449070	1038.5	1961.5	1593.8	0.290	105.3	4	d	2	ML616703718
11	Waveform 1	1	17.840314383	18.351295388	769.2	1615.4		0.511		4	d	2	ML616703718
11	Spectrogram 1	1	17.840314383	18.351295388	769.2	1615.4	1500.0	0.511	114.2	4	d	2	ML616703718
12	Waveform 1	1	18.490282221	18.845925000	1115.4	1730.8		0.356		4	d	2	ML616703718
12	Spectrogram 1	1	18.490282221	18.845925000	1115.4	1730.8	1593.8	0.356	118.0	4	d	2	ML616703718
13	Waveform 1	1	17.055447561	18.850012848	769.2	1961.5		1.795		4	t	2	ML616703718
13	Spectrogram 1	1	17.055447561	18.850012848	769.2	1961.5	1593.8	1.795	118.0	4	t	2	ML616703718
14	Waveform 1	1	17.137204522	17.366124012	884.6	1923.1		0.229		NA	cad	2	ML616703718
14	Spectrogram 1	1	17.137204522	17.366124012	884.6	1923.1	1500.0	0.229	72.8	NA	cad	2	ML616703718
15	Waveform 1	1	17.668624766	17.840314383	807.7	1923.1		0.172		NA	cad	2	ML616703718
15	Spectrogram 1	1	17.668624766	17.840314383	807.7	1923.1	1593.8	0.172	88.5	NA	cad	2	ML616703718
16	Waveform 1	1	18.359471084	18.490282221	682.3	1836.1		0.131		NA	cad	2	ML616703718
16	Spectrogram 1	1	18.359471084	18.490282221	682.3	1836.1	1406.2	0.131	93.2	NA	cad	2	ML616703718
17	Waveform 1	1	32.629393365	32.711150326	1000.0	1769.2		0.082		4	a	3	ML616703718
17	Spectrogram 1	1	32.629393365	32.711150326	1000.0	1769.2	1593.8	0.082	91.4	4	a	3	ML616703718
18	Waveform 1	1	32.923718424	33.238482722	884.6	1923.1		0.315		4	d	3	ML616703718
18	Spectrogram 1	1	32.923718424	33.238482722	884.6	1923.1	1593.8	0.315	106.9	4	d	3	ML616703718
19	Waveform 1	1	33.410172340	33.933416888	730.8	1653.8		0.523		4	d	3	ML616703718
19	Spectrogram 1	1	33.410172340	33.933416888	730.8	1653.8	1500.0	0.523	115.2	4	d	3	ML616703718
20	Waveform 1	1	34.068315873	34.432134348	961.5	1730.8		0.364		4	d	3	ML616703718
20	Spectrogram 1	1	34.068315873	34.432134348	961.5	1730.8	1500.0	0.364	114.3	4	d	3	ML616703718
21	Waveform 1	1	32.629393365	34.432134348	730.8	1923.1		1.803		4	t	3	ML616703718
21	Spectrogram 1	1	32.629393365	34.432134348	730.8	1923.1	1500.0	1.803	115.2	4	t	3	ML616703718
22	Waveform 1	1	32.715238174	32.923718424	730.8	1923.1		0.208		NA	cad	3	ML616703718
22	Spectrogram 1	1	32.715238174	32.923718424	730.8	1923.1	750.0	0.208	67.3	NA	cad	3	ML616703718
23	Waveform 1	1	33.246658418	33.410172340	643.8	1836.1		0.164		NA	cad	3	ML616703718
23	Spectrogram 1	1	33.246658418	33.410172340	643.8	1836.1	1593.8	0.164	79.6	NA	cad	3	ML616703718
24	Waveform 1	1	33.945680432	34.064228025	730.8	1923.1		0.119		NA	cad	3	ML616703718
24	Spectrogram 1	1	33.945680432	34.064228025	730.8	1923.1	1406.2	0.119	89.6	NA	cad	3	ML616703718
