Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
2	Waveform 1	1	1.002529126	1.387203265	1425.8	1738.8		0.385		3	d	1	ML98599161
2	Spectrogram 1	1	1.002529126	1.387203265	1425.8	1738.8	1593.8	0.385	105.7	3	d	1	ML98599161
3	Waveform 1	1	1.578506880	2.071507950	1255.5	1601.8		0.493		3	d	1	ML98599161
3	Spectrogram 1	1	1.578506880	2.071507950	1255.5	1601.8	1406.2	0.493	106.1	3	d	1	ML98599161
4	Waveform 1	1	2.163811850	2.536705011	1212.2	1861.6		0.373		3	d	1	ML98599161
4	Spectrogram 1	1	2.163811850	2.536705011	1212.2	1861.6	1593.8	0.373	114.7	3	d	1	ML98599161
5	Waveform 1	1	1.002533160	2.540479212	1082.3	1731.7		1.538		3	t	1	ML98599161
5	Spectrogram 1	1	1.002533160	2.540479212	1082.3	1731.7	1593.8	1.538	114.7	3	t	1	ML98599161
6	Waveform 1	1	1.393178495	1.579702845	1212.2	1861.6		0.187		NA	cad	1	ML98599161
6	Spectrogram 1	1	1.393178495	1.579702845	1212.2	1861.6	1593.8	0.187	91.8	NA	cad	1	ML98599161
7	Waveform 1	1	2.075928001	2.163911185	1212.2	1861.6		0.088		NA	cad	1	ML98599161
7	Spectrogram 1	1	2.075928001	2.163911185	1212.2	1861.6	1406.2	0.088	85.5	NA	cad	1	ML98599161
8	Waveform 1	1	9.685161259	10.093403232	1385.4	1731.7		0.408		3	d	2	ML98599161
8	Spectrogram 1	1	9.685161259	10.093403232	1385.4	1731.7	1593.8	0.408	107.0	3	d	2	ML98599161
9	Waveform 1	1	10.269369599	10.691688881	1255.5	1558.5		0.422		3	d	2	ML98599161
9	Spectrogram 1	1	10.269369599	10.691688881	1255.5	1558.5	1406.2	0.422	104.8	3	d	2	ML98599161
10	Waveform 1	1	10.860616594	11.233665293	1212.2	1818.3		0.373		3	d	2	ML98599161
10	Spectrogram 1	1	10.860616594	11.233665293	1212.2	1818.3	1593.8	0.373	113.4	3	d	2	ML98599161
11	Waveform 1	1	9.681641932	11.240703948	1212.2	1818.3		1.559		3	t	2	ML98599161
11	Spectrogram 1	1	9.681641932	11.240703948	1212.2	1818.3	1593.8	1.559	113.4	3	t	2	ML98599161
12	Waveform 1	1	10.093403232	10.272888927	1212.2	1818.3		0.179		NA	cad	2	ML98599161
12	Spectrogram 1	1	10.093403232	10.272888927	1212.2	1818.3	1593.8	0.179	96.1	NA	cad	2	ML98599161
13	Waveform 1	1	10.695208209	10.860616594	1212.2	1818.3		0.165		NA	cad	2	ML98599161
13	Spectrogram 1	1	10.695208209	10.860616594	1212.2	1818.3	1406.2	0.165	95.1	NA	cad	2	ML98599161
14	Waveform 1	1	17.887049651	18.344562207	1385.4	1731.7		0.458		3	d	3	ML98599161
14	Spectrogram 1	1	17.887049651	18.344562207	1385.4	1731.7	1593.8	0.458	105.2	3	d	3	ML98599161
15	Waveform 1	1	18.464219336	18.865422654	1255.5	1601.8		0.401		3	d	3	ML98599161
15	Spectrogram 1	1	18.464219336	18.865422654	1255.5	1601.8	1406.2	0.401	104.0	3	d	3	ML98599161
16	Waveform 1	1	19.044908349	19.439073012	1212.2	1818.3		0.394		3	d	3	ML98599161
16	Spectrogram 1	1	19.044908349	19.439073012	1212.2	1818.3	1593.8	0.394	112.1	3	d	3	ML98599161
17	Waveform 1	1	17.887049651	19.439073012	1212.2	1818.3		1.552		3	t	3	ML98599161
17	Spectrogram 1	1	17.887049651	19.439073012	1212.2	1818.3	1593.8	1.552	112.1	3	t	3	ML98599161
18	Waveform 1	1	18.348081534	18.464219336	1212.2	1818.3		0.116		NA	cad	3	ML98599161
18	Spectrogram 1	1	18.348081534	18.464219336	1212.2	1818.3	1593.8	0.116	90.0	NA	cad	3	ML98599161
19	Waveform 1	1	18.872461309	19.044908349	1168.9	1818.3		0.172		NA	cad	3	ML98599161
19	Spectrogram 1	1	18.872461309	19.044908349	1168.9	1818.3	1406.2	0.172	93.0	NA	cad	3	ML98599161
