Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.585152634	4.646195608	1529.9	1917.2			0.0610	4	a	1	XC202803
1	Spectrogram 1	1	4.585152634	4.646195608	1529.9	1917.2	-48.73	1722.656	0.0610	4	a	1	XC202803
2	Waveform 1	1	4.886776742	5.202763904	1529.9	1954.7			0.3160	4	d	1	XC202803
2	Spectrogram 1	1	4.886776742	5.202763904	1529.9	1954.7	-29.80	1722.656	0.3160	4	d	1	XC202803
3	Waveform 1	1	5.389483590	5.877827384	1330.0	1754.8			0.4883	4	d	1	XC202803
3	Spectrogram 1	1	5.389483590	5.877827384	1330.0	1754.8	-24.23	1550.391	0.4883	4	d	1	XC202803
4	Waveform 1	1	6.053774781	6.502620181	1367.5	1842.3			0.4488	4	d	1	XC202803
4	Spectrogram 1	1	6.053774781	6.502620181	1367.5	1842.3	-19.57	1722.656	0.4488	4	d	1	XC202803
5	Waveform 1	1	4.577971107	6.506210944	1317.5	1904.7			1.9282	4	t	1	XC202803
5	Spectrogram 1	1	4.577971107	6.506210944	1317.5	1904.7	-19.57	1722.656	1.9282	4	t	1	XC202803
6	Waveform 1	1	4.639014082	4.893958269	1380.0	1917.2			0.2549	NA	cad	1	XC202803
6	Spectrogram 1	1	4.639014082	4.893958269	1380.0	1917.2	-53.58	1636.523	0.2549	NA	cad	1	XC202803
7	Waveform 1	1	5.199173140	5.382302063	1517.4	1892.2			0.1831	NA	cad	1	XC202803
7	Spectrogram 1	1	5.199173140	5.382302063	1517.4	1892.2	-48.62	1550.391	0.1831	NA	cad	1	XC202803
8	Waveform 1	1	5.877827384	6.046593255	1330.0	1892.2			0.1688	NA	cad	1	XC202803
8	Spectrogram 1	1	5.877827384	6.046593255	1330.0	1892.2	-26.48	1464.258	0.1688	NA	cad	1	XC202803
9	Waveform 1	1	13.607733062	13.675957562	1529.9	1842.3			0.0682	4	a	2	XC202803
9	Spectrogram 1	1	13.607733062	13.675957562	1529.9	1842.3	-46.05	1722.656	0.0682	4	a	2	XC202803
10	Waveform 1	1	13.920129460	14.228935094	1554.9	1867.2			0.3088	4	d	2	XC202803
10	Spectrogram 1	1	13.920129460	14.228935094	1554.9	1867.2	-32.19	1722.656	0.3088	4	d	2	XC202803
11	Waveform 1	1	14.404882491	14.939906207	1255.1	1729.8			0.5350	4	d	2	XC202803
11	Spectrogram 1	1	14.404882491	14.939906207	1255.1	1729.8	-25.38	1550.391	0.5350	4	d	2	XC202803
12	Waveform 1	1	15.079945972	15.543154424	1330.0	1892.2			0.4632	4	d	2	XC202803
12	Spectrogram 1	1	15.079945972	15.543154424	1330.0	1892.2	-18.93	1722.656	0.4632	4	d	2	XC202803
13	Waveform 1	1	13.607733062	15.532382135	1242.6	1883.5			1.9246	4	t	2	XC202803
13	Spectrogram 1	1	13.607733062	15.532382135	1242.6	1883.5	-18.93	1722.656	1.9246	4	t	2	XC202803
14	Waveform 1	1	13.679548325	13.920129460	1346.3	1883.5			0.2406	NA	cad	2	XC202803
14	Spectrogram 1	1	13.679548325	13.920129460	1346.3	1883.5	-55.24	1378.125	0.2406	NA	cad	2	XC202803
15	Waveform 1	1	14.232525858	14.397700965	1346.3	1871.0			0.1652	NA	cad	2	XC202803
15	Spectrogram 1	1	14.232525858	14.397700965	1346.3	1871.0	-46.55	1722.656	0.1652	NA	cad	2	XC202803
16	Waveform 1	1	14.939906207	15.083536735	1321.3	1858.5			0.1436	NA	cad	2	XC202803
16	Spectrogram 1	1	14.939906207	15.083536735	1321.3	1858.5	-46.57	1464.258	0.1436	NA	cad	2	XC202803
17	Waveform 1	1	21.032383291	21.122152371	1484.7	1822.0			0.0898	4	a	3	XC202803
17	Spectrogram 1	1	21.032383291	21.122152371	1484.7	1822.0	-46.03	1722.656	0.0898	4	a	3	XC202803
18	Waveform 1	1	21.359142742	21.639222271	1547.2	1884.5			0.2801	4	d	3	XC202803
18	Spectrogram 1	1	21.359142742	21.639222271	1547.2	1884.5	-30.79	1722.656	0.2801	4	d	3	XC202803
19	Waveform 1	1	21.847486536	22.360965673	1297.3	1734.6			0.5135	4	d	3	XC202803
19	Spectrogram 1	1	21.847486536	22.360965673	1297.3	1734.6	-22.43	1550.391	0.5135	4	d	3	XC202803
20	Waveform 1	1	22.511777728	22.967804654	1309.8	1847.0			0.4560	4	d	3	XC202803
20	Spectrogram 1	1	22.511777728	22.967804654	1309.8	1847.0	-17.61	1722.656	0.4560	4	d	3	XC202803
21	Waveform 1	1	21.032383291	22.957032364	1297.3	1872.0			1.9246	4	t	3	XC202803
21	Spectrogram 1	1	21.032383291	22.957032364	1297.3	1872.0	-17.61	1722.656	1.9246	4	t	3	XC202803
22	Waveform 1	1	21.118561608	21.359142742	1297.3	1872.0			0.2406	NA	cad	3	XC202803
22	Spectrogram 1	1	21.118561608	21.359142742	1297.3	1872.0	-54.12	1550.391	0.2406	NA	cad	3	XC202803
23	Waveform 1	1	21.653585324	21.847486536	1259.8	1859.5			0.1939	NA	cad	3	XC202803
23	Spectrogram 1	1	21.653585324	21.847486536	1259.8	1859.5	-49.93	1550.391	0.1939	NA	cad	3	XC202803
24	Waveform 1	1	22.368147200	22.511777728	1259.8	1884.5			0.1436	NA	cad	3	XC202803
24	Spectrogram 1	1	22.368147200	22.511777728	1259.8	1884.5	-44.89	1464.258	0.1436	NA	cad	3	XC202803
