Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	8.825248877	9.212786302	1398.1	1837.5			0.3875	3	d	1	XC215991
1	Spectrogram 1	1	8.825248877	9.212786302	1398.1	1837.5	-40.22	1636.523	0.3875	3	d	1	XC215991
2	Waveform 1	1	9.380132008	9.714823419	1198.4	1517.9			0.3347	3	d	1	XC215991
2	Spectrogram 1	1	9.380132008	9.714823419	1198.4	1517.9	-46.60	1378.125	0.3347	3	d	1	XC215991
3	Waveform 1	1	9.873361456	10.190437531	1358.2	1717.7			0.3171	3	d	1	XC215991
3	Spectrogram 1	1	9.873361456	10.190437531	1358.2	1717.7	-34.21	1550.391	0.3171	3	d	1	XC215991
4	Waveform 1	1	8.834056546	10.190437531	1238.3	1837.5			1.3564	3	t	1	XC215991
4	Spectrogram 1	1	8.834056546	10.190437531	1238.3	1837.5	-34.21	1550.391	1.3564	3	t	1	XC215991
5	Waveform 1	1	9.203978633	9.371324339	1238.3	1917.4			0.1673	NA	cad	1	XC215991
5	Spectrogram 1	1	9.203978633	9.371324339	1238.3	1917.4	-59.15	1378.125	0.1673	NA	cad	1	XC215991
6	Waveform 1	1	9.723631088	9.864553788	1198.4	1877.4			0.1409	NA	cad	1	XC215991
6	Spectrogram 1	1	9.723631088	9.864553788	1198.4	1877.4	-42.78	1464.258	0.1409	NA	cad	1	XC215991
7	Waveform 1	1	16.148957443	16.536494867	1478.0	1837.5			0.3875	3	d	2	XC215991
7	Spectrogram 1	1	16.148957443	16.536494867	1478.0	1837.5	-37.92	1722.656	0.3875	3	d	2	XC215991
8	Waveform 1	1	16.695032904	17.056147322	1198.4	1677.7			0.3611	3	d	2	XC215991
8	Spectrogram 1	1	16.695032904	17.056147322	1198.4	1677.7	-43.60	1464.258	0.3611	3	d	2	XC215991
9	Waveform 1	1	17.153031678	17.522953765	1238.3	1677.7			0.3699	3	d	2	XC215991
9	Spectrogram 1	1	17.153031678	17.522953765	1238.3	1677.7	-35.32	1550.391	0.3699	3	d	2	XC215991
10	Waveform 1	1	16.140149774	17.522953765	1238.3	1877.4			1.3828	3	t	2	XC215991
10	Spectrogram 1	1	16.140149774	17.522953765	1238.3	1877.4	-35.32	1550.391	1.3828	3	t	2	XC215991
11	Waveform 1	1	16.518879529	16.695032904	1238.3	1957.3			0.1762	NA	cad	2	XC215991
11	Spectrogram 1	1	16.518879529	16.695032904	1238.3	1957.3	-47.29	1722.656	0.1762	NA	cad	2	XC215991
12	Waveform 1	1	17.047339653	17.161839347	1158.4	1997.3			0.1145	NA	cad	2	XC215991
12	Spectrogram 1	1	17.047339653	17.161839347	1158.4	1997.3	-47.58	1464.258	0.1145	NA	cad	2	XC215991
13	Waveform 1	1	24.635378048	24.978877128	1478.0	1877.4			0.3435				
13	Spectrogram 1	1	24.635378048	24.978877128	1478.0	1877.4	-30.45	1722.656	0.3435				
14	Waveform 1	1	23.153888284	23.153888284	1821.9	1821.9			0.0000	3	d	3	XC215991
14	Spectrogram 1	1	23.153888284	23.153888284	1821.9	1821.9	-74.31	1808.789	0.0000	3	d	3	XC215991
15	Waveform 1	1	25.162036755	25.549574179	1242.8	1595.9			0.3875	3	d	3	XC215991
15	Spectrogram 1	1	25.162036755	25.549574179	1242.8	1595.9	-31.69	1464.258	0.3875	3	d	3	XC215991
16	Waveform 1	1	25.646458535	25.989957616	1412.3	1751.2			0.3435	3	d	3	XC215991
16	Spectrogram 1	1	25.646458535	25.989957616	1412.3	1751.2	-25.14	1550.391	0.3435	3	d	3	XC215991
17	Waveform 1	1	24.642384300	25.998765284	1256.9	1836.0			1.3564	3	t	3	XC215991
17	Spectrogram 1	1	24.642384300	25.998765284	1256.9	1836.0	-25.14	1550.391	1.3564	3	t	3	XC215991
18	Waveform 1	1	24.994691049	25.153229086	1285.2	1807.7			0.1585	NA	cad	3	XC215991
18	Spectrogram 1	1	24.994691049	25.153229086	1285.2	1807.7	-48.17	1464.258	0.1585	NA	cad	3	XC215991
19	Waveform 1	1	25.558381848	25.655266204	1271.1	1821.9			0.0969	NA	cad	3	XC215991
19	Spectrogram 1	1	25.558381848	25.655266204	1271.1	1821.9	-42.62	1464.258	0.0969	NA	cad	3	XC215991
