Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.967244414	4.104286917	1651.7	1975.6	0.1370			4	a	1	XC245534
1	Spectrogram 1	1	3.967244414	4.104286917	1651.7	1975.6	0.1370	1875.000	-49.97	4	a	1	XC245534
2	Waveform 1	1	4.399455385	4.810582894	1525.9	1898.0	0.4111			4	d	1	XC245534
2	Spectrogram 1	1	4.399455385	4.810582894	1525.9	1898.0	0.4111	1781.250	-33.39	4	d	1	XC245534
3	Waveform 1	1	4.968708859	5.443086754	1228.1	1860.8	0.4744			4	d	1	XC245534
3	Spectrogram 1	1	4.968708859	5.443086754	1228.1	1860.8	0.4744	1593.750	-30.70	4	d	1	XC245534
4	Waveform 1	1	5.537962333	5.917464649	1302.6	1860.8	0.3795			4	d	1	XC245534
4	Spectrogram 1	1	5.537962333	5.917464649	1302.6	1860.8	0.3795	1687.500	-27.20	4	d	1	XC245534
5	Waveform 1	1	3.977786145	5.917464649	1265.3	1935.2	1.9397			4	t	1	XC245534
5	Spectrogram 1	1	3.977786145	5.917464649	1265.3	1935.2	1.9397	1687.500	-27.20	4	t	1	XC245534
6	Waveform 1	1	4.104286917	4.251871151	1153.7	1898.0	0.1476			NA	cad	1	XC245534
6	Spectrogram 1	1	4.104286917	4.251871151	1153.7	1898.0	0.1476	1875.000	-51.45	NA	cad	1	XC245534
7	Waveform 1	1	4.821124625	4.968708859	1302.6	1860.8	0.1476			NA	cad	1	XC245534
7	Spectrogram 1	1	4.821124625	4.968708859	1302.6	1860.8	0.1476	1687.500	-43.01	NA	cad	1	XC245534
8	Waveform 1	1	5.443086754	5.548504064	1116.5	1972.5	0.1054			NA	cad	1	XC245534
8	Spectrogram 1	1	5.443086754	5.548504064	1116.5	1972.5	0.1054	1593.750	-28.82	NA	cad	1	XC245534
9	Waveform 1	1	15.290190144	15.416690916	1451.4	2009.7	0.1265			4	a	2	XC245534
9	Spectrogram 1	1	15.290190144	15.416690916	1451.4	2009.7	0.1265	1875.000	-40.11	4	a	2	XC245534
10	Waveform 1	1	15.627525536	15.743484577	1488.6	1935.2	0.1160			4	d	2	XC245534
10	Spectrogram 1	1	15.627525536	15.743484577	1488.6	1935.2	0.1160	1781.250	-39.48	4	d	2	XC245534
11	Waveform 1	1	15.806734963	16.196779010	1414.2	2009.7	0.3900			4	d	2	XC245534
11	Spectrogram 1	1	15.806734963	16.196779010	1414.2	2009.7	0.3900	1781.250	-27.30	4	d	2	XC245534
12	Waveform 1	1	16.323279782	16.744949023	1153.7	1860.8	0.4217			4	d	2	XC245534
12	Spectrogram 1	1	16.323279782	16.744949023	1153.7	1860.8	0.4217	1593.750	-24.48	4	d	2	XC245534
13	Waveform 1	1	16.860908064	17.261493842	1377.0	1898.0	0.4006			4	d	2	XC245534
13	Spectrogram 1	1	16.860908064	17.261493842	1377.0	1898.0	0.4006	1687.500	-22.17	4	d	2	XC245534
14	Waveform 1	1	15.311273606	17.261493842	1153.7	1935.2	1.9502			4	t	2	XC245534
14	Spectrogram 1	1	15.311273606	17.261493842	1153.7	1935.2	1.9502	1687.500	-22.17	4	t	2	XC245534
16	Waveform 1	1	15.435138946	15.619619238	1139.0	1928.5	0.1845			NA	cad	2	XC245534
16	Spectrogram 1	1	15.435138946	15.619619238	1139.0	1928.5	0.1845	1781.250	-49.32	NA	cad	2	XC245534
17	Waveform 1	1	16.204685309	16.310102619	1139.0	1954.8	0.1054			NA	cad	2	XC245534
17	Spectrogram 1	1	16.204685309	16.310102619	1139.0	1954.8	0.1054	1781.250	-47.03	NA	cad	2	XC245534
18	Waveform 1	1	16.742313590	16.858272631	1165.3	1928.5	0.1160			NA	cad	2	XC245534
18	Spectrogram 1	1	16.742313590	16.858272631	1165.3	1928.5	0.1160	1593.750	-43.07	NA	cad	2	XC245534
19	Waveform 1	1	26.843306782	26.948724092	1454.8	2060.1	0.1054			4	a	3	XC245534
19	Spectrogram 1	1	26.843306782	26.948724092	1454.8	2060.1	0.1054	1875.000	-42.24	4	a	3	XC245534
20	Waveform 1	1	27.170100443	27.707728724	1454.8	1902.2	0.5376			4	d	3	XC245534
20	Spectrogram 1	1	27.170100443	27.707728724	1454.8	1902.2	0.5376	1781.250	-24.54	4	d	3	XC245534
21	Waveform 1	1	27.865854689	28.350774315	1296.9	1902.2	0.4849			4	d	3	XC245534
21	Spectrogram 1	1	27.865854689	28.350774315	1296.9	1902.2	0.4849	1593.750	-22.97	4	d	3	XC245534
22	Waveform 1	1	28.371857777	28.825152210	1402.2	1849.6	0.4533			4	d	3	XC245534
22	Spectrogram 1	1	28.371857777	28.825152210	1402.2	1849.6	0.4533	1687.500	-20.61	4	d	3	XC245534
23	Waveform 1	1	26.851213081	28.827787643	1270.6	2033.8	1.9766			4	t	3	XC245534
23	Spectrogram 1	1	26.851213081	28.827787643	1270.6	2033.8	1.9766	1687.500	-20.61	4	t	3	XC245534
24	Waveform 1	1	26.988255584	27.167465011	1270.6	1981.1	0.1792			NA	cad	3	XC245534
24	Spectrogram 1	1	26.988255584	27.167465011	1270.6	1981.1	0.1792	1687.500	-50.94	NA	cad	3	XC245534
25	Waveform 1	1	27.715635023	27.857948391	1244.3	1981.1	0.1423			NA	cad	3	XC245534
25	Spectrogram 1	1	27.715635023	27.857948391	1244.3	1981.1	0.1423	1593.750	-48.34	NA	cad	3	XC245534
26	Waveform 1	1	28.348138883	28.379764076	1165.3	2060.1	0.0316			NA	cad	3	XC245534
26	Spectrogram 1	1	28.348138883	28.379764076	1165.3	2060.1	0.0316	1500.000	-46.42	NA	cad	3	XC245534
