Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	6.625702556	6.989076920	1746.2	2167.2	0.3634			3	d	1	XC245584
1	Spectrogram 1	1	6.625702556	6.989076920	1746.2	2167.2	0.3634	1968.750	-27.93	3	d	1	XC245584
2	Waveform 1	1	7.075970789	7.502540695	1325.1	1851.4	0.4266			3	d	1	XC245584
2	Spectrogram 1	1	7.075970789	7.502540695	1325.1	1851.4	0.4266	1593.750	-30.25	3	d	1	XC245584
3	Waveform 1	1	7.542653529	8.045370983	1285.2	1992.4	0.5027			3	d	1	XC245584
3	Spectrogram 1	1	7.542653529	8.045370983	1285.2	1992.4	0.5027	1781.250	-26.68	3	d	1	XC245584
4	Waveform 1	1	6.632176361	8.045370983	1274.3	2130.3	1.4132			3	t	1	XC245584
4	Spectrogram 1	1	6.632176361	8.045370983	1274.3	2130.3	1.4132	1781.250	-26.68	3	t	1	XC245584
5	Waveform 1	1	7.000835828	7.073450571	1311.6	2164.3	0.0726			NA	cad	1	XC245584
5	Spectrogram 1	1	7.000835828	7.073450571	1311.6	2164.3	0.0726	1687.500	-44.98	NA	cad	1	XC245584
6	Waveform 1	1	7.503553282	7.542653529	1122.3	2034.1	0.0391			NA	cad	1	XC245584
6	Spectrogram 1	1	7.503553282	7.542653529	1122.3	2034.1	0.0391	1593.750	-44.86	NA	cad	1	XC245584
7	Waveform 1	1	21.813513648	22.372088598	1762.6	2116.2	0.5586			3	d	2	XC245584
7	Spectrogram 1	1	21.813513648	22.372088598	1762.6	2116.2	0.5586	1968.750	-29.48	3	d	2	XC245584
8	Waveform 1	1	22.366502848	22.841291555	1353.3	1855.7	0.4748			3	d	2	XC245584
8	Spectrogram 1	1	22.366502848	22.841291555	1353.3	1855.7	0.4748	1593.750	-26.81	3	d	2	XC245584
9	Waveform 1	1	22.874806052	23.321666012	1446.3	1892.9	0.4469			3	d	2	XC245584
9	Spectrogram 1	1	22.874806052	23.321666012	1446.3	1892.9	0.4469	1781.250	-20.22	3	d	2	XC245584
10	Waveform 1	1	21.807927899	23.299323014	1334.7	2134.8	1.4914			3	t	2	XC245584
10	Spectrogram 1	1	21.807927899	23.299323014	1334.7	2134.8	1.4914	1781.250	-20.22	3	t	2	XC245584
11	Waveform 1	1	22.355331349	22.377674347	1241.6	2172.0	0.0223			NA	cad	2	XC245584
11	Spectrogram 1	1	22.355331349	22.377674347	1241.6	2172.0	0.0223	1687.500	-50.56	NA	cad	2	XC245584
12	Waveform 1	1	22.846877305	22.869220303	1297.4	2172.0	0.0223			NA	cad	2	XC245584
12	Spectrogram 1	1	22.846877305	22.869220303	1297.4	2172.0	0.0223	1593.750	-50.65	NA	cad	2	XC245584
13	Waveform 1	1	49.316509090	49.802469296	1640.1	2179.7	0.4860			3	d	3	XC245584
13	Spectrogram 1	1	49.316509090	49.802469296	1640.1	2179.7	0.4860	1968.750	-28.05	3	d	3	XC245584
14	Waveform 1	1	49.886255539	50.377801494	1267.9	1807.6	0.4915			3	d	3	XC245584
14	Spectrogram 1	1	49.886255539	50.377801494	1267.9	1807.6	0.4915	1593.750	-26.22	3	d	3	XC245584
15	Waveform 1	1	50.405730242	50.807904205	1305.1	1993.6	0.4022			3	d	3	XC245584
15	Spectrogram 1	1	50.405730242	50.807904205	1305.1	1993.6	0.4022	1781.250	-21.04	3	d	3	XC245584
16	Waveform 1	1	49.316509090	50.802318456	1249.3	2161.1	1.4858			3	t	3	XC245584
16	Spectrogram 1	1	49.316509090	50.802318456	1249.3	2161.1	1.4858	1781.250	-21.04	3	t	3	XC245584
17	Waveform 1	1	49.791297797	49.886255539	1156.3	2123.9	0.0950			NA	cad	3	XC245584
17	Spectrogram 1	1	49.791297797	49.886255539	1156.3	2123.9	0.0950	1687.500	-42.38	NA	cad	3	XC245584
18	Waveform 1	1	50.366629995	50.400144492	1358.4	2121.3	0.0335			NA	cad	3	XC245584
18	Spectrogram 1	1	50.366629995	50.400144492	1358.4	2121.3	0.0335	1781.250	-31.61	NA	cad	3	XC245584
