Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto 	nombre archivo
1	Waveform 1	1	1.682203967	1.731454722	1556.4	1798.5			0.0493				
1	Spectrogram 1	1	1.682203967	1.731454722	1556.4	1798.5	1687.500	-54.08	0.0493				
2	Waveform 1	1	1.944874660	2.263831930	1498.8	1913.8			0.3190	4	d	1	XC245584
2	Spectrogram 1	1	1.944874660	2.263831930	1498.8	1913.8	1687.500	-31.28	0.3190	4	d	1	XC245584
3	Waveform 1	1	2.425975246	2.965293638	1262.1	1718.5			0.5393	4	d	1	XC247859
3	Spectrogram 1	1	2.425975246	2.965293638	1262.1	1718.5	1593.750	-33.59	0.5393	4	d	1	XC247859
4	Waveform 1	1	3.041560885	3.384763498	1342.6	1960.2			0.3432	4	d	1	XC247859
4	Spectrogram 1	1	3.041560885	3.384763498	1342.6	1960.2	1687.500	-24.59	0.3432	4	d	1	XC247859
5	Waveform 1	1	1.690541076	3.390211158	1235.2	1879.7			1.6997	4	t	1	XC247859
5	Spectrogram 1	1	1.690541076	3.390211158	1235.2	1879.7	1687.500	-24.59	1.6997	4	t	1	XC247859
6	Waveform 1	1	1.731398530	1.946581120	1235.2	1852.8			0.2152	NA	cad	1	XC247859
6	Spectrogram 1	1	1.731398530	1.946581120	1235.2	1852.8	1687.500	-53.36	0.2152	NA	cad	1	XC247859
7	Waveform 1	1	2.265269261	2.423251416	1208.3	1825.9			0.1580	NA	cad	1	XC247859
7	Spectrogram 1	1	2.265269261	2.423251416	1208.3	1825.9	1687.500	-55.13	0.1580	NA	cad	1	XC247859
8	Waveform 1	1	2.965293638	3.038837055	1208.3	1906.5			0.0735	NA	cad	1	XC247859
8	Spectrogram 1	1	2.965293638	3.038837055	1208.3	1906.5	1593.750	-51.56	0.0735	NA	cad	1	XC247859
9	Waveform 1	1	13.588231643	13.631812927	1476.9	1906.5			0.0436	4	a	2	XC247859
9	Spectrogram 1	1	13.588231643	13.631812927	1476.9	1906.5	1781.250	-52.47	0.0436	4	a	2	XC247859
10	Waveform 1	1	13.836100196	14.179302809	1450.0	1906.5			0.3432	4	d	2	XC247859
10	Spectrogram 1	1	13.836100196	14.179302809	1450.0	1906.5	1687.500	-33.81	0.3432	4	d	2	XC247859
11	Waveform 1	1	14.345456455	14.773097806	1288.9	1799.1			0.4276	4	d	2	XC247859
11	Spectrogram 1	1	14.345456455	14.773097806	1288.9	1799.1	1593.750	-31.32	0.4276	4	d	2	XC247859
12	Waveform 1	1	14.946514994	15.355089533	1396.3	1906.5			0.4086	4	d	2	XC247859
12	Spectrogram 1	1	14.946514994	15.355089533	1396.3	1906.5	1687.500	-25.55	0.4086	4	d	2	XC247859
13	Waveform 1	1	13.590047524	15.355089533	1208.3	1879.7			1.7650	4	t	2	XC247859
13	Spectrogram 1	1	13.590047524	15.355089533	1208.3	1879.7	1687.500	-25.55	1.7650	4	t	2	XC247859
14	Waveform 1	1	13.630904978	13.835192248	1235.2	1879.7			0.2043	NA	cad	2	XC247859
14	Spectrogram 1	1	13.630904978	13.835192248	1235.2	1879.7	1312.500	-54.09	0.2043	NA	cad	2	XC247859
15	Waveform 1	1	14.181118691	14.344548506	1262.1	1825.9			0.1634	NA	cad	2	XC247859
15	Spectrogram 1	1	14.181118691	14.344548506	1262.1	1825.9	1500.000	-50.52	0.1634	NA	cad	2	XC247859
16	Waveform 1	1	14.777637518	14.943791163	1288.9	1879.7			0.1662	NA	cad	2	XC247859
16	Spectrogram 1	1	14.777637518	14.943791163	1288.9	1879.7	1593.750	-52.53	0.1662	NA	cad	2	XC247859
