Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	0.451531798	0.890636116	1406.0	1850.0			0.4391	3	d	1	XC302211
1	Spectrogram 1	1	0.451531798	0.890636116	1406.0	1850.0	-27.14	1687.500	0.4391	3	d	1	XC302211
2	Waveform 1	1	0.936203545	1.454015241	1282.7	1726.7			0.5178	3	d	1	XC302211
2	Spectrogram 1	1	0.936203545	1.454015241	1282.7	1726.7	-22.91	1500.000	0.5178	3	d	1	XC302211
3	Waveform 1	1	1.512010151	1.942829481	1307.3	1751.3			0.4308	3	d	1	XC302211
3	Spectrogram 1	1	1.512010151	1.942829481	1307.3	1751.3	-24.85	1593.750	0.4308	3	d	1	XC302211
4	Waveform 1	1	0.455674292	1.938686988	1307.3	1874.7			1.4830	3	t	1	XC302211
4	Spectrogram 1	1	0.455674292	1.938686988	1307.3	1874.7	-22.91	1500.000	1.4830	3	t	1	XC302211
5	Waveform 1	1	0.882351129	0.932061052	1356.7	1850.0			0.0497	NA	cad	1	XC302211
5	Spectrogram 1	1	0.882351129	0.932061052	1356.7	1850.0	-42.91	1500.000	0.0497	NA	cad	1	XC302211
6	Waveform 1	1	1.458157734	1.503725164	1307.3	1899.3			0.0456	NA	cad	1	XC302211
6	Spectrogram 1	1	1.458157734	1.503725164	1307.3	1899.3	-39.37	1500.000	0.0456	NA	cad	1	XC302211
7	Waveform 1	1	8.482445975	8.904980318	1504.7	1800.7			0.4225	3	d	2	XC302211
7	Spectrogram 1	1	8.482445975	8.904980318	1504.7	1800.7	-27.34	1687.500	0.4225	3	d	2	XC302211
8	Waveform 1	1	8.942262760	9.501499391	1332.0	1628.0			0.5592	3	d	2	XC302211
8	Spectrogram 1	1	8.942262760	9.501499391	1332.0	1628.0	-22.01	1500.000	0.5592	3	d	2	XC302211
9	Waveform 1	1	9.542924327	10.164298361	1258.0	1751.3			0.6214	3	d	2	XC302211
9	Spectrogram 1	1	9.542924327	10.164298361	1258.0	1751.3	-27.79	1500.000	0.6214	3	d	2	XC302211
10	Waveform 1	1	8.478303481	10.160155868	1208.7	1800.7			1.6819	3	t	2	XC302211
10	Spectrogram 1	1	8.478303481	10.160155868	1208.7	1800.7	-22.01	1500.000	1.6819	3	t	2	XC302211
11	Waveform 1	1	8.900837825	8.938120267	1208.7	1850.0			0.0373	NA	cad	2	XC302211
11	Spectrogram 1	1	8.900837825	8.938120267	1208.7	1850.0	-48.40	1687.500	0.0373	NA	cad	2	XC302211
12	Waveform 1	1	9.501499391	9.547066820	1258.0	1850.0			0.0456	NA	cad	2	XC302211
12	Spectrogram 1	1	9.501499391	9.547066820	1258.0	1850.0	-41.79	1500.000	0.0456	NA	cad	2	XC302211
13	Waveform 1	1	16.644539115	16.934513664	1430.7	1800.7			0.2900	3	d	3	XC302211
13	Spectrogram 1	1	16.644539115	16.934513664	1430.7	1800.7	-27.17	1687.500	0.2900	3	d	3	XC302211
14	Waveform 1	1	16.971796106	17.510320269	1233.3	1702.0			0.5385	3	d	3	XC302211
14	Spectrogram 1	1	16.971796106	17.510320269	1233.3	1702.0	-23.12	1500.000	0.5385	3	d	3	XC302211
15	Waveform 1	1	17.568315179	18.139979291	1282.7	1751.3			0.5717	3	d	3	XC302211
15	Spectrogram 1	1	17.568315179	18.139979291	1282.7	1751.3	-27.72	1593.750	0.5717	3	d	3	XC302211
16	Waveform 1	1	16.644539115	18.135836798	1258.0	1825.3			1.4913	3	t	3	XC302211
16	Spectrogram 1	1	16.644539115	18.135836798	1258.0	1825.3	-23.12	1500.000	1.4913	3	t	3	XC302211
17	Waveform 1	1	16.934513664	16.967653613	1258.0	1800.7			0.0331	NA	cad	3	XC302211
17	Spectrogram 1	1	16.934513664	16.967653613	1258.0	1800.7	-35.31	1500.000	0.0331	NA	cad	3	XC302211
18	Waveform 1	1	17.514462763	17.560030192	1184.0	1800.7			0.0456	NA	cad	3	XC302211
18	Spectrogram 1	1	17.514462763	17.560030192	1184.0	1800.7	-44.02	1500.000	0.0456	NA	cad	3	XC302211
