Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.210477152	4.554082330	1412.2	1650.3	0.3436			3	d	1	XC331467
1	Spectrogram 1	1	4.210477152	4.554082330	1412.2	1650.3	0.3436	1550.391	-48.73	3	d	1	XC331467
2	Waveform 1	1	4.710266502	5.160076916	1276.0	1599.3	0.4498			3	d	1	XC331467
2	Spectrogram 1	1	4.710266502	5.160076916	1276.0	1599.3	0.4498	1464.258	-44.02	3	d	1	XC331467
3	Waveform 1	1	5.316261088	5.678608366	1344.1	1752.4	0.3623			3	d	1	XC331467
3	Spectrogram 1	1	5.316261088	5.678608366	1344.1	1752.4	0.3623	1636.523	-40.31	3	d	1	XC331467
4	Waveform 1	1	4.210477152	5.678608366	1293.1	1735.4	1.4681			3	t	1	XC331467
4	Spectrogram 1	1	4.210477152	5.678608366	1293.1	1735.4	1.4681	1636.523	-40.31	3	t	1	XC331467
5	Waveform 1	1	4.541587596	4.704019135	1276.0	1752.4	0.1624			NA	cad	1	XC331467
5	Spectrogram 1	1	4.541587596	4.704019135	1276.0	1752.4	0.1624	1636.523	-57.22	NA	cad	1	XC331467
6	Waveform 1	1	5.147582183	5.310013721	1259.0	1735.4	0.1624			NA	cad	1	XC331467
6	Spectrogram 1	1	5.147582183	5.310013721	1259.0	1735.4	0.1624	1378.125	-49.67	NA	cad	1	XC331467
7	Waveform 1	1	15.640165812	15.915049954	1395.1	1667.4	0.2749			3	d	2	XC331467
7	Spectrogram 1	1	15.640165812	15.915049954	1395.1	1667.4	0.2749	1550.391	-48.99	3	d	2	XC331467
8	Waveform 1	1	16.114965694	16.521044540	1293.1	1616.3	0.4061			3	d	2	XC331467
8	Spectrogram 1	1	16.114965694	16.521044540	1293.1	1616.3	0.4061	1464.258	-43.65	3	d	2	XC331467
9	Waveform 1	1	16.695970812	17.070812825	1310.1	1718.4	0.3748			3	d	2	XC331467
9	Spectrogram 1	1	16.695970812	17.070812825	1310.1	1718.4	0.3748	1636.523	-40.21	3	d	2	XC331467
10	Waveform 1	1	15.652660546	17.070812825	1293.1	1701.4	1.4182			3	t	2	XC331467
10	Spectrogram 1	1	15.652660546	17.070812825	1293.1	1701.4	1.4182	1636.523	-40.21	3	t	2	XC331467
11	Waveform 1	1	15.908802587	16.114965694	1293.1	1667.4	0.2062			NA	cad	2	XC331467
11	Spectrogram 1	1	15.908802587	16.114965694	1293.1	1667.4	0.2062	1464.258	-51.79	NA	cad	2	XC331467
12	Waveform 1	1	16.527291907	16.695970812	1293.1	1735.4	0.1687			NA	cad	2	XC331467
12	Spectrogram 1	1	16.527291907	16.695970812	1293.1	1735.4	0.1687	1378.125	-51.93	NA	cad	2	XC331467
13	Waveform 1	1	29.931399800	30.218778676	1395.1	1718.4	0.2874			3	d	3	XC331467
13	Spectrogram 1	1	29.931399800	30.218778676	1395.1	1718.4	0.2874	1550.391	-49.03	3	d	3	XC331467
14	Waveform 1	1	30.399952315	30.856010096	1242.0	1582.3	0.4561			3	d	3	XC331467
14	Spectrogram 1	1	30.399952315	30.856010096	1242.0	1582.3	0.4561	1464.258	-41.99	3	d	3	XC331467
15	Waveform 1	1	31.024689002	31.380788913	1310.1	1735.4	0.3561			3	d	3	XC331467
15	Spectrogram 1	1	31.024689002	31.380788913	1310.1	1735.4	0.3561	1636.523	-42.07	3	d	3	XC331467
16	Waveform 1	1	29.931399800	31.374541546	1208.0	1735.4	1.4431			3	t	3	XC331467
16	Spectrogram 1	1	29.931399800	31.374541546	1208.0	1735.4	1.4431	1464.258	-41.99	3	t	3	XC331467
17	Waveform 1	1	30.218778676	30.393704948	1208.0	1718.4	0.1749			NA	cad	3	XC331467
17	Spectrogram 1	1	30.218778676	30.393704948	1208.0	1718.4	0.1749	1550.391	-57.36	NA	cad	3	XC331467
18	Waveform 1	1	30.856010096	31.024689002	1208.0	1735.4	0.1687			NA	cad	3	XC331467
18	Spectrogram 1	1	30.856010096	31.024689002	1208.0	1735.4	0.1687	1464.258	-47.92	NA	cad	3	XC331467
