Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	30.541669792	30.755220092	1349.3	1627.7			0.2136	3	d	1	XC331468
1	Spectrogram 1	1	30.541669792	30.755220092	1349.3	1627.7	1550.391	-48.80	0.2136	3	d	1	XC331468
2	Waveform 1	1	30.968770392	31.467054425	1263.6	1606.3			0.4983	3	d	1	XC331468
2	Spectrogram 1	1	30.968770392	31.467054425	1263.6	1606.3	1464.258	-43.45	0.4983	3	d	1	XC331468
3	Waveform 1	1	31.645013008	31.983134317	1349.3	1756.2			0.3381	3	d	1	XC331468
3	Spectrogram 1	1	31.645013008	31.983134317	1349.3	1756.2	1636.523	-40.20	0.3381	3	d	1	XC331468
4	Waveform 1	1	30.541669792	31.911950883	1242.2	1713.4			1.3703	3	t	1	XC331468
4	Spectrogram 1	1	30.541669792	31.911950883	1242.2	1713.4	1636.523	-40.20	1.3703	3	t	1	XC331468
5	Waveform 1	1	30.808607667	30.950974534	1242.2	1713.4			0.1424	NA	cad	1	XC331468
5	Spectrogram 1	1	30.808607667	30.950974534	1242.2	1713.4	1550.391	-55.02	0.1424	NA	cad	1	XC331468
6	Waveform 1	1	31.467054425	31.627217150	1199.4	1713.4			0.1602	NA	cad	1	XC331468
6	Spectrogram 1	1	31.467054425	31.627217150	1199.4	1713.4	1550.391	-48.03	0.1602	NA	cad	1	XC331468
7	Waveform 1	1	41.876561670	42.196887120	1370.7	1713.4			0.3203	3	d	2	XC331468
7	Spectrogram 1	1	41.876561670	42.196887120	1370.7	1713.4	1550.391	-48.51	0.3203	3	d	2	XC331468
8	Waveform 1	1	42.392641561	42.855333878	1285.0	1542.0			0.4627	3	d	2	XC331468
8	Spectrogram 1	1	42.392641561	42.855333878	1285.0	1542.0	1464.258	-43.07	0.4627	3	d	2	XC331468
9	Waveform 1	1	43.033292461	43.335822053	1370.7	1756.2			0.3025	3	d	2	XC331468
9	Spectrogram 1	1	43.033292461	43.335822053	1370.7	1756.2	1550.391	-41.43	0.3025	3	d	2	XC331468
10	Waveform 1	1	41.912153386	43.318026194	1306.4	1713.4			1.4059	3	t	2	XC331468
10	Spectrogram 1	1	41.912153386	43.318026194	1306.4	1713.4	1550.391	-41.43	1.4059	3	t	2	XC331468
11	Waveform 1	1	42.214682978	42.357049845	1263.6	1713.4			0.1424	NA	cad	2	XC331468
11	Spectrogram 1	1	42.214682978	42.357049845	1263.6	1713.4	1550.391	-62.06	0.1424	NA	cad	2	XC331468
12	Waveform 1	1	42.837538019	42.997700744	1285.0	1756.2			0.1602	NA	cad	2	XC331468
12	Spectrogram 1	1	42.837538019	42.997700744	1285.0	1756.2	1464.258	-50.15	0.1602	NA	cad	2	XC331468
13	Waveform 1	1	54.036315363	54.374436671	1349.3	1692.0			0.3381	3	d	3	XC331468
13	Spectrogram 1	1	54.036315363	54.374436671	1349.3	1692.0	1550.391	-50.83	0.3381	3	d	3	XC331468
14	Waveform 1	1	54.570191113	55.015087571	1199.4	1627.7			0.4449	3	d	3	XC331468
14	Spectrogram 1	1	54.570191113	55.015087571	1199.4	1627.7	1464.258	-43.60	0.4449	3	d	3	XC331468
15	Waveform 1	1	55.193046154	55.620146754	1349.3	1734.8			0.4271	3	d	3	XC331468
15	Spectrogram 1	1	55.193046154	55.620146754	1349.3	1734.8	1636.523	-39.78	0.4271	3	d	3	XC331468
16	Waveform 1	1	54.036315363	55.602350896	1199.4	1713.4			1.5660	3	t	3	XC331468
16	Spectrogram 1	1	54.036315363	55.602350896	1199.4	1713.4	1636.523	-39.78	1.5660	3	t	3	XC331468
17	Waveform 1	1	54.392232529	54.570191113	1285.0	1713.4			0.1780	NA	cad	3	XC331468
17	Spectrogram 1	1	54.392232529	54.570191113	1285.0	1713.4	1464.258	-55.78	0.1780	NA	cad	3	XC331468
18	Waveform 1	1	54.979495854	55.139658579	1199.4	1734.8			0.1602	NA	cad	3	XC331468
18	Spectrogram 1	1	54.979495854	55.139658579	1199.4	1734.8	1378.125	-45.67	0.1602	NA	cad	3	XC331468
