Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.750706032	2.210824471	1484.0	1873.8			0.4601	3	d	1	XC376458
1	Spectrogram 1	1	1.750706032	2.210824471	1484.0	1873.8	1722.656	-35.87	0.4601	3	d	1	XC376458
2	Waveform 1	1	2.330278296	2.781548303	1250.1	1691.9			0.4513	3	d	1	XC376458
2	Spectrogram 1	1	2.330278296	2.781548303	1250.1	1691.9	1464.258	-31.21	0.4513	3	d	1	XC376458
3	Waveform 1	1	2.856759971	3.263787820	1406.0	1717.8			0.4070	3	d	1	XC376458
3	Spectrogram 1	1	2.856759971	3.263787820	1406.0	1717.8	1550.391	-29.66	0.4070	3	d	1	XC376458
4	Waveform 1	1	1.746281816	3.259363604	1237.1	1886.7			1.5131	3	t	1	XC376458
4	Spectrogram 1	1	1.746281816	3.259363604	1237.1	1886.7	1550.391	-29.66	1.5131	3	t	1	XC376458
5	Waveform 1	1	2.206400255	2.325854080	1250.1	1886.7			0.1195	NA	cad	1	XC376458
5	Spectrogram 1	1	2.206400255	2.325854080	1250.1	1886.7	1722.656	-48.15	0.1195	NA	cad	1	XC376458
6	Waveform 1	1	2.777124087	2.856759971	1250.1	1847.8			0.0796	NA	cad	3	XC376458
6	Spectrogram 1	1	2.777124087	2.856759971	1250.1	1847.8	1550.391	-41.69	0.0796	NA	cad	3	XC376458
7	Waveform 1	1	15.261619024	15.655374226	1510.0	1899.7			0.3938	3	d	2	XC376458
7	Spectrogram 1	1	15.261619024	15.655374226	1510.0	1899.7	1722.656	-31.65	0.3938	3	d	2	XC376458
8	Waveform 1	1	15.770403836	16.155310606	1237.1	1652.9			0.3849	3	d	2	XC376458
8	Spectrogram 1	1	15.770403836	16.155310606	1237.1	1652.9	1464.258	-30.82	0.3849	3	d	2	XC376458
9	Waveform 1	1	16.296885510	16.752579733	1341.0	1743.8			0.4557	3	d	2	XC376458
9	Spectrogram 1	1	16.296885510	16.752579733	1341.0	1743.8	1550.391	-26.78	0.4557	3	d	2	XC376458
10	Waveform 1	1	15.252770592	16.752579733	1224.1	1899.7			1.4998	3	t	2	XC376458
10	Spectrogram 1	1	15.252770592	16.752579733	1224.1	1899.7	1550.391	-26.78	1.4998	3	t	2	XC376458
11	Waveform 1	1	15.659798442	15.765979620	1224.1	1860.8			0.1062	NA	cad	2	XC376458
11	Spectrogram 1	1	15.659798442	15.765979620	1224.1	1860.8	1291.992	-53.89	0.1062	NA	cad	2	XC376458
12	Waveform 1	1	16.150886390	16.292461294	1237.1	1899.7			0.1416	NA	cad	2	XC376458
12	Spectrogram 1	1	16.150886390	16.292461294	1237.1	1899.7	1464.258	-45.09	0.1416	NA	cad	2	XC376458
13	Waveform 1	1	26.232458060	26.604092184	1328.0	1639.9			0.3716	3	d	3	XC376458
13	Spectrogram 1	1	26.232458060	26.604092184	1328.0	1639.9	1464.258	-38.58	0.3716	3	d	3	XC376458
14	Waveform 1	1	26.878393560	27.267724547	1263.1	1665.9			0.3893	3	d	3	XC376458
14	Spectrogram 1	1	26.878393560	27.267724547	1263.1	1665.9	1464.258	-30.47	0.3893	3	d	3	XC376458
15	Waveform 1	1	27.391602588	27.785357790	1367.0	1717.8			0.3938	3	d	3	XC376458
15	Spectrogram 1	1	27.391602588	27.785357790	1367.0	1717.8	1550.391	-24.78	0.3938	3	d	3	XC376458
16	Waveform 1	1	26.236882276	27.785357790	1276.1	1717.8			1.5485	3	t	3	XC376458
16	Spectrogram 1	1	26.236882276	27.785357790	1276.1	1717.8	1550.391	-24.78	1.5485	3	t	3	XC376458
17	Waveform 1	1	26.608516400	26.869545129	1276.1	1704.8			0.2610	NA	cad	3	XC376458
17	Spectrogram 1	1	26.608516400	26.869545129	1276.1	1704.8	1636.523	-42.00	0.2610	NA	cad	3	XC376458
18	Waveform 1	1	27.263300331	27.400451019	1302.1	1717.8			0.1372	NA	cad	3	XC376458
18	Spectrogram 1	1	27.263300331	27.400451019	1302.1	1717.8	1550.391	-41.55	0.1372	NA	cad	3	XC376458
