Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	15.568258663	16.046178794	1357.1	1963.4	0.4779			3	d	1	XC402340
1	Spectrogram 1	1	15.568258663	16.046178794	1357.1	1963.4	0.4779	1636.523	-19.38	3	d	1	XC402340
2	Waveform 1	1	16.152383268	16.649613303	1183.8	1761.3	0.4972			3	d	1	XC402340
2	Spectrogram 1	1	16.152383268	16.649613303	1183.8	1761.3	0.4972	1550.391	-15.72	3	d	1	XC402340
3	Waveform 1	1	16.741335349	17.195118100	1357.1	1934.5	0.4538			3	d	1	XC402340
3	Spectrogram 1	1	16.741335349	17.195118100	1357.1	1934.5	0.4538	1722.656	-11.33	3	d	1	XC402340
5	Waveform 1	1	15.563431187	17.199945576	1126.1	2107.8	1.6365			3	t	1	XC402340
5	Spectrogram 1	1	15.563431187	17.199945576	1126.1	2107.8	1.6365	1722.656	-11.33	3	t	1	XC402340
6	Waveform 1	1	16.046178794	16.147555792	1126.1	2021.1	0.1014			Na	cad	1	XC402340
6	Spectrogram 1	1	16.046178794	16.147555792	1126.1	2021.1	0.1014	1636.523	-44.57	Na	cad	1	XC402340
7	Waveform 1	1	16.644785827	16.741335349	1154.9	2107.8	0.0965			NA	cad	1	XC402340
7	Spectrogram 1	1	16.644785827	16.741335349	1154.9	2107.8	0.0965	1464.258	-37.85	NA	cad	1	XC402340
8	Waveform 1	1	27.474214748	27.836275453	1385.9	1963.4	0.3621			3	d	2	XC402340
8	Spectrogram 1	1	27.474214748	27.836275453	1385.9	1963.4	0.3621	1722.656	-20.30	3	d	2	XC402340
9	Waveform 1	1	27.976272260	28.449364915	1212.7	1732.4	0.4731			3	d	2	XC402340
9	Spectrogram 1	1	27.976272260	28.449364915	1212.7	1732.4	0.4731	1464.258	-16.46	3	d	2	XC402340
10	Waveform 1	1	28.560396865	28.985214759	1357.1	1992.3	0.4248			3	d	2	XC402340
10	Spectrogram 1	1	28.560396865	28.985214759	1357.1	1992.3	0.4248	1636.523	-10.89	3	d	2	XC402340
11	Waveform 1	1	27.474214748	28.994869711	1212.7	1963.4	1.5207			3	t	2	XC402340
11	Spectrogram 1	1	27.474214748	28.994869711	1212.7	1963.4	1.5207	1636.523	-10.89	3	t	2	XC402340
12	Waveform 1	1	27.831447977	27.971444784	1241.6	1934.5	0.1400			NA	cad	2	XC402340
12	Spectrogram 1	1	27.831447977	27.971444784	1241.6	1934.5	0.1400	1636.523	-39.91	NA	cad	2	XC402340
13	Waveform 1	1	28.454192391	28.550741912	1154.9	2021.1	0.0965			NA	cad	2	XC402340
13	Spectrogram 1	1	28.454192391	28.550741912	1154.9	2021.1	0.0965	1464.258	-39.08	NA	cad	2	XC402340
14	Waveform 1	1	37.968815823	38.084675249	1241.6	1905.7	0.1159			4	a	3	XC402340
14	Spectrogram 1	1	37.968815823	38.084675249	1241.6	1905.7	0.1159	1722.656	-43.76	4	a	3	XC402340
15	Waveform 1	1	38.427426050	38.919828610	1328.2	1819.0	0.4924			4	d	3	XC402340
15	Spectrogram 1	1	38.427426050	38.919828610	1328.2	1819.0	0.4924	1636.523	-18.05	4	d	3	XC402340
16	Waveform 1	1	38.992240751	39.523263119	1270.4	1761.3	0.5310			4	d	3	XC402340
16	Spectrogram 1	1	38.992240751	39.523263119	1270.4	1761.3	0.5310	1464.258	-15.41	4	d	3	XC402340
17	Waveform 1	1	39.586020308	40.059112963	1270.4	1934.5	0.4731			4	d	3	XC402340
17	Spectrogram 1	1	39.586020308	40.059112963	1270.4	1934.5	0.4731	1636.523	-11.09	4	d	3	XC402340
18	Waveform 1	1	37.968815823	40.063940439	1270.4	1876.8	2.0951			4	t	3	XC402340
18	Spectrogram 1	1	37.968815823	40.063940439	1270.4	1876.8	2.0951	1636.523	-11.09	4	t	3	XC402340
19	Waveform 1	1	38.070192821	38.422598574	1241.6	1876.8	0.3524			NA	cad	3	XC402340
19	Spectrogram 1	1	38.070192821	38.422598574	1241.6	1876.8	0.3524	1464.258	-50.25	NA	cad	3	XC402340
20	Waveform 1	1	38.919828610	38.992240751	1212.7	1819.0	0.0724			NA	cad	3	XC402340
20	Spectrogram 1	1	38.919828610	38.992240751	1212.7	1819.0	0.0724	1550.391	-43.11	NA	cad	3	XC402340
21	Waveform 1	1	39.513608167	39.595675260	1299.3	1819.0	0.0821			NA	cad	3	XC402340
21	Spectrogram 1	1	39.513608167	39.595675260	1299.3	1819.0	0.0821	1636.523	-38.97	NA	cad	3	XC402340
