Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.173797100	4.574980126	1307.2	1720.0			0.4012	3	d	1	XC423762
1	Spectrogram 1	1	4.173797100	4.574980126	1307.2	1720.0	1593.750	-26.05	0.4012	3	d	1	XC423762
2	Waveform 1	1	4.662330098	5.048544000	1192.5	1628.3			0.3862	3	d	1	XC423762
2	Spectrogram 1	1	4.662330098	5.048544000	1192.5	1628.3	1500.000	-19.79	0.3862	3	d	1	XC423762
3	Waveform 1	1	5.188674708	5.568052966	1261.3	1765.9			0.3794	3	d	1	XC423762
3	Spectrogram 1	1	5.188674708	5.568052966	1261.3	1765.9	1500.000	-19.60	0.3794	3	d	1	XC423762
4	Waveform 1	1	4.176999354	5.568052966	1238.4	1811.7			1.3911	3	t	1	XC423762
4	Spectrogram 1	1	4.176999354	5.568052966	1238.4	1811.7	1500.000	-19.60	1.3911	3	t	1	XC423762
5	Waveform 1	1	4.573466722	4.665747920	1261.3	1720.0			0.0923	NA	cad	1	XC423762
5	Spectrogram 1	1	4.573466722	4.665747920	1261.3	1720.0	1406.250	-41.52	0.0923	NA	cad	1	XC423762
6	Waveform 1	1	5.045126178	5.192092531	1238.4	1720.0			0.1470	NA	cad	1	XC423762
6	Spectrogram 1	1	5.045126178	5.192092531	1238.4	1720.0	1500.000	-37.14	0.1470	NA	cad	1	XC423762
7	Waveform 1	1	14.345020220	14.720980655	1376.0	1720.0			0.3760	3	d	2	XC423762
7	Spectrogram 1	1	14.345020220	14.720980655	1376.0	1720.0	1593.750	-26.89	0.3760	3	d	2	XC423762
8	Waveform 1	1	14.833768786	15.209729222	1123.7	1765.9			0.3760	3	d	2	XC423762
8	Spectrogram 1	1	14.833768786	15.209729222	1123.7	1765.9	1500.000	-22.66	0.3760	3	d	2	XC423762
9	Waveform 1	1	15.346442108	15.770252054	1376.0	1765.9			0.4238	3	d	2	XC423762
9	Spectrogram 1	1	15.346442108	15.770252054	1376.0	1765.9	1593.750	-21.15	0.4238	3	d	2	XC423762
10	Waveform 1	1	14.345020220	15.773669876	1123.7	1765.9			1.4286	3	t	2	XC423762
10	Spectrogram 1	1	14.345020220	15.773669876	1123.7	1765.9	1593.750	-21.15	1.4286	3	t	2	XC423762
11	Waveform 1	1	14.720980655	14.833768786	1123.7	1742.9			0.1128	NA	cad	2	XC423762
11	Spectrogram 1	1	14.720980655	14.833768786	1123.7	1742.9	1406.250	-38.84	0.1128	NA	cad	2	XC423762
12	Waveform 1	1	15.209729222	15.346442108	1169.6	1742.9			0.1367	NA	cad	2	XC423762
12	Spectrogram 1	1	15.209729222	15.346442108	1169.6	1742.9	1500.000	-37.78	0.1367	NA	cad	2	XC423762
13	Waveform 1	1	21.327630844	21.536117995	1307.2	1765.9			0.2085	3	d	3	XC423762
13	Spectrogram 1	1	21.327630844	21.536117995	1307.2	1765.9	1593.750	-24.35	0.2085	3	d	3	XC423762
14	Waveform 1	1	21.717262568	22.106894293	1192.5	1674.1			0.3896	3	d	3	XC423762
14	Spectrogram 1	1	21.717262568	22.106894293	1192.5	1674.1	1500.000	-20.85	0.3896	3	d	3	XC423762
15	Waveform 1	1	22.253860645	22.759698322	1215.5	1720.0			0.5058	3	d	3	XC423762
15	Spectrogram 1	1	22.253860645	22.759698322	1215.5	1720.0	1593.750	-19.97	0.5058	3	d	3	XC423762
16	Waveform 1	1	21.320795200	22.756280500	1100.8	1788.8			1.4355	3	t	3	XC423762
16	Spectrogram 1	1	21.320795200	22.756280500	1100.8	1788.8	1593.750	-19.97	1.4355	3	t	3	XC423762
17	Waveform 1	1	21.536873646	21.714625692	1236.9	1742.3			0.1778	NA	cad	3	XC423762
17	Spectrogram 1	1	21.536873646	21.714625692	1236.9	1742.3	1593.750	-38.15	0.1778	NA	cad	3	XC423762
18	Waveform 1	1	22.105680191	22.247881828	1250.2	1755.6			0.1422	NA	cad	3	XC423762
18	Spectrogram 1	1	22.105680191	22.247881828	1250.2	1755.6	1406.250	-37.47	0.1422	NA	cad	3	XC423762
