Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	Peak Freq (Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	0.330935059	0.445074955	1249.9	1858.9		0.1141		4	d	1	XC432481
1	Spectrogram 1	1	0.330935059	0.445074955	1249.9	1858.9	-49.81	0.1141	1636.523	4	d	1	XC432481
2	Waveform 1	1	0.597261484	1.151315564	1378.1	1730.7		0.5541		4	d	1	XC432481
2	Spectrogram 1	1	0.597261484	1.151315564	1378.1	1730.7	-24.15	0.5541	1636.523	4	d	1	XC432481
3	Waveform 1	1	1.160827222	1.617386807	1185.8	1666.6		0.4566		4	d	1	XC432481
3	Spectrogram 1	1	1.160827222	1.617386807	1185.8	1666.6	-24.00	0.4566	1378.125	4	d	1	XC432481
4	Waveform 1	1	1.626898465	2.247534152	1282.0	1762.7		0.6206		4	d	1	XC432481
4	Spectrogram 1	1	1.626898465	2.247534152	1282.0	1762.7	-20.58	0.6206	1550.391	4	d	1	XC432481
5	Waveform 1	1	0.330576323	2.256687074	1089.7	1858.9		1.9261		4	t	1	XC432481
5	Spectrogram 1	1	0.330576323	2.256687074	1089.7	1858.9	-20.58	1.9261	1550.391	4	t	1	XC432481
6	Waveform 1	1	0.447094134	0.592146919	1153.8	1826.8		0.1451		NA	cad	1	XC432481
6	Spectrogram 1	1	0.447094134	0.592146919	1153.8	1826.8	-58.44	0.1451	1636.523	NA	cad	1	XC432481
7	Waveform 1	1	1.150956828	1.160468486	1634.5	1794.8		0.0095		NA	cad	1	XC432481
7	Spectrogram 1	1	1.150956828	1.160468486	1634.5	1794.8	-55.01	0.0095	1636.523	NA	cad	1	XC432481
8	Waveform 1	1	1.617028072	1.628917644	1314.0	1826.8		0.0119		NA	cad	1	XC432481
8	Spectrogram 1	1	1.617028072	1.628917644	1314.0	1826.8	-56.49	0.0119	1464.258	NA	cad	1	XC432481
9	Waveform 1	1	7.177829264	7.261056272	1378.1	1794.8		0.0832		4	d	2	XC432481
9	Spectrogram 1	1	7.177829264	7.261056272	1378.1	1794.8	-41.34	0.0832	1636.523	4	d	2	XC432481
10	Waveform 1	1	7.422754459	7.886447788	1346.1	1858.9		0.4637		4	d	2	XC432481
10	Spectrogram 1	1	7.422754459	7.886447788	1346.1	1858.9	-23.12	0.4637	1636.523	4	d	2	XC432481
11	Waveform 1	1	7.972052710	8.411966894	1153.8	1730.7		0.4399		4	d	2	XC432481
11	Spectrogram 1	1	7.972052710	8.411966894	1153.8	1730.7	-24.71	0.4399	1464.258	4	d	2	XC432481
12	Waveform 1	1	8.435746039	8.839991505	1314.0	1762.7		0.4042		4	d	2	XC432481
12	Spectrogram 1	1	8.435746039	8.839991505	1314.0	1762.7	-16.58	0.4042	1550.391	4	d	2	XC432481
13	Waveform 1	1	7.170695521	8.842369420	1089.7	1890.9		1.6717		4	t	2	XC432481
13	Spectrogram 1	1	7.170695521	8.842369420	1089.7	1890.9	-16.58	1.6717	1550.391	4	t	2	XC432481
14	Waveform 1	1	7.261056272	7.425132373	1217.9	1826.8		0.1641		NA	cad	2	XC432481
14	Spectrogram 1	1	7.261056272	7.425132373	1217.9	1826.8	-49.31	0.1641	1550.391	NA	cad	2	XC432481
15	Waveform 1	1	7.884069873	7.972052710	1121.7	1858.9		0.0880		NA	cad	2	XC432481
15	Spectrogram 1	1	7.884069873	7.972052710	1121.7	1858.9	-47.53	0.0880	1636.523	NA	cad	2	XC432481
16	Waveform 1	1	8.411966894	8.435746039	1089.7	1794.8		0.0238		NA	cad	2	XC432481
16	Spectrogram 1	1	8.411966894	8.435746039	1089.7	1794.8	-55.66	0.0238	1378.125	NA	cad	2	XC432481
17	Waveform 1	1	14.636073115	14.728811781	1346.1	1794.8		0.0927		4	d	3	XC432481
17	Spectrogram 1	1	14.636073115	14.728811781	1346.1	1794.8	-46.69	0.0927	1636.523	4	d	3	XC432481
18	Waveform 1	1	14.883376224	15.389872014	1410.2	1730.7		0.5065		4	d	3	XC432481
18	Spectrogram 1	1	14.883376224	15.389872014	1410.2	1730.7	-25.78	0.5065	1636.523	4	d	3	XC432481
19	Waveform 1	1	15.444564048	15.889234061	1185.8	1666.6		0.4447		4	d	3	XC432481
19	Spectrogram 1	1	15.444564048	15.889234061	1185.8	1666.6	-23.18	0.4447	1464.258	4	d	3	XC432481
20	Waveform 1	1	15.915391120	16.436154398	1314.0	1794.8		0.5208		4	d	3	XC432481
20	Spectrogram 1	1	15.915391120	16.436154398	1314.0	1794.8	-17.89	0.5208	1550.391	4	d	3	XC432481
21	Waveform 1	1	14.633695201	16.445666056	1185.8	1794.8		1.8120		4	t	3	XC432481
21	Spectrogram 1	1	14.633695201	16.445666056	1185.8	1794.8	-17.89	1.8120	1550.391	4	t	3	XC432481
22	Waveform 1	1	14.731189695	14.883376224	1314.0	1730.7		0.1522		NA	cad	3	XC432481
22	Spectrogram 1	1	14.731189695	14.883376224	1314.0	1730.7	-58.24	0.1522	1636.523	NA	cad	3	XC432481
23	Waveform 1	1	15.392249929	15.444564048	1217.9	1698.6		0.0523		NA	cad	3	XC432481
23	Spectrogram 1	1	15.392249929	15.444564048	1217.9	1698.6	-48.79	0.0523	1464.258	NA	cad	3	XC432481
24	Waveform 1	1	15.886856146	15.917769035	1249.9	1730.7		0.0309		NA	cad	3	XC432481
24	Spectrogram 1	1	15.886856146	15.917769035	1249.9	1730.7	-46.50	0.0309	1550.391	NA	cad	3	XC432481
