Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	0.688355380	0.788048228	1187.3	1823.4			0.0997	4	a	1	XC442567
1	Spectrogram 1	1	0.688355380	0.788048228	1187.3	1823.4	-41.66	1550.391	0.0997	4	a	1	XC442567
2	Waveform 1	1	1.020664873	1.466909051	1187.3	1865.8			0.4462	4	d	1	XC442567
2	Spectrogram 1	1	1.020664873	1.466909051	1187.3	1865.8	-11.41	1636.523	0.4462	4	d	1	XC442567
3	Waveform 1	1	1.561854620	1.984362405	1272.1	1781.0			0.4225	4	d	1	XC442567
3	Spectrogram 1	1	1.561854620	1.984362405	1272.1	1781.0	-19.71	1464.258	0.4225	4	d	1	XC442567
4	Waveform 1	1	2.098297088	2.473332088	1272.1	1950.6			0.3750	4	d	1	XC442567
4	Spectrogram 1	1	2.098297088	2.473332088	1272.1	1950.6	-11.51	1636.523	0.3750	4	d	1	XC442567
5	Waveform 1	1	0.688355380	2.473332088	1187.3	1865.8			1.7850	4	t	1	XC442567
5	Spectrogram 1	1	0.688355380	2.473332088	1187.3	1865.8	-11.41	1636.523	1.7850	4	t	1	XC442567
6	Waveform 1	1	0.792795506	1.020664873	1144.9	1781.0			0.2279	NA	cad	1	XC442567
6	Spectrogram 1	1	0.792795506	1.020664873	1144.9	1781.0	-53.78	1205.859	0.2279	NA	cad	1	XC442567
7	Waveform 1	1	1.466909051	1.557107342	1144.9	1865.8			0.0902	NA	 cad	1	XC442567
7	Spectrogram 1	1	1.466909051	1.557107342	1144.9	1865.8	-39.26	1636.523	0.0902	NA	 cad	1	XC442567
8	Waveform 1	1	1.989109683	2.088802532	1144.9	1823.4			0.0997	NA	cad	1	XC442567
8	Spectrogram 1	1	1.989109683	2.088802532	1144.9	1823.4	-37.13	1464.258	0.0997	NA	cad	1	XC442567
9	Waveform 1	1	9.957726893	10.043177905	1187.3	1653.7			0.0855	4	a	2	XC442567
9	Spectrogram 1	1	9.957726893	10.043177905	1187.3	1653.7	-33.58	1464.258	0.0855	4	a	2	XC442567
10	Waveform 1	1	10.261552715	10.646082272	1229.7	1823.4			0.3845	4	d	2	XC442567
10	Spectrogram 1	1	10.261552715	10.646082272	1229.7	1823.4	-12.80	1636.523	0.3845	4	d	2	XC442567
11	Waveform 1	1	10.821731576	11.234744804	1144.9	1823.4			0.4130	4	d	2	XC442567
11	Spectrogram 1	1	10.821731576	11.234744804	1144.9	1823.4	-18.09	1464.258	0.4130	4	d	2	XC442567
12	Waveform 1	1	11.343932209	11.733209044	1229.7	1993.0			0.3893	4	d	2	XC442567
12	Spectrogram 1	1	11.343932209	11.733209044	1229.7	1993.0	-11.78	1636.523	0.3893	4	d	2	XC442567
13	Waveform 1	1	9.948232336	11.733209044	1144.9	1908.2			1.7850	4	t	2	XC442567
13	Spectrogram 1	1	9.948232336	11.733209044	1144.9	1908.2	-11.78	1636.523	1.7850	4	t	2	XC442567
14	Waveform 1	1	10.033683348	10.266299994	1187.3	1865.8			0.2326	NA	cad	2	XC442567
14	Spectrogram 1	1	10.033683348	10.266299994	1187.3	1865.8	-52.05	1464.258	0.2326	NA	cad	2	XC442567
15	Waveform 1	1	10.646082272	10.816984298	1102.5	1823.4			0.1709	NA	cad	2	XC442567
15	Spectrogram 1	1	10.646082272	10.816984298	1102.5	1823.4	-35.09	1550.391	0.1709	NA	cad	2	XC442567
16	Waveform 1	1	11.229997525	11.343932209	1017.7	1950.6			0.1139	NA	cad	2	XC442567
16	Spectrogram 1	1	11.229997525	11.343932209	1017.7	1950.6	-34.51	1464.258	0.1139	NA	cad	2	XC442567
17	Waveform 1	1	18.113625580	18.213318428	1144.9	1653.7			0.0997	4	a	3	XC442567
17	Spectrogram 1	1	18.113625580	18.213318428	1144.9	1653.7	-45.59	1550.391	0.0997	4	a	3	XC442567
18	Waveform 1	1	18.426945960	18.782991846	1187.3	1738.6			0.3560	4	d	3	XC442567
18	Spectrogram 1	1	18.426945960	18.782991846	1187.3	1738.6	-14.26	1636.523	0.3560	4	d	3	XC442567
19	Waveform 1	1	18.982377542	19.385896213	1272.1	1908.2			0.4035	4	d	3	XC442567
19	Spectrogram 1	1	18.982377542	19.385896213	1272.1	1908.2	-19.61	1464.258	0.4035	4	d	3	XC442567
20	Waveform 1	1	19.518820010	19.874865896	1314.5	1950.6			0.3560	4	d	3	XC442567
20	Spectrogram 1	1	19.518820010	19.874865896	1314.5	1950.6	-13.05	1636.523	0.3560	4	d	3	XC442567
21	Waveform 1	1	18.118372859	19.874865896	1187.3	1908.2			1.7565	4	t	3	XC442567
21	Spectrogram 1	1	18.118372859	19.874865896	1187.3	1908.2	-13.05	1636.523	1.7565	4	t	3	XC442567
22	Waveform 1	1	18.218065707	18.426945960	1144.9	1908.2			0.2089	NA	cad	3	XC442567
22	Spectrogram 1	1	18.218065707	18.426945960	1144.9	1908.2	-53.88	1205.859	0.2089	NA	cad	3	XC442567
23	Waveform 1	1	18.782991846	18.977630264	1144.9	1950.6			0.1946	NA	cad	3	XC442567
23	Spectrogram 1	1	18.782991846	18.977630264	1144.9	1950.6	-33.13	1550.391	0.1946	NA	cad	3	XC442567
24	Waveform 1	1	19.390643491	19.514072732	1187.3	1865.8			0.1234	NA	cad	3	XC442567
24	Spectrogram 1	1	19.390643491	19.514072732	1187.3	1865.8	-38.21	1464.258	0.1234	NA	cad	3	XC442567
