Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.157900874	3.494761361	1440.5	1994.9			0.3369	3	d	1	XC484121
1	Spectrogram 1	1	3.157900874	3.494761361	1440.5	1994.9	1687.500	-24.36	0.3369	3	d	1	XC484121
2	Waveform 1	1	3.566712144	3.913384101	1295.9	1826.2			0.3467	3	d	1	XC484121
2	Spectrogram 1	1	3.566712144	3.913384101	1295.9	1826.2	1687.500	-18.53	0.3467	3	d	1	XC484121
3	Waveform 1	1	4.021310277	4.518424781	1271.7	1970.8			0.4971	3	d	1	XC484121
3	Spectrogram 1	1	4.021310277	4.518424781	1271.7	1970.8	1687.500	-15.07	0.4971	3	d	1	XC484121
4	Waveform 1	1	3.157900874	4.524965761	1320.0	1994.9			1.3671	3	t	1	XC484121
4	Spectrogram 1	1	3.157900874	4.524965761	1320.0	1994.9	1687.500	-15.07	1.3671	3	t	1	XC484121
5	Waveform 1	1	3.498031851	3.560171164	1320.0	1970.8			0.0621	NA	cad	1	XC484121
5	Spectrogram 1	1	3.498031851	3.560171164	1320.0	1970.8	1687.500	-47.51	0.0621	NA	cad	1	XC484121
6	Waveform 1	1	3.916654591	4.018039786	1320.0	1946.7			0.1014	NA	cad	1	XC484121
6	Spectrogram 1	1	3.916654591	4.018039786	1320.0	1946.7	1500.000	-27.30	0.1014	NA	cad	1	XC484121
7	Waveform 1	1	12.676723665	13.134592288	1440.5	2019.0			0.4579	3	d	2	XC484121
7	Spectrogram 1	1	12.676723665	13.134592288	1440.5	2019.0	1687.500	-20.44	0.4579	3	d	2	XC484121
8	Waveform 1	1	13.173838170	13.556485519	1295.9	1874.4			0.3826	3	d	2	XC484121
8	Spectrogram 1	1	13.173838170	13.556485519	1295.9	1874.4	1687.500	-19.49	0.3826	3	d	2	XC484121
9	Waveform 1	1	13.615354342	14.105927866	1368.2	1994.9			0.4906	3	d	2	XC484121
9	Spectrogram 1	1	13.615354342	14.105927866	1368.2	1994.9	1687.500	-15.02	0.4906	3	d	2	XC484121
10	Waveform 1	1	12.679994156	14.102657376	1295.9	2043.1			1.4227	3	t	2	XC484121
10	Spectrogram 1	1	12.679994156	14.102657376	1295.9	2043.1	1687.500	-15.02	1.4227	3	t	2	XC484121
11	Waveform 1	1	13.128051308	13.173838170	1320.0	1994.9			0.0458	NA	cad	2	XC484121
11	Spectrogram 1	1	13.128051308	13.173838170	1320.0	1994.9	1500.000	-42.46	0.0458	NA	cad	2	XC484121
12	Waveform 1	1	13.556485519	13.615354342	1295.9	1970.8			0.0589	NA	cad	2	XC484121
12	Spectrogram 1	1	13.556485519	13.615354342	1295.9	1970.8	1593.750	-41.37	0.0589	NA	cad	2	XC484121
13	Waveform 1	1	21.397724066	21.479486320	1561.0	1850.3			0.0818	4	a	3	XC484121
13	Spectrogram 1	1	21.397724066	21.479486320	1561.0	1850.3	1687.500	-53.42	0.0818	4	a	3	XC484121
14	Waveform 1	1	21.705150141	22.143395823	1464.6	2067.2			0.4382	4	d	3	XC484121
14	Spectrogram 1	1	21.705150141	22.143395823	1464.6	2067.2	1781.250	-19.07	0.4382	4	d	3	XC484121
15	Waveform 1	1	22.225158077	22.597993955	1320.0	1946.7			0.3728	4	d	3	XC484121
15	Spectrogram 1	1	22.225158077	22.597993955	1320.0	1946.7	1687.500	-16.85	0.3728	4	d	3	XC484121
16	Waveform 1	1	22.676485719	23.118001891	1368.2	2019.0			0.4415	4	d	3	XC484121
16	Spectrogram 1	1	22.676485719	23.118001891	1368.2	2019.0	1687.500	-14.57	0.4415	4	d	3	XC484121
17	Waveform 1	1	21.397724066	23.121272381	1295.9	2043.1			1.7235	4	t	3	XC484121
17	Spectrogram 1	1	21.397724066	23.121272381	1295.9	2043.1	1687.500	-14.57	1.7235	4	t	3	XC484121
18	Waveform 1	1	21.479486320	21.705150141	1271.7	2019.0			0.2257	NA	cad	3	XC484121
18	Spectrogram 1	1	21.479486320	21.705150141	1271.7	2019.0	1593.750	-60.20	0.2257	NA	cad	3	XC484121
19	Waveform 1	1	22.143395823	22.221887586	1271.7	2019.0			0.0785	NA	cad	3	XC484121
19	Spectrogram 1	1	22.143395823	22.221887586	1271.7	2019.0	1781.250	-44.73	0.0785	NA	cad	3	XC484121
20	Waveform 1	1	22.594723465	22.676485719	1320.0	1970.8			0.0818	NA	cad	3	XC484121
20	Spectrogram 1	1	22.594723465	22.676485719	1320.0	1970.8	1593.750	-37.90	0.0818	NA	cad	3	XC484121
