Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.743380484	1.932611602	1443.6	1699.7	0.1892			3	d	1	XC538307
1	Spectrogram 1	1	1.743380484	1.932611602	1443.6	1699.7	0.1892	1550.391	-45.49	3	d	1	XC538307
2	Waveform 1	1	2.204379698	2.562710964	1287.4	1512.3	0.3583			3	d	1	XC538307
2	Spectrogram 1	1	2.204379698	2.562710964	1287.4	1512.3	0.3583	1378.125	-53.75	3	d	1	XC538307
3	Waveform 1	1	2.759994471	3.134430513	1362.4	1662.2	0.3744			3	d	1	XC538307
3	Spectrogram 1	1	2.759994471	3.134430513	1362.4	1662.2	0.3744	1550.391	-43.09	3	d	1	XC538307
4	Waveform 1	1	1.741367387	3.130404319	1287.4	1699.7	1.3890			3	t	1	XC538307
4	Spectrogram 1	1	1.741367387	3.130404319	1287.4	1699.7	1.3890	1550.391	-43.09	3	t	1	XC538307
5	Waveform 1	1	1.930598505	2.200353504	1299.9	1662.2	0.2698			NA	cad	1	XC538307
5	Spectrogram 1	1	1.930598505	2.200353504	1299.9	1662.2	0.2698	1550.391	-58.14	NA	cad	1	XC538307
6	Waveform 1	1	2.562710964	2.759994471	1299.9	1637.3	0.1973			NA	cad	1	XC538307
6	Spectrogram 1	1	2.562710964	2.759994471	1299.9	1637.3	0.1973	1464.258	-55.66	NA	cad	1	XC538307
7	Waveform 1	1	10.870083040	11.103602292	1412.4	1687.2	0.2335			3	d	2	XC538307
7	Spectrogram 1	1	10.870083040	11.103602292	1412.4	1687.2	0.2335	1550.391	-47.63	3	d	2	XC538307
8	Waveform 1	1	11.345173933	11.735714752	1237.5	1549.8	0.3905			3	d	2	XC538307
8	Spectrogram 1	1	11.345173933	11.735714752	1237.5	1549.8	0.3905	1378.125	-50.21	3	d	2	XC538307
9	Waveform 1	1	11.904814900	12.295355719	1337.4	1624.8	0.3905			3	d	2	XC538307
9	Spectrogram 1	1	11.904814900	12.295355719	1337.4	1624.8	0.3905	1550.391	-42.75	3	d	2	XC538307
10	Waveform 1	1	10.870083040	12.295355719	1250.0	1712.2	1.4253			3	t	2	XC538307
10	Spectrogram 1	1	10.870083040	12.295355719	1250.0	1712.2	1.4253	1550.391	-42.75	3	t	2	XC538307
11	Waveform 1	1	11.107628486	11.341147739	1274.9	1687.2	0.2335			NA	cad	2	XC538307
11	Spectrogram 1	1	11.107628486	11.341147739	1274.9	1687.2	0.2335	1378.125	-56.91	NA	cad	2	XC538307
12	Waveform 1	1	11.735714752	11.904814900	1237.5	1687.2	0.1691			NA	cad	2	XC538307
12	Spectrogram 1	1	11.735714752	11.904814900	1237.5	1687.2	0.1691	1378.125	-58.45	NA	cad	2	XC538307
13	Waveform 1	1	19.021882377	19.235270659	1412.4	1674.7	0.2134			3	d	3	XC538307
13	Spectrogram 1	1	19.021882377	19.235270659	1412.4	1674.7	0.2134	1550.391	-46.40	3	d	3	XC538307
14	Waveform 1	1	19.444632748	19.879461701	1225.0	1537.3	0.4348			3	d	3	XC538307
14	Spectrogram 1	1	19.444632748	19.879461701	1225.0	1537.3	0.4348	1378.125	-51.18	3	d	3	XC538307
15	Waveform 1	1	20.036483267	20.378709758	1362.4	1649.8	0.3422			3	d	3	XC538307
15	Spectrogram 1	1	20.036483267	20.378709758	1362.4	1649.8	0.3422	1550.391	-42.06	3	d	3	XC538307
16	Waveform 1	1	19.025908571	20.378709758	1250.0	1687.2	1.3528			3	t	3	XC538307
16	Spectrogram 1	1	19.025908571	20.378709758	1250.0	1687.2	1.3528	1550.391	-42.06	3	t	3	XC538307
17	Waveform 1	1	19.235270659	19.448658942	1250.0	1649.8	0.2134			NA	cad	3	XC538307
17	Spectrogram 1	1	19.235270659	19.448658942	1250.0	1649.8	0.2134	1550.391	-61.17	NA	cad	3	XC538307
18	Waveform 1	1	19.875435507	20.032457073	1262.5	1649.8	0.1570			NA	cad	3	XC538307
18	Spectrogram 1	1	19.875435507	20.032457073	1262.5	1649.8	0.1570	1378.125	-59.86	NA	cad	3	XC538307
