Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.104717335	2.176998282	1638.9	1971.1			0.0723	4	a	1	XC550983
1	Spectrogram 1	1	2.104717335	2.176998282	1638.9	1971.1	1808.789	-54.25	0.0723	4	a	1	XC550983
2	Waveform 1	1	2.344147972	2.809456569	1572.5	2081.8			0.4653	4	d	1	XC550983
2	Spectrogram 1	1	2.344147972	2.809456569	1572.5	2081.8	1894.922	-28.52	0.4653	4	d	1	XC550983
3	Waveform 1	1	2.994676496	3.356081232	1395.3	1860.4			0.3614	4	d	1	XC550983
3	Spectrogram 1	1	2.994676496	3.356081232	1395.3	1860.4	1722.656	-25.68	0.3614	4	d	1	XC550983
4	Waveform 1	1	3.487090449	3.807837151	1461.7	1949.0			0.3207	4	d	1	XC550983
4	Spectrogram 1	1	3.487090449	3.807837151	1461.7	1949.0	1722.656	-22.71	0.3207	4	d	1	XC550983
5	Waveform 1	1	2.104717335	3.807837151	1417.4	2081.8			1.7031	4	t	1	XC550983
5	Spectrogram 1	1	2.104717335	3.807837151	1417.4	2081.8	1722.656	-22.71	1.7031	4	t	1	XC550983
6	Waveform 1	1	2.176998282	2.348665531	1395.3	2037.6			0.1717	NA	cad	1	XC550983
6	Spectrogram 1	1	2.176998282	2.348665531	1395.3	2037.6	1981.055	-55.76	0.1717	NA	cad	1	XC550983
7	Waveform 1	1	2.804939010	2.994676496	1395.3	2037.6			0.1897	NA	cad	1	XC550983
7	Spectrogram 1	1	2.804939010	2.994676496	1395.3	2037.6	1808.789	-55.74	0.1897	NA	cad	1	XC550983
8	Waveform 1	1	3.351563673	3.482572889	1439.6	2015.4			0.1310	NA	cad	1	XC550983
8	Spectrogram 1	1	3.351563673	3.482572889	1439.6	2015.4	1550.391	-50.12	0.1310	NA	cad	1	XC550983
9	Waveform 1	1	10.253361936	10.339195560	1683.2	1949.0			0.0858	4	a	2	XC550983
9	Spectrogram 1	1	10.253361936	10.339195560	1683.2	1949.0	1894.922	-52.22	0.0858	4	a	2	XC550983
10	Waveform 1	1	10.461169659	10.949066052	1705.3	2081.8			0.4879	4	d	2	XC550983
10	Spectrogram 1	1	10.461169659	10.949066052	1705.3	2081.8	1894.922	-31.38	0.4879	4	d	2	XC550983
11	Waveform 1	1	11.156873775	11.509243392	1328.8	1926.8			0.3524	4	d	2	XC550983
11	Spectrogram 1	1	11.156873775	11.509243392	1328.8	1926.8	1722.656	-26.46	0.3524	4	d	2	XC550983
12	Waveform 1	1	11.644770168	11.956481752	1439.6	1949.0			0.3117	4	d	2	XC550983
12	Spectrogram 1	1	11.644770168	11.956481752	1439.6	1949.0	1722.656	-23.29	0.3117	4	d	2	XC550983
13	Waveform 1	1	10.257879495	11.947446634	1373.1	2081.8			1.6896	4	t	2	XC550983
13	Spectrogram 1	1	10.257879495	11.947446634	1373.1	2081.8	1722.656	-23.29	1.6896	4	t	2	XC550983
14	Waveform 1	1	10.339195560	10.461169659	1461.7	2081.8			0.1220	NA	cad	2	XC550983
14	Spectrogram 1	1	10.339195560	10.461169659	1461.7	2081.8	1894.922	-56.59	0.1220	NA	cad	2	XC550983
15	Waveform 1	1	10.949066052	11.143321097	1351.0	2015.4			0.1943	NA	cad	2	XC550983
15	Spectrogram 1	1	10.949066052	11.143321097	1351.0	2015.4	1894.922	-48.64	0.1943	NA	cad	2	XC550983
16	Waveform 1	1	11.513760951	11.644770168	1351.0	1993.3			0.1310	NA	cad	2	XC550983
16	Spectrogram 1	1	11.513760951	11.644770168	1351.0	1993.3	1550.391	-53.21	0.1310	NA	cad	2	XC550983
17	Waveform 1	1	18.003870984	18.080669491	1572.5	2015.4			0.0768	4	a	3	XC550983
17	Spectrogram 1	1	18.003870984	18.080669491	1572.5	2015.4	1808.789	-55.00	0.0768	4	a	3	XC550983
18	Waveform 1	1	18.225231385	18.744750692	1661.0	2037.6			0.5195	4	d	3	XC550983
18	Spectrogram 1	1	18.225231385	18.744750692	1661.0	2037.6	1894.922	-32.30	0.5195	4	d	3	XC550983
19	Waveform 1	1	18.893830146	19.255234881	1395.3	1882.5			0.3614	4	d	3	XC550983
19	Spectrogram 1	1	18.893830146	19.255234881	1395.3	1882.5	1636.523	-32.09	0.3614	4	d	3	XC550983
20	Waveform 1	1	19.399796776	19.711508360	1417.4	1993.3			0.3117	4	d	3	XC550983
20	Spectrogram 1	1	19.399796776	19.711508360	1417.4	1993.3	1808.789	-23.08	0.3117	4	d	3	XC550983
21	Waveform 1	1	18.008388543	19.711508360	1417.4	2037.6			1.7031	4	t	3	XC550983
21	Spectrogram 1	1	18.008388543	19.711508360	1417.4	2037.6	1808.789	-23.08	1.7031	4	t	3	XC550983
22	Waveform 1	1	18.085187050	18.220713826	1483.9	2037.6			0.1355	NA	cad	3	XC550983
22	Spectrogram 1	1	18.085187050	18.220713826	1483.9	2037.6	1808.789	-54.63	0.1355	NA	cad	3	XC550983
23	Waveform 1	1	18.744750692	18.880277468	1417.4	2037.6			0.1355	NA	cad	3	XC550983
23	Spectrogram 1	1	18.744750692	18.880277468	1417.4	2037.6	1894.922	-56.62	0.1355	NA	cad	3	XC550983
24	Waveform 1	1	19.250717322	19.390761657	1395.3	2059.7			0.1400	NA	cad	3	XC550983
24	Spectrogram 1	1	19.250717322	19.390761657	1395.3	2059.7	1550.391	-50.52	0.1400	NA	cad	3	XC550983
