Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.037542516	3.102252805	1510.5	1907.6			0.0647	4	a	1	XC572856 
1	Spectrogram 1	1	3.037542516	3.102252805	1510.5	1907.6	-51.99	1687.500	0.0647	4	a	1	XC572856 
2	Waveform 1	1	3.304824143	3.614308132	1554.7	1863.5			0.3095	4	d	1	XC572856 
2	Spectrogram 1	1	3.304824143	3.614308132	1554.7	1863.5	-43.81	1687.500	0.3095	4	d	1	XC572856 
3	Waveform 1	1	3.816879470	4.179819785	1245.8	1709.1			0.3629	4	d	1	XC572856 
3	Spectrogram 1	1	3.816879470	4.179819785	1245.8	1709.1	-30.41	1500.000	0.3629	4	d	1	XC572856 
4	Waveform 1	1	4.326121307	4.722823511	1312.0	1797.3			0.3967	4	d	1	XC572856 
4	Spectrogram 1	1	4.326121307	4.722823511	1312.0	1797.3	-26.06	1593.750	0.3967	4	d	1	XC572856 
5	Waveform 1	1	3.040356007	4.725637001	1245.8	1907.6			1.6853	4	t	1	XC572856 
5	Spectrogram 1	1	3.040356007	4.725637001	1245.8	1907.6	-26.06	1593.750	1.6853	4	t	1	XC572856 
6	Waveform 1	1	3.105066296	3.302010652	1267.9	1863.5			0.1969	NA	cad	1	XC572856 
6	Spectrogram 1	1	3.105066296	3.302010652	1267.9	1863.5	-58.83	1406.250	0.1969	NA	cad	1	XC572856 
7	Waveform 1	1	3.614308132	3.816879470	1245.8	1907.6			0.2026	NA	cad	1	XC572856 
7	Spectrogram 1	1	3.614308132	3.816879470	1245.8	1907.6	-47.39	1406.250	0.2026	NA	cad	1	XC572856 
8	Waveform 1	1	4.182633275	4.323307816	1223.8	1907.6			0.1407	NA	cad	1	XC572856 
8	Spectrogram 1	1	4.182633275	4.323307816	1223.8	1907.6	-40.55	1406.250	0.1407	NA	cad	1	XC572856 
9	Waveform 1	1	14.317761170	14.388098440	1532.6	1951.7			0.0703	4	a	2	XC572856 
9	Spectrogram 1	1	14.317761170	14.388098440	1532.6	1951.7	-51.74	1687.500	0.0703	4	a	2	XC572856 
10	Waveform 1	1	14.585042797	14.905780749	1488.5	1929.7			0.3207	4	d	2	XC572856 
10	Spectrogram 1	1	14.585042797	14.905780749	1488.5	1929.7	-40.71	1687.500	0.3207	4	d	2	XC572856 
11	Waveform 1	1	15.091471142	15.527562217	1289.9	1797.3			0.4361	4	d	2	XC572856 
11	Spectrogram 1	1	15.091471142	15.527562217	1289.9	1797.3	-34.06	1500.000	0.4361	4	d	2	XC572856 
12	Waveform 1	1	15.603526469	15.969280274	1356.1	1819.4			0.3658	4	d	2	XC572856 
12	Spectrogram 1	1	15.603526469	15.969280274	1356.1	1819.4	-25.51	1593.750	0.3658	4	d	2	XC572856 
13	Waveform 1	1	14.312134188	15.960839802	1334.1	1973.8			1.6487	4	t	2	XC572856 
13	Spectrogram 1	1	14.312134188	15.960839802	1334.1	1973.8	-25.51	1593.750	1.6487	4	t	2	XC572856 
14	Waveform 1	1	14.385284949	14.585042797	1378.2	1973.8			0.1998	NA	cad	2	XC572856 
14	Spectrogram 1	1	14.385284949	14.585042797	1378.2	1973.8	-60.30	1593.750	0.1998	NA	cad	2	XC572856 
15	Waveform 1	1	14.905780749	15.088657651	1312.0	1929.7			0.1829	NA	cad	2	XC572856 
15	Spectrogram 1	1	14.905780749	15.088657651	1312.0	1929.7	-53.20	1781.250	0.1829	NA	cad	2	XC572856 
16	Waveform 1	1	15.524748727	15.597899488	1356.1	1995.8			0.0732	NA	cad	2	XC572856 
16	Spectrogram 1	1	15.524748727	15.597899488	1356.1	1995.8	-49.34	1500.000	0.0732	NA	cad	2	XC572856 
17	Waveform 1	1	24.459906871	24.558379049	1510.5	1929.7			0.0985	4	a	3	XC572856 
