Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.058777682	1.350184386	1440.5	1836.0	0.2914			3	d	1	XC585286
1	Spectrogram 1	1	1.058777682	1.350184386	1440.5	1836.0	0.2914	1722.656	-36.55	3	d	1	XC585286
2	Waveform 1	1	1.516702502	1.866390546	1242.8	1751.2	0.3497			3	d	1	XC585286
2	Spectrogram 1	1	1.516702502	1.866390546	1242.8	1751.2	0.3497	1464.258	-34.10	3	d	1	XC585286
3	Waveform 1	1	1.999605039	2.291011743	1242.8	1779.5	0.2914			3	d	1	XC585286
3	Spectrogram 1	1	1.999605039	2.291011743	1242.8	1779.5	0.2914	1550.391	-29.59	3	d	1	XC585286
4	Waveform 1	1	1.062940635	2.282685837	1186.3	1807.7	1.2197			3	t	1	XC585286
4	Spectrogram 1	1	1.062940635	2.282685837	1186.3	1807.7	1.2197	1550.391	-29.59	3	t	1	XC585286
5	Waveform 1	1	1.350184386	1.516702502	1186.3	1779.5	0.1665			NA	cad	1	XC585286
5	Spectrogram 1	1	1.350184386	1.516702502	1186.3	1779.5	0.1665	1722.656	-53.11	NA	cad	1	XC585286
6	Waveform 1	1	1.862227593	1.995442086	1158.1	1723.0	0.1332			NA	cad	1	XC585286
6	Spectrogram 1	1	1.862227593	1.995442086	1158.1	1723.0	0.1332	1464.258	-48.89	NA	cad	1	XC585286
7	Waveform 1	1	12.096153473	12.383397223	1440.5	1836.0	0.2872			3	d	2	XC585286
7	Spectrogram 1	1	12.096153473	12.383397223	1440.5	1836.0	0.2872	1722.656	-41.85	3	d	2	XC585286
8	Waveform 1	1	12.487471046	12.895440431	1214.6	1694.8	0.4080			3	d	2	XC585286
8	Spectrogram 1	1	12.487471046	12.895440431	1214.6	1694.8	0.4080	1464.258	-37.51	3	d	2	XC585286
9	Waveform 1	1	12.974536536	13.290920957	1327.6	1751.2	0.3164			3	d	2	XC585286
9	Spectrogram 1	1	12.974536536	13.290920957	1327.6	1751.2	0.3164	1636.523	-33.61	3	d	2	XC585286
10	Waveform 1	1	12.100316426	13.290920957	1214.6	1807.7	1.1906			3	t	2	XC585286
10	Spectrogram 1	1	12.100316426	13.290920957	1214.6	1807.7	1.1906	1636.523	-33.61	3	t	2	XC585286
11	Waveform 1	1	12.388947821	12.484695738	1214.6	1723.0	0.0957			NA	cad	2	XC585286
11	Spectrogram 1	1	12.388947821	12.484695738	1214.6	1723.0	0.0957	1722.656	-57.33	NA	cad	2	XC585286
12	Waveform 1	1	12.896828076	12.984250087	1186.3	1779.5	0.0874			NA	cad	2	XC585286
12	Spectrogram 1	1	12.896828076	12.984250087	1186.3	1779.5	0.0874	1464.258	-49.10	NA	cad	2	XC585286
13	Waveform 1	1	23.782949922	24.182593401	1497.0	1807.7	0.3996			3	d	3	XC585286
13	Spectrogram 1	1	23.782949922	24.182593401	1497.0	1807.7	0.3996	1722.656	-37.17	3	d	3	XC585286
14	Waveform 1	1	24.249200648	24.648844127	1271.1	1666.5	0.3996			3	d	3	XC585286
14	Spectrogram 1	1	24.249200648	24.648844127	1271.1	1666.5	0.3996	1464.258	-36.89	3	d	3	XC585286
15	Waveform 1	1	24.736266138	25.115094853	1242.8	1836.0	0.3788			3	d	3	XC585286
15	Spectrogram 1	1	24.736266138	25.115094853	1242.8	1836.0	0.3788	1636.523	-34.01	3	d	3	XC585286
16	Waveform 1	1	23.782949922	25.110931900	1242.8	1836.0	1.3280			3	t	3	XC585286
16	Spectrogram 1	1	23.782949922	25.110931900	1242.8	1836.0	1.3280	1636.523	-34.01	3	t	3	XC585286
17	Waveform 1	1	24.190919307	24.240874742	1242.8	1836.0	0.0500			NA	cad	3	XC585286
17	Spectrogram 1	1	24.190919307	24.240874742	1242.8	1836.0	0.0500	1722.656	-55.10	NA	cad	3	XC585286
18	Waveform 1	1	24.644681174	24.740429091	1242.8	1836.0	0.0957			NA	cad	3	XC585286
18	Spectrogram 1	1	24.644681174	24.740429091	1242.8	1836.0	0.0957	1464.258	-50.36	NA	cad	3	XC585286
