Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota 	canto	nombre archivo
1	Waveform 1	1	1.526556318	1.620018951	1439.4	1919.6	0.0935			4	a	1	XC672764
1	Spectrogram 1	1	1.526556318	1.620018951	1439.4	1919.6	0.0935	1722.656	-38.99	4	a	1	XC672764
2	Waveform 1	1	1.770597636	2.211948955	1552.4	2032.6	0.4414			4	d	1	XC672764
2	Spectrogram 1	1	1.770597636	2.211948955	1552.4	2032.6	0.4414	1894.922	-19.24	4	d	1	XC672764
3	Waveform 1	1	2.414451325	2.866187380	1354.7	1863.1	0.4517			4	d	1	XC672764
3	Spectrogram 1	1	2.414451325	2.866187380	1354.7	1863.1	0.4517	1550.391	-15.09	4	d	1	XC672764
4	Waveform 1	1	2.944072907	3.307538699	1382.9	2004.3	0.3635			4	d	1	XC672764
4	Spectrogram 1	1	2.944072907	3.307538699	1382.9	2004.3	0.3635	1722.656	-9.62	4	d	1	XC672764
5	Waveform 1	1	1.526556318	3.307538699	1269.9	2004.3	1.7810			4	t	1	XC672764
5	Spectrogram 1	1	1.526556318	3.307538699	1269.9	2004.3	1.7810	1722.656	-9.62	4	t	1	XC672764
6	Waveform 1	1	1.614826582	1.770597636	1298.2	1919.6	0.1558			NA	cad	1	XC672764
6	Spectrogram 1	1	1.614826582	1.770597636	1298.2	1919.6	0.1558	1722.656	-55.27	NA	cad	1	XC672764
7	Waveform 1	1	2.211948955	2.409258956	1269.9	1976.1	0.1973			NA	cad	1	XC672764
7	Spectrogram 1	1	2.211948955	2.409258956	1269.9	1976.1	0.1973	1550.391	-33.58	NA	cad	1	XC672764
8	Waveform 1	1	2.866187380	2.944072907	1269.9	1863.1	0.0779			NA	cad	1	XC672764
8	Spectrogram 1	1	2.866187380	2.944072907	1269.9	1863.1	0.0779	1550.391	-37.59	NA	cad	1	XC672764
9	Waveform 1	1	10.054156098	10.152811098	1439.4	1863.1	0.0987			4	a	2	XC672764
9	Spectrogram 1	1	10.054156098	10.152811098	1439.4	1863.1	0.0987	1722.656	-39.38	4	a	2	XC672764
10	Waveform 1	1	10.308582152	10.858973208	1608.9	2089.1	0.5504			4	d	2	XC672764
10	Spectrogram 1	1	10.308582152	10.858973208	1608.9	2089.1	0.5504	1894.922	-19.10	4	d	2	XC672764
11	Waveform 1	1	10.947243472	11.378210054	1326.4	1976.1	0.4310			4	d	2	XC672764
11	Spectrogram 1	1	10.947243472	11.378210054	1326.4	1976.1	0.4310	1722.656	-13.81	4	d	2	XC672764
12	Waveform 1	1	11.492442160	11.809176636	1382.9	2032.6	0.3167			4	d	2	XC672764
12	Spectrogram 1	1	11.492442160	11.809176636	1382.9	2032.6	0.3167	1722.656	-9.09	4	d	2	XC672764
13	Waveform 1	1	10.059348466	11.814369004	1382.9	2060.8	1.7550			4	t	2	XC672764
13	Spectrogram 1	1	10.059348466	11.814369004	1382.9	2060.8	1.7550	1722.656	-9.09	4	t	2	XC672764
14	Waveform 1	1	10.163195835	10.308582152	1411.2	1976.1	0.1454			NA	cad	2	XC672764
14	Spectrogram 1	1	10.163195835	10.308582152	1411.2	1976.1	0.1454	1894.922	-56.67	NA	cad	2	XC672764
15	Waveform 1	1	10.869357945	10.947243472	1411.2	2060.8	0.0779			NA	cad	2	XC672764
15	Spectrogram 1	1	10.869357945	10.947243472	1411.2	2060.8	0.0779	1636.523	-43.74	NA	cad	2	XC672764
16	Waveform 1	1	11.383402422	11.492442160	1382.9	1976.1	0.1090			NA	cad	2	XC672764
16	Spectrogram 1	1	11.383402422	11.492442160	1382.9	1976.1	0.1090	1550.391	-37.21	NA	cad	2	XC672764
17	Waveform 1	1	20.669088000	20.757358263	1439.4	1919.6	0.0883			4		3	XC672764
17	Spectrogram 1	1	20.669088000	20.757358263	1439.4	1919.6	0.0883	1722.656	-38.02	4		3	XC672764
18	Waveform 1	1	20.954668265	21.421981426	1495.9	2060.8	0.4673			4	d	3	XC672764
18	Spectrogram 1	1	20.954668265	21.421981426	1495.9	2060.8	0.4673	1808.789	-18.69	4	d	3	XC672764
19	Waveform 1	1	21.577752479	22.045065640	1411.2	1919.6	0.4673			4	d	3	XC672764
19	Spectrogram 1	1	21.577752479	22.045065640	1411.2	1919.6	0.4673	1550.391	-15.03	4	d	3	XC672764
20	Waveform 1	1	22.117758799	22.512378802	1411.2	1976.1	0.3946			4	d	3	XC672764
20	Spectrogram 1	1	22.117758799	22.512378802	1411.2	1976.1	0.3946	1722.656	-10.88	4	d	3	XC672764
21	Waveform 1	1	20.674280368	22.517571170	1411.2	2004.3	1.8433			4	t	3	XC672764
21	Spectrogram 1	1	20.674280368	22.517571170	1411.2	2004.3	1.8433	1722.656	-10.88	4	t	3	XC672764
22	Waveform 1	1	20.757358263	20.954668265	1411.2	1919.6	0.1973			NA	cad	3	XC672764
22	Spectrogram 1	1	20.757358263	20.954668265	1411.2	1919.6	0.1973	1636.523	-47.45	NA	cad	3	XC672764
23	Waveform 1	1	21.421981426	21.582944848	1411.2	1947.8	0.1610			NA	cad	3	XC672764
23	Spectrogram 1	1	21.421981426	21.582944848	1411.2	1947.8	0.1610	1550.391	-32.46	NA	cad	3	XC672764
24	Waveform 1	1	22.045065640	22.112566430	1382.9	1891.3	0.0675			NA	cad	3	XC672764
24	Spectrogram 1	1	22.045065640	22.112566430	1382.9	1891.3	0.0675	1550.391	-45.75	NA	cad	3	XC672764
