Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	11.585990262	12.045705198	1366.3	1841.6			0.4597	3	d	1	XC687383
1	Spectrogram 1	1	11.585990262	12.045705198	1366.3	1841.6	1593.750	-48.34	0.4597	3	d	1	XC687383
2	Waveform 1	1	12.168652215	12.625694390	1366.3	1782.2			0.4570	3	d	1	XC687383
2	Spectrogram 1	1	12.168652215	12.625694390	1366.3	1782.2	1500.000	-40.72	0.4570	3	d	1	XC687383
3	Waveform 1	1	12.665785809	13.023935817	1485.1	1901.0			0.3582	3	d	1	XC687383
3	Spectrogram 1	1	12.665785809	13.023935817	1485.1	1901.0	1593.750	-45.67	0.3582	3	d	1	XC687383
4	Waveform 1	1	11.585990262	13.023935817	1306.9	2019.8			1.4379	3	t	1	XC687383
4	Spectrogram 1	1	11.585990262	13.023935817	1306.9	2019.8	1500.000	-40.72	1.4379	3	t	1	XC687383
5	Waveform 1	1	12.048377959	12.171324977	1366.3	1901.0			0.1229	NA	cad	1	XC687383
5	Spectrogram 1	1	12.048377959	12.171324977	1366.3	1901.0	1500.000	-51.59	0.1229	NA	cad	1	XC687383
6	Waveform 1	1	12.625694390	12.663113047	1247.5	2138.6			0.0374	NA	cad	1	XC687383
6	Spectrogram 1	1	12.625694390	12.663113047	1247.5	2138.6	1500.000	-58.21	0.0374	NA	cad	1	XC687383
7	Waveform 1	1	22.919357511	23.357690357	1366.3	1722.8			0.4383	3	d	2	XC687383
7	Spectrogram 1	1	22.919357511	23.357690357	1366.3	1722.8	1593.750	-47.35	0.4383	3	d	2	XC687383
8	Waveform 1	1	23.480637375	23.814732531	1247.5	1782.2			0.3341	3	d	2	XC687383
8	Spectrogram 1	1	23.480637375	23.814732531	1247.5	1782.2	1500.000	-39.62	0.3341	3	d	2	XC687383
9	Waveform 1	1	23.959061639	24.282465751	1069.3	1485.1			0.3234	3	d	2	XC687383
9	Spectrogram 1	1	23.959061639	24.282465751	1069.3	1485.1	1218.750	-52.16	0.3234	3	d	2	XC687383
10	Waveform 1	1	22.922030273	24.277120228	1128.7	1782.2			1.3551	3	t	2	XC687383
10	Spectrogram 1	1	22.922030273	24.277120228	1128.7	1782.2	1500.000	-39.62	1.3551	3	t	2	XC687383
11	Waveform 1	1	23.365708641	23.480637375	1128.7	1722.8			0.1149	NA	cad	2	XC687383
11	Spectrogram 1	1	23.365708641	23.480637375	1128.7	1722.8	1406.250	-58.61	0.1149	NA	cad	2	XC687383
12	Waveform 1	1	23.822750815	23.953716117	1188.1	1782.2			0.1310	NA	cad	2	XC687383
12	Spectrogram 1	1	23.822750815	23.953716117	1188.1	1782.2	1500.000	-56.89	0.1310	NA	cad	2	XC687383
13	Waveform 1	1	36.868444736	37.314795866	1247.5	1782.2			0.4464	3	d	3	XC687383
13	Spectrogram 1	1	36.868444736	37.314795866	1247.5	1782.2	1593.750	-46.58	0.4464	3	d	3	XC687383
14	Waveform 1	1	37.448433928	37.809256698	1366.3	1782.2			0.3608	3	d	3	XC687383
14	Spectrogram 1	1	37.448433928	37.809256698	1366.3	1782.2	1500.000	-39.93	0.3608	3	d	3	XC687383
15	Waveform 1	1	37.932203715	38.274317156	1485.1	1782.2			0.3421	3	d	3	XC687383
15	Spectrogram 1	1	37.932203715	38.274317156	1485.1	1782.2	1593.750	-42.71	0.3421	3	d	3	XC687383
16	Waveform 1	1	36.868444736	38.271644395	1247.5	1901.0			1.4032	3	t	3	XC687383
16	Spectrogram 1	1	36.868444736	38.271644395	1247.5	1901.0	1500.000	-39.93	1.4032	3	t	3	XC687383
17	Waveform 1	1	37.317468627	37.448433928	1247.5	1960.4			0.1310	NA	cad	3	XC687383
17	Spectrogram 1	1	37.317468627	37.448433928	1247.5	1960.4	1500.000	-50.17	0.1310	NA	cad	3	XC687383
18	Waveform 1	1	37.811929459	37.926858193	1366.3	1901.0			0.1149	NA	cad	3	XC687383
18	Spectrogram 1	1	37.811929459	37.926858193	1366.3	1901.0	1687.500	-53.66	0.1149	NA	cad	3	XC687383
