Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos 	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.187789195	3.271087408	1473.8	1875.7	0.0833			4	a	1	XC693557
1	Spectrogram 1	1	3.187789195	3.271087408	1473.8	1875.7	0.0833	1781.250	-48.78	4	a	1	XC693557
2	Waveform 1	1	3.502471331	3.996090367	1473.8	1965.0	0.4936			4	d	1	XC693557
2	Spectrogram 1	1	3.502471331	3.996090367	1473.8	1965.0	0.4936	1687.500	-14.20	4	d	1	XC693557
3	Waveform 1	1	4.085558818	4.582262973	1205.8	1831.0	0.4967			4	d	1	XC693557
3	Spectrogram 1	1	4.085558818	4.582262973	1205.8	1831.0	0.4967	1593.750	-13.28	4	d	1	XC693557
4	Waveform 1	1	4.657530543	5.040085296	1205.8	1920.4	0.3826			4	d	1	XC693557
4	Spectrogram 1	1	4.657530543	5.040085296	1205.8	1920.4	0.3826	1687.500	-10.07	4	d	1	XC693557
5	Waveform 1	1	13.762383271	13.833341007	1473.8	1875.7	0.0710			4	a	2	XC693557
5	Spectrogram 1	1	13.762383271	13.833341007	1473.8	1875.7	0.0710	1781.250	-50.51	4	a	2	XC693557
6	Waveform 1	1	14.061639812	14.539833253	1339.8	2009.7	0.4782			4	d	2	XC693557
6	Spectrogram 1	1	14.061639812	14.539833253	1339.8	2009.7	0.4782	1687.500	-16.50	4	d	2	XC693557
7	Waveform 1	1	14.660152893	15.113665383	1250.5	1920.4	0.4535			4	d	2	XC693557
7	Spectrogram 1	1	14.660152893	15.113665383	1250.5	1920.4	0.4535	1593.750	-13.42	4	d	2	XC693557
8	Waveform 1	1	15.233985023	15.594943943	1161.1	1965.0	0.3610			4	d	2	XC693557
8	Spectrogram 1	1	15.233985023	15.594943943	1161.1	1965.0	0.3610	1687.500	-10.83	4	d	2	XC693557
9	Waveform 1	1	13.759298152	15.594943943	1250.5	1920.4	1.8356			4	t	2	XC693557
9	Spectrogram 1	1	13.759298152	15.594943943	1250.5	1920.4	1.8356	1687.500	-10.83	4	t	2	XC693557
10	Waveform 1	1	13.836426126	14.058554693	1339.8	1831.0	0.2221			NA	cad	2	XC693557
10	Spectrogram 1	1	13.836426126	14.058554693	1339.8	1831.0	0.2221	1781.250	-63.52	NA	cad	2	XC693557
11	Waveform 1	1	14.542918372	14.653982655	1205.8	1831.0	0.1111			NA	cad	2	XC693557
11	Spectrogram 1	1	14.542918372	14.653982655	1205.8	1831.0	0.1111	1687.500	-41.80	NA	cad	2	XC693557
12	Waveform 1	1	15.113665383	15.230899904	1295.1	1920.4	0.1172			NA	cad	2	XC693557
12	Spectrogram 1	1	15.113665383	15.230899904	1295.1	1920.4	0.1172	1500.000	-41.66	NA	cad	2	XC693557
13	Waveform 1	1	25.511772079	25.632091719	1563.1	1875.7	0.1203			4	a	3	XC693557
13	Spectrogram 1	1	25.511772079	25.632091719	1563.1	1875.7	0.1203	1781.250	-54.92	4	a	3	XC693557
14	Waveform 1	1	25.804858382	26.270711348	1384.4	1920.4	0.4659			4	d	3	XC693557
14	Spectrogram 1	1	25.804858382	26.270711348	1384.4	1920.4	0.4659	1687.500	-19.37	4	d	3	XC693557
15	Waveform 1	1	26.394116107	26.906245857	1295.1	1875.7	0.5121			4	d	3	XC693557
15	Spectrogram 1	1	26.394116107	26.906245857	1295.1	1875.7	0.5121	1593.750	-15.76	4	d	3	XC693557
16	Waveform 1	1	26.971033355	27.384439298	1250.5	1875.7	0.4134			4	d	3	XC693557
16	Spectrogram 1	1	26.971033355	27.384439298	1250.5	1875.7	0.4134	1593.750	-14.02	4	d	3	XC693557
17	Waveform 1	1	25.517942317	27.381354179	1295.1	1831.0	1.8634			4	t	3	XC693557
17	Spectrogram 1	1	25.517942317	27.381354179	1295.1	1831.0	1.8634	1593.750	-14.02	4	t	3	XC693557
18	Waveform 1	1	25.644432195	25.804858382	1295.1	1875.7	0.1604			NA	cad	3	XC693557
18	Spectrogram 1	1	25.644432195	25.804858382	1295.1	1875.7	0.1604	1781.250	-72.85	NA	cad	3	XC693557
19	Waveform 1	1	26.276881585	26.394116107	1339.8	1786.4	0.1172			NA	cad	3	XC693557
19	Spectrogram 1	1	26.276881585	26.394116107	1339.8	1786.4	0.1172	1687.500	-47.28	NA	cad	3	XC693557
20	Waveform 1	1	26.912416095	26.980288712	1295.1	1875.7	0.0679			NA	cad	3	XC693557
20	Spectrogram 1	1	26.912416095	26.980288712	1295.1	1875.7	0.0679	1500.000	-35.20	NA	cad	3	XC693557
