Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo 
1	Waveform 1	1	0.842650980	0.923921886	1309.5	1785.7		0.0813		4	a	1	XC742271
1	Spectrogram 1	1	0.842650980	0.923921886	1309.5	1785.7	1687.500	0.0813	-45.14	4	a	1	XC742271
2	Waveform 1	1	1.133515277	1.509927897	1381.0	1785.7		0.3764		4	d	1	XC742271
2	Spectrogram 1	1	1.133515277	1.509927897	1381.0	1785.7	1593.750	0.3764	-27.07	4	d	1	XC742271
3	Waveform 1	1	1.621140717	2.164372567	1285.7	1666.7		0.5432		4	d	1	XC742271
3	Spectrogram 1	1	1.621140717	2.164372567	1285.7	1666.7	1500.000	0.5432	-7.96	4	d	1	XC742271
4	Waveform 1	1	2.219978977	2.771765659	1285.7	1761.9		0.5518		4	d	1	XC742271
4	Spectrogram 1	1	2.219978977	2.771765659	1285.7	1761.9	1593.750	0.5518	-8.06	4	d	1	XC742271
8	Waveform 1	1	0.842675131	2.767512394	1285.7	1785.7		1.9248		4	t	1	XC742271
8	Spectrogram 1	1	0.842675131	2.767512394	1285.7	1785.7	1500.000	1.9248	-7.96	4	t	1	XC742271
9	Waveform 1	1	0.919668622	1.129262012	1309.5	1714.3		0.2096		NA	cad	1	XC742271
9	Spectrogram 1	1	0.919668622	1.129262012	1309.5	1714.3	1406.250	0.2096	-55.34	NA	cad	1	XC742271
10	Waveform 1	1	1.522784297	1.621164868	1261.9	1761.9		0.0984		NA	cad	1	XC742271
10	Spectrogram 1	1	1.522784297	1.621164868	1261.9	1761.9	1593.750	0.0984	-45.17	NA	cad	1	XC742271
11	Waveform 1	1	2.172951551	2.220003128	1261.9	1761.9		0.0471		NA	cad	1	XC742271
11	Spectrogram 1	1	2.172951551	2.220003128	1261.9	1761.9	1500.000	0.0471	-28.39	NA	cad	1	XC742271
12	Waveform 1	1	10.277406703	10.362955026	1261.9	1761.9		0.0855		4	a	2	XC742271
12	Spectrogram 1	1	10.277406703	10.362955026	1261.9	1761.9	1500.000	0.0855	-46.70	4	a	2	XC742271
13	Waveform 1	1	10.585380666	10.961793286	1404.8	1738.1		0.3764		4	d	2	XC742271
13	Spectrogram 1	1	10.585380666	10.961793286	1404.8	1738.1	1593.750	0.3764	-19.42	4	d	2	XC742271
14	Waveform 1	1	11.068728689	11.607683123	1238.1	1690.5		0.5390		4	d	2	XC742271
14	Spectrogram 1	1	11.068728689	11.607683123	1238.1	1690.5	1500.000	0.5390	-11.04	4	d	2	XC742271
15	Waveform 1	1	11.650457284	12.133805308	1333.3	1714.3		0.4833		4	d	2	XC742271
15	Spectrogram 1	1	11.650457284	12.133805308	1333.3	1714.3	1593.750	0.4833	-11.23	4	d	2	XC742271
16	Waveform 1	1	10.283125971	12.130969744	1333.3	1738.1		1.8478		4	t	2	XC742271
16	Spectrogram 1	1	10.283125971	12.130969744	1333.3	1738.1	1500.000	1.8478	-11.04	4	t	2	XC742271
17	Waveform 1	1	10.360119461	10.578267685	1476.2	1738.1		0.2181		NA	cad	2	XC742271
17	Spectrogram 1	1	10.360119461	10.578267685	1476.2	1738.1	1500.000	0.2181	-49.61	NA	cad	2	XC742271
18	Waveform 1	1	10.967512553	11.061615708	1309.5	1690.5		0.0941		NA	cad	2	XC742271
18	Spectrogram 1	1	10.967512553	11.061615708	1309.5	1690.5	1406.250	0.0941	-36.30	NA	cad	2	XC742271
19	Waveform 1	1	11.609124974	11.643344304	1357.1	1738.1		0.0342		NA	cad	2	XC742271
19	Spectrogram 1	1	11.609124974	11.643344304	1357.1	1738.1	1500.000	0.0342	-28.54	NA	cad	2	XC742271
20	Waveform 1	1	17.455776904	17.541325227	1285.7	1833.3		0.0855		4	a	3	XC742271
20	Spectrogram 1	1	17.455776904	17.541325227	1285.7	1833.3	1687.500	0.0855	-43.10	4	a	3	XC742271
21	Waveform 1	1	17.750918618	18.238544058	1428.6	1785.7		0.4876		4	d	3	XC742271
21	Spectrogram 1	1	17.750918618	18.238544058	1428.6	1785.7	1593.750	0.4876	-11.73	4	d	3	XC742271
22	Waveform 1	1	18.277040803	18.815995237	1261.9	1690.5		0.5390		4	d	3	XC742271
22	Spectrogram 1	1	18.277040803	18.815995237	1261.9	1690.5	1500.000	0.5390	-7.67	4	d	3	XC742271
23	Waveform 1	1	18.854491982	19.320730341	1214.3	1809.5		0.4662		4	d	3	XC742271
23	Spectrogram 1	1	18.854491982	19.320730341	1214.3	1809.5	1593.750	0.4662	-8.89	4	d	3	XC742271
24	Waveform 1	1	17.460054320	19.316452925	1238.1	1809.5		1.8564		4	t	3	XC742271
24	Spectrogram 1	1	17.460054320	19.316452925	1238.1	1809.5	1500.000	1.8564	-7.67	4	t	3	XC742271
25	Waveform 1	1	17.545602643	17.746641202	1285.7	1785.7		0.2010		NA	cad	3	XC742271
25	Spectrogram 1	1	17.545602643	17.746641202	1285.7	1785.7	1593.750	0.2010	-50.60	NA	cad	3	XC742271
26	Waveform 1	1	18.234266642	18.272763387	1261.9	1761.9		0.0385		NA	cad	3	XC742271
26	Spectrogram 1	1	18.234266642	18.272763387	1261.9	1761.9	1406.250	0.0385	-21.86	NA	cad	3	XC742271
27	Waveform 1	1	18.820272653	18.850214566	1214.3	1761.9		0.0299		NA	cad	3	XC742271
27	Spectrogram 1	1	18.820272653	18.850214566	1214.3	1761.9	1500.000	0.0299	-32.31	NA	cad	3	XC742271
