Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	Delta Time (s)	total elementos 	tipo de nota 	canto	nombre archivo
1	Waveform 1	1	3.648752396	4.098598585	1615.7	1900.9			0.4498	3	d	1	XC764089
1	Spectrogram 1	1	3.648752396	4.098598585	1615.7	1900.9	-33.01	1722.656	0.4498	3	d	1	XC764089
2	Waveform 1	1	4.192316540	4.623419137	1378.1	1829.6			0.4311	3	d	1	XC764089
2	Spectrogram 1	1	4.192316540	4.623419137	1378.1	1829.6	-32.03	1550.391	0.4311	3	d	1	XC764089
3	Waveform 1	1	4.754624276	5.279444829	1449.4	1948.4			0.5248	3	d	1	XC764089
3	Spectrogram 1	1	4.754624276	5.279444829	1449.4	1948.4	-29.52	1722.656	0.5248	3	d	1	XC764089
4	Waveform 1	1	3.667495988	5.270073033	1425.6	1853.3			1.6026	3	t	1	XC764089
4	Spectrogram 1	1	3.667495988	5.270073033	1425.6	1853.3	-29.52	1722.656	1.6026	3	t	1	XC764089
5	Waveform 1	1	4.095474638	4.198564389	1439.2	1866.9			0.1031	NA	cad	1	XC764089
5	Spectrogram 1	1	4.095474638	4.198564389	1439.2	1866.9	-35.71	1636.523	0.1031	NA	cad	1	XC764089
6	Waveform 1	1	4.620295191	4.770243920	1439.2	1831.3			0.1499	NA	cad	1	XC764089
6	Spectrogram 1	1	4.620295191	4.770243920	1439.2	1831.3	-39.43	1636.523	0.1499	NA	cad	1	XC764089
7	Waveform 1	1	14.318541625	14.721528835	1546.1	1950.1			0.4030	3	d	2	XC764089
7	Spectrogram 1	1	14.318541625	14.721528835	1546.1	1950.1	-34.10	1808.789	0.4030	3	d	2	XC764089
8	Waveform 1	1	14.829304484	15.358810935	1356.0	1855.0			0.5295	3	d	2	XC764089
8	Spectrogram 1	1	14.829304484	15.358810935	1356.0	1855.0	-29.17	1636.523	0.5295	3	d	2	XC764089
9	Waveform 1	1	15.485330175	15.977349444	1510.5	1961.9			0.4920	3	d	2	XC764089
9	Spectrogram 1	1	15.485330175	15.977349444	1510.5	1961.9	-25.29	1722.656	0.4920	3	d	2	XC764089
10	Waveform 1	1	14.332599318	15.982035342	1391.7	1950.1			1.6494	3	t	2	XC764089
10	Spectrogram 1	1	14.332599318	15.982035342	1391.7	1950.1	-25.29	1722.656	1.6494	3	t	2	XC764089
11	Waveform 1	1	14.721528835	14.819932689	1391.7	1914.4			0.0984	NA	cad	2	XC764089
11	Spectrogram 1	1	14.721528835	14.819932689	1391.7	1914.4	-44.17	1808.789	0.0984	NA	cad	2	XC764089
12	Waveform 1	1	15.358810935	15.480644278	1427.3	1890.7			0.1218	NA	cad	2	XC764089
12	Spectrogram 1	1	15.358810935	15.480644278	1427.3	1890.7	-34.72	1636.523	0.1218	NA	cad	2	XC764089
13	Waveform 1	1	28.750338939	29.143954353	1546.1	1973.8			0.3936	3	d	3	XC764089
13	Spectrogram 1	1	28.750338939	29.143954353	1546.1	1973.8	-31.58	1722.656	0.3936	3	d	3	XC764089
14	Waveform 1	1	29.228300514	29.790608249	1415.5	1855.0			0.5623	3	d	3	XC764089
14	Spectrogram 1	1	29.228300514	29.790608249	1415.5	1855.0	-30.50	1636.523	0.5623	3	d	3	XC764089
15	Waveform 1	1	29.851524920	30.460691633	1463.0	1843.1			0.6092	3	d	3	XC764089
15	Spectrogram 1	1	29.851524920	30.460691633	1463.0	1843.1	-28.42	1636.523	0.6092	3	d	3	XC764089
16	Waveform 1	1	28.740967143	30.460691633	1451.1	1961.9			1.7197	3	t	3	XC764089
16	Spectrogram 1	1	28.740967143	30.460691633	1451.1	1961.9	-28.42	1636.523	1.7197	3	t	3	XC764089
17	Waveform 1	1	29.148640251	29.214242820	1510.5	1961.9			0.0656	NA	cad	3	XC764089
17	Spectrogram 1	1	29.148640251	29.214242820	1510.5	1961.9	-45.28	1550.391	0.0656	NA	cad	3	XC764089
18	Waveform 1	1	29.785922351	29.837467227	1439.2	1831.3			0.0515	NA	cad	3	XC764089
18	Spectrogram 1	1	29.785922351	29.837467227	1439.2	1831.3	-45.71	1636.523	0.0515	NA	cad	3	XC764089
