Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.359285140	4.961698923	1498.8	1978.3			0.6024	3	d	1	XC769052
1	Spectrogram 1	1	4.359285140	4.961698923	1498.8	1978.3	1722.656	-29.03	0.6024	3	d	1	XC769052
2	Waveform 1	1	5.005510834	5.586018661	1421.5	1962.8			0.5805	3	d	1	XC769052
2	Spectrogram 1	1	5.005510834	5.586018661	1421.5	1962.8	1636.523	-31.56	0.5805	3	d	1	XC769052
3	Waveform 1	1	5.602151289	6.363383251	1514.3	1916.4			0.7612	3	d	1	XC769052
3	Spectrogram 1	1	5.602151289	6.363383251	1514.3	1916.4	1808.789	-26.06	0.7612	3	d	1	XC769052
4	Waveform 1	1	4.358988301	6.357906762	1436.9	1931.9			1.9989	3	t	1	XC769052
4	Spectrogram 1	1	4.358988301	6.357906762	1436.9	1931.9	1808.789	-26.06	1.9989	3	t	1	XC769052
5	Waveform 1	1	4.972355061	4.977831550	1406.0	1901.0			0.0055	NA	cad	1	XC769052
5	Spectrogram 1	1	4.972355061	4.977831550	1406.0	1901.0	1550.391	-43.13	0.0055	NA	cad	1	XC769052
6	Waveform 1	1	5.574768844	5.607627778	1344.1	1901.0			0.0329	NA	cad	1	XC769052
6	Spectrogram 1	1	5.574768844	5.607627778	1344.1	1901.0	1550.391	-42.40	0.0329	NA	cad	1	XC769052
7	Waveform 1	1	21.496985560	22.082969876	1607.1	1978.3			0.5860	3	d	2	XC769052
7	Spectrogram 1	1	21.496985560	22.082969876	1607.1	1978.3	1722.656	-30.10	0.5860	3	d	2	XC769052
8	Waveform 1	1	22.066540410	22.696336637	1406.0	1931.9			0.6298	3	d	2	XC769052
8	Spectrogram 1	1	22.066540410	22.696336637	1406.0	1931.9	1636.523	-29.26	0.6298	3	d	2	XC769052
9	Waveform 1	1	22.696336637	23.380897754	1452.4	1978.3			0.6846	3	d	2	XC769052
9	Spectrogram 1	1	22.696336637	23.380897754	1452.4	1978.3	1722.656	-25.74	0.6846	3	d	2	XC769052
10	Waveform 1	1	21.480556094	23.375421265	1436.9	1947.4			1.8949	3	t	2	XC769052
10	Spectrogram 1	1	21.480556094	23.375421265	1436.9	1947.4	1722.656	-25.74	1.8949	3	t	2	XC769052
11	Waveform 1	1	22.039157965	22.050110943	1607.1	1931.9			0.0110	NA	cad	2	XC769052
11	Spectrogram 1	1	22.039157965	22.050110943	1607.1	1931.9	1808.789	-48.11	0.0110	NA	cad	2	XC769052
12	Waveform 1	1	22.701813126	22.707289615	1406.0	1916.4			0.0055	NA	cad	2	XC769052
12	Spectrogram 1	1	22.701813126	22.707289615	1406.0	1916.4	1722.656	-42.11	0.0055	NA	cad	2	XC769052
13	Waveform 1	1	36.166160422	36.686426871	1560.7	1962.8			0.5203	3	d	3	XC769052
13	Spectrogram 1	1	36.166160422	36.686426871	1560.7	1962.8	1808.789	-25.07	0.5203	3	d	3	XC769052
14	Waveform 1	1	36.686426871	37.299793632	1390.5	1916.4			0.6134	3	d	3	XC769052
14	Spectrogram 1	1	36.686426871	37.299793632	1390.5	1916.4	1636.523	-28.78	0.6134	3	d	3	XC769052
15	Waveform 1	1	37.332652565	38.017213682	1406.0	1962.8			0.6846	3	d	3	XC769052
15	Spectrogram 1	1	37.332652565	38.017213682	1406.0	1962.8	1808.789	-25.55	0.6846	3	d	3	XC769052
16	Waveform 1	1	36.166160422	38.017213682	1390.5	1931.9			1.8511	3	t	3	XC769052
16	Spectrogram 1	1	36.166160422	38.017213682	1390.5	1931.9	1808.789	-25.07	1.8511	3	t	3	XC769052
17	Waveform 1	1	36.675473893	36.691903360	1375.1	1901.0			0.0164	NA	cad	3	XC769052
17	Spectrogram 1	1	36.675473893	36.691903360	1375.1	1901.0	1808.789	-41.91	0.0164	NA	cad	3	XC769052
18	Waveform 1	1	37.299793632	37.332652565	1390.5	1885.5			0.0329	NA	cad	3	XC769052
18	Spectrogram 1	1	37.299793632	37.332652565	1390.5	1885.5	1636.523	-38.19	0.0329	NA	cad	3	XC769052
