Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	5.142484632	5.471345719	1555.9	1850.7	0.3289			3	d	1	XC771976
1	Spectrogram 1	1	5.142484632	5.471345719	1555.9	1850.7	0.3289	1722.656	-44.14	3	d	1	XC771976
2	Waveform 1	1	5.606759108	6.003326890	1375.7	1752.4	0.3966			3	d	1	XC771976
2	Spectrogram 1	1	5.606759108	6.003326890	1375.7	1752.4	0.3966	1550.391	-38.42	3	d	1	XC771976
3	Waveform 1	1	6.216119359	6.544980446	1392.1	1785.2	0.3289			3	d	1	XC771976
3	Spectrogram 1	1	6.216119359	6.544980446	1392.1	1785.2	0.3289	1636.523	-36.88	3	d	1	XC771976
4	Waveform 1	1	5.142484632	6.544980446	1359.4	1850.7	1.4025			3	t	1	XC771976
4	Spectrogram 1	1	5.142484632	6.544980446	1359.4	1850.7	1.4025	1636.523	-36.88	3	t	1	XC771976
5	Waveform 1	1	5.471345719	5.597086724	1441.2	1785.2	0.1257			NA	cad	1	XC771976
5	Spectrogram 1	1	5.471345719	5.597086724	1441.2	1785.2	0.1257	1722.656	-53.30	NA	cad	1	XC771976
6	Waveform 1	1	6.022671660	6.206446974	1359.4	1752.4	0.1838			NA	cad	1	XC771976
6	Spectrogram 1	1	6.022671660	6.206446974	1359.4	1752.4	0.1838	1550.391	-41.58	NA	cad	1	XC771976
7	Waveform 1	1	23.490998826	23.732808449	1572.3	1850.7	0.2418			3	d	2	XC771976
7	Spectrogram 1	1	23.490998826	23.732808449	1572.3	1850.7	0.2418	1722.656	-46.49	3	d	2	XC771976
8	Waveform 1	1	23.926256147	24.264789620	1392.1	1785.2	0.3385			3	d	2	XC771976
8	Spectrogram 1	1	23.926256147	24.264789620	1392.1	1785.2	0.3385	1550.391	-35.90	3	d	2	XC771976
9	Waveform 1	1	24.487254473	24.806443176	1392.1	1834.3	0.3192			3	d	2	XC771976
9	Spectrogram 1	1	24.487254473	24.806443176	1392.1	1834.3	0.3192	1636.523	-35.61	3	d	2	XC771976
10	Waveform 1	1	23.500671211	24.787098406	1392.1	1867.1	1.2864			3	t	2	XC771976
10	Spectrogram 1	1	23.500671211	24.787098406	1392.1	1867.1	1.2864	1636.523	-35.61	3	t	2	XC771976
11	Waveform 1	1	23.742480834	23.916583763	1424.9	1785.2	0.1741			NA	cad	2	XC771976
11	Spectrogram 1	1	23.742480834	23.916583763	1424.9	1785.2	0.1741	1550.391	-42.35	NA	cad	2	XC771976
12	Waveform 1	1	24.264789620	24.506599243	1392.1	1752.4	0.2418			NA	cad	2	XC771976
12	Spectrogram 1	1	24.264789620	24.506599243	1392.1	1752.4	0.2418	1636.523	-38.39	NA	cad	2	XC771976
13	Waveform 1	1	39.547157789	39.885691261	1572.3	1834.3	0.3385			3	d	3	XC771976
13	Spectrogram 1	1	39.547157789	39.885691261	1572.3	1834.3	0.3385	1722.656	-43.87	3	d	3	XC771976
14	Waveform 1	1	39.982415111	40.408000047	1310.2	1752.4	0.4256			3	d	3	XC771976
14	Spectrogram 1	1	39.982415111	40.408000047	1310.2	1752.4	0.4256	1550.391	-34.72	3	d	3	XC771976
15	Waveform 1	1	40.514396282	40.920636449	1375.7	1850.7	0.4062			3	d	3	XC771976
15	Spectrogram 1	1	40.514396282	40.920636449	1375.7	1850.7	0.4062	1636.523	-33.27	3	d	3	XC771976
16	Waveform 1	1	39.547157789	40.910964064	1359.4	1850.7	1.3638			3	t	3	XC771976
16	Spectrogram 1	1	39.547157789	40.910964064	1359.4	1850.7	1.3638	1636.523	-33.27	3	t	3	XC771976
17	Waveform 1	1	39.876018876	39.972742726	1375.7	1752.4	0.0967			NA	cad	3	XC771976
17	Spectrogram 1	1	39.876018876	39.972742726	1375.7	1752.4	0.0967	1550.391	-39.81	NA	cad	3	XC771976
18	Waveform 1	1	40.388655278	40.524068667	1343.0	1768.8	0.1354			NA	cad	3	XC771976
18	Spectrogram 1	1	40.388655278	40.524068667	1343.0	1768.8	0.1354	1550.391	-50.78	NA	cad	3	XC771976
