Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.132956428	2.214903842	1291.2	1752.4	0.0819			4	a	1	XC780564
1	Spectrogram 1	1	2.132956428	2.214903842	1291.2	1752.4	0.0819	-35.57	1593.750	4	a	1	XC780564
2	Waveform 1	1	2.290997869	2.706588327	1337.4	1798.5	0.4156			4	d	1	XC780564
2	Spectrogram 1	1	2.290997869	2.706588327	1337.4	1798.5	0.4156	-14.25	1593.750	4	d	1	XC780564
3	Waveform 1	1	2.905603476	3.309487160	1199.0	1706.3	0.4039			4	d	1	XC780564
3	Spectrogram 1	1	2.905603476	3.309487160	1199.0	1706.3	0.4039	-14.67	1406.250	4	d	1	XC780564
4	Waveform 1	1	3.438261668	3.760197939	1337.4	1798.5	0.3219			4	d	1	XC780564
4	Spectrogram 1	1	3.438261668	3.760197939	1337.4	1798.5	0.3219	-8.60	1593.750	4	d	1	XC780564
5	Waveform 1	1	2.138809814	3.748491165	1199.0	1798.5	1.6097			4	t	1	XC780564
5	Spectrogram 1	1	2.138809814	3.748491165	1199.0	1798.5	1.6097	-8.60	1593.750	4	t	1	XC780564
6	Waveform 1	1	2.220757229	2.290997869	1152.9	1798.5	0.0702			NA	cad	1	XC780564
6	Spectrogram 1	1	2.220757229	2.290997869	1152.9	1798.5	0.0702	-59.77	1500.000	NA	cad	1	XC780564
7	Waveform 1	1	2.706588327	2.905603476	1106.8	1798.5	0.1990			NA	cad	1	XC780564
7	Spectrogram 1	1	2.706588327	2.905603476	1106.8	1798.5	0.1990	-42.31	1593.750	NA	cad	1	XC780564
8	Waveform 1	1	3.315340547	3.432408282	1199.0	1706.3	0.1171			NA	cad	1	XC780564
8	Spectrogram 1	1	3.315340547	3.432408282	1199.0	1706.3	0.1171	-41.09	1406.250	NA	cad	1	XC780564
9	Waveform 1	1	12.800180102	12.882127516	1337.4	1706.3	0.0819			4	a	2	XC780564
9	Spectrogram 1	1	12.800180102	12.882127516	1337.4	1706.3	0.0819	-37.72	1593.750	4	a	2	XC780564
10	Waveform 1	1	13.110409599	13.461612802	1245.1	1752.4	0.3512			4	d	2	XC780564
10	Spectrogram 1	1	13.110409599	13.461612802	1245.1	1752.4	0.3512	-14.72	1593.750	4	d	2	XC780564
11	Waveform 1	1	13.678188111	14.064511636	1106.8	1752.4	0.3863			4	d	2	XC780564
11	Spectrogram 1	1	13.678188111	14.064511636	1106.8	1752.4	0.3863	-14.34	1500.000	4	d	2	XC780564
12	Waveform 1	1	14.193286144	14.515222414	1291.2	1844.6	0.3219			4	d	2	XC780564
12	Spectrogram 1	1	14.193286144	14.515222414	1291.2	1844.6	0.3219	-9.24	1593.750	4	d	2	XC780564
13	Waveform 1	1	12.800180102	14.515222414	1060.7	1844.6	1.7150			4	t	2	XC780564
13	Spectrogram 1	1	12.800180102	14.515222414	1060.7	1844.6	1.7150	-9.24	1593.750	4	t	2	XC780564
14	Waveform 1	1	12.893834290	13.104556212	1060.7	1752.4	0.2107			NA	cad	2	XC780564
14	Spectrogram 1	1	12.893834290	13.104556212	1060.7	1752.4	0.2107	-46.91	1500.000	NA	cad	2	XC780564
15	Waveform 1	1	13.455759416	13.672334725	1152.9	1798.5	0.2166			NA	cad	2	XC780564
15	Spectrogram 1	1	13.455759416	13.672334725	1152.9	1798.5	0.2166	-26.51	1593.750	NA	cad	2	XC780564
16	Waveform 1	1	14.052804862	14.193286144	1106.8	1752.4	0.1405			NA	cad	2	XC780564
16	Spectrogram 1	1	14.052804862	14.193286144	1106.8	1752.4	0.1405	-34.09	1593.750	NA	cad	2	XC780564
17	Waveform 1	1	27.465678711	27.547626125	1383.5	1752.4	0.0819			4	a	3	XC780564
17	Spectrogram 1	1	27.465678711	27.547626125	1383.5	1752.4	0.0819	-44.13	1687.500	4	a	3	XC780564
18	Waveform 1	1	27.758348047	28.144671571	1291.2	1798.5	0.3863			4	d	3	XC780564
18	Spectrogram 1	1	27.758348047	28.144671571	1291.2	1798.5	0.3863	-18.84	1593.750	4	d	3	XC780564
19	Waveform 1	1	28.355393494	28.724156858	1199.0	1706.3	0.3688			4	d	3	XC780564
19	Spectrogram 1	1	28.355393494	28.724156858	1199.0	1706.3	0.3688	-17.03	1500.000	4	d	3	XC780564
20	Waveform 1	1	28.864638139	29.174867636	1291.2	1844.6	0.3102			4	d	3	XC780564
20	Spectrogram 1	1	28.864638139	29.174867636	1291.2	1844.6	0.3102	-12.50	1593.750	4	d	3	XC780564
21	Waveform 1	1	27.465678711	29.180721023	1199.0	1844.6	1.7150			4	t	3	XC780564
21	Spectrogram 1	1	27.465678711	29.180721023	1199.0	1844.6	1.7150	-12.50	1593.750	4	t	3	XC780564
22	Waveform 1	1	27.547626125	27.752494661	1199.0	1798.5	0.2049			NA	cad	3	XC780564
22	Spectrogram 1	1	27.547626125	27.752494661	1199.0	1798.5	0.2049	-57.96	1500.000	NA	cad	3	XC780564
23	Waveform 1	1	28.127111411	28.343686720	1152.9	1844.6	0.2166			NA	cad	3	XC780564
23	Spectrogram 1	1	28.127111411	28.343686720	1152.9	1844.6	0.2166	-38.66	1593.750	NA	cad	3	XC780564
24	Waveform 1	1	28.730010244	28.858784753	1152.9	1798.5	0.1288			NA	cad	3	XC780564
24	Spectrogram 1	1	28.730010244	28.858784753	1152.9	1798.5	0.1288	-35.23	1406.250	NA	cad	3	XC780564
