Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo 
1	Waveform 1	1	2.935598690	3.022445980	1402.4	1686.4			0.0868	4	d	1	XC780567
1	Spectrogram 1	1	2.935598690	3.022445980	1402.4	1686.4	1593.750	-38.61	0.0868	4	d	1	XC780567
2	Waveform 1	1	3.231422272	3.584239388	1384.6	1721.9			0.3528	4	d	1	XC780567
2	Spectrogram 1	1	3.231422272	3.584239388	1384.6	1721.9	1593.750	-16.78	0.3528	4	d	1	XC780567
3	Waveform 1	1	3.774217835	4.186742462	1189.3	1686.4			0.4125	4	d	1	XC780567
3	Spectrogram 1	1	3.774217835	4.186742462	1189.3	1686.4	1406.250	-16.32	0.4125	4	d	1	XC780567
4	Waveform 1	1	4.284445664	4.672544491	1402.4	1792.9			0.3881	4	d	1	XC780567
4	Spectrogram 1	1	4.284445664	4.672544491	1402.4	1792.9	1593.750	-9.25	0.3881	4	d	1	XC780567
5	Waveform 1	1	2.930170734	4.672544491	1207.1	1792.9			1.7424	4	t	1	XC780567
5	Spectrogram 1	1	2.930170734	4.672544491	1207.1	1792.9	1593.750	-9.25	1.7424	4	t	1	XC780567
6	Waveform 1	1	3.022445980	3.231422272	1189.3	1775.1			0.2090	NA	cad	1	XC780567
6	Spectrogram 1	1	3.022445980	3.231422272	1189.3	1775.1	1500.000	-43.14	0.2090	NA	cad	1	XC780567
7	Waveform 1	1	3.584239388	3.774217835	1313.6	1757.4			0.1900	NA	cad	1	XC780567
7	Spectrogram 1	1	3.584239388	3.774217835	1313.6	1757.4	1500.000	-35.04	0.1900	NA	cad	1	XC780567
8	Waveform 1	1	4.184028485	4.284445664	1384.6	1757.4			0.1004	NA	cad	1	XC780567
8	Spectrogram 1	1	4.184028485	4.284445664	1384.6	1757.4	1500.000	-28.46	0.1004	NA	cad	1	XC780567
9	Waveform 1	1	14.327189307	14.427606486	1331.4	1721.9			0.1004	4	d	2	XC780567
9	Spectrogram 1	1	14.327189307	14.427606486	1331.4	1721.9	1593.750	-39.90	0.1004	4	d	2	XC780567
10	Waveform 1	1	14.644724711	14.994827849	1313.6	1775.1			0.3501	4	d	2	XC780567
10	Spectrogram 1	1	14.644724711	14.994827849	1313.6	1775.1	1593.750	-16.36	0.3501	4	d	2	XC780567
11	Waveform 1	1	15.179378341	15.581047057	1189.3	1668.6			0.4017	4	d	2	XC780567
11	Spectrogram 1	1	15.179378341	15.581047057	1189.3	1668.6	1406.250	-18.25	0.4017	4	d	2	XC780567
12	Waveform 1	1	15.705890037	16.083132953	1349.1	1810.7			0.3772	4	d	2	XC780567
12	Spectrogram 1	1	15.705890037	16.083132953	1349.1	1810.7	1593.750	-10.01	0.3772	4	d	2	XC780567
13	Waveform 1	1	14.324475329	16.104844775	1171.6	1792.9			1.7804	4	t	2	XC780567
13	Spectrogram 1	1	14.324475329	16.104844775	1171.6	1792.9	1593.750	-10.01	1.7804	4	t	2	XC780567
14	Waveform 1	1	14.430320464	14.636582778	1224.9	1686.4			0.2063	NA	cad	2	XC780567
14	Spectrogram 1	1	14.430320464	14.636582778	1224.9	1686.4	1500.000	-45.94	0.2063	NA	cad	2	XC780567
15	Waveform 1	1	14.997541827	15.176664363	1153.8	1704.1			0.1791	NA	cad	2	XC780567
15	Spectrogram 1	1	14.997541827	15.176664363	1153.8	1704.1	1593.750	-35.81	0.1791	NA	cad	2	XC780567
16	Waveform 1	1	15.586475013	15.689606170	1224.9	1775.1			0.1031	NA	cad	2	XC780567
16	Spectrogram 1	1	15.586475013	15.689606170	1224.9	1775.1	1406.250	-29.46	0.1031	NA	cad	2	XC780567
17	Waveform 1	1	26.740733746	26.824867059	1260.4	1739.6			0.0841	4	d	3	XC780567
17	Spectrogram 1	1	26.740733746	26.824867059	1260.4	1739.6	1500.000	-42.24	0.0841	4	d	3	XC780567
18	Waveform 1	1	26.925284238	27.316097043	1420.1	1792.9			0.3908	4	d	3	XC780567
18	Spectrogram 1	1	26.925284238	27.316097043	1420.1	1792.9	1593.750	-17.48	0.3908	4	d	3	XC780567
19	Waveform 1	1	27.487077645	27.880604428	1207.1	1686.4			0.3935	4	d	3	XC780567
19	Spectrogram 1	1	27.487077645	27.880604428	1207.1	1686.4	1500.000	-16.46	0.3935	4	d	3	XC780567
20	Waveform 1	1	28.019017297	28.388118280	1366.9	1846.2			0.3691	4	d	3	XC780567
20	Spectrogram 1	1	28.019017297	28.388118280	1366.9	1846.2	1593.750	-9.30	0.3691	4	d	3	XC780567
21	Waveform 1	1	26.740733746	28.390832257	1189.3	1846.2			1.6501	4	t	3	XC780567
21	Spectrogram 1	1	26.740733746	28.390832257	1189.3	1846.2	1593.750	-9.30	1.6501	4	t	3	XC780567
22	Waveform 1	1	26.824867059	26.922570260	1153.8	1792.9			0.0977	NA	cad	3	XC780567
22	Spectrogram 1	1	26.824867059	26.922570260	1153.8	1792.9	1500.000	-44.55	0.0977	NA	cad	3	XC780567
23	Waveform 1	1	27.321524999	27.484363667	1171.6	1775.1			0.1628	NA	cad	3	XC780567
23	Spectrogram 1	1	27.321524999	27.484363667	1171.6	1775.1	1593.750	-36.46	0.1628	NA	cad	3	XC780567
24	Waveform 1	1	27.880604428	28.013589341	1207.1	1828.4			0.1330	NA	cad	3	XC780567
24	Spectrogram 1	1	27.880604428	28.013589341	1207.1	1828.4	1593.750	-33.52	0.1330	NA	cad	3	XC780567
