Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.347661237	1.641211210	1321.1	1871.6	0.2935			3	d	1	XC786228
1	Spectrogram 1	1	1.347661237	1.641211210	1321.1	1871.6	0.2935	1593.750	-50.51	3	d	1	XC786228
2	Waveform 1	1	1.834687328	2.261669106	1266.1	1926.6	0.4270			3	d	1	XC786228
2	Spectrogram 1	1	1.834687328	2.261669106	1266.1	1926.6	0.4270	1500.000	-42.82	3	d	1	XC786228
3	Waveform 1	1	2.381757731	2.735352017	1651.4	1981.7	0.3536			3	d	1	XC786228
3	Spectrogram 1	1	2.381757731	2.735352017	1651.4	1981.7	0.3536	1781.250	-43.13	3	d	1	XC786228
4	Waveform 1	1	1.347661237	2.722008836	1266.1	2009.2	1.3743			3	t	1	XC786228
4	Spectrogram 1	1	1.347661237	2.722008836	1266.1	2009.2	1.3743	1500.000	-42.82	3	t	1	XC786228
5	Waveform 1	1	1.627868029	1.828015738	1266.1	1816.5	0.2001			NA	cad	1	XC786228
5	Spectrogram 1	1	1.627868029	1.828015738	1266.1	1816.5	0.2001	1687.500	-51.72	NA	cad	1	XC786228
6	Waveform 1	1	2.261669106	2.375086141	1293.6	1954.1	0.1134			NA	cad	1	XC786228
6	Spectrogram 1	1	2.261669106	2.375086141	1293.6	1954.1	0.1134	1500.000	-56.24	NA	cad	1	XC786228
7	Waveform 1	1	14.737085143	15.043978296	1431.2	1926.6	0.3069			3	d	2	XC786228
7	Spectrogram 1	1	14.737085143	15.043978296	1431.2	1926.6	0.3069	1687.500	-50.54	3	d	2	XC786228
8	Waveform 1	1	15.224591257	15.664916216	1293.6	1844.0	0.4403			3	d	2	XC786228
8	Spectrogram 1	1	15.224591257	15.664916216	1293.6	1844.0	0.4403	1500.000	-40.44	3	d	2	XC786228
9	Waveform 1	1	15.778333250	16.131927535	1321.1	2036.7	0.3536			3	d	2	XC786228
9	Spectrogram 1	1	15.778333250	16.131927535	1321.1	2036.7	0.3536	1781.250	-48.13	3	d	2	XC786228
10	Waveform 1	1	14.757579937	16.118584355	1321.1	1926.6	1.3610			3	t	2	XC786228
10	Spectrogram 1	1	14.757579937	16.118584355	1321.1	1926.6	1.3610	1500.000	-40.44	3	t	2	XC786228
11	Waveform 1	1	15.044458319	15.217919666	1321.1	1954.1	0.1735			NA	cad	2	XC786228
11	Spectrogram 1	1	15.044458319	15.217919666	1321.1	1954.1	0.1735	1687.500	-57.89	NA	cad	2	XC786228
12	Waveform 1	1	15.664916216	15.778333250	1293.6	1926.6	0.1134			NA	cad	2	XC786228
12	Spectrogram 1	1	15.664916216	15.778333250	1293.6	1926.6	0.1134	1406.250	-52.91	NA	cad	2	XC786228
13	Waveform 1	1	28.327061209	28.620611181	1403.7	1981.7	0.2935			3	d	3	XC786228
13	Spectrogram 1	1	28.327061209	28.620611181	1403.7	1981.7	0.2935	1593.750	-51.21	3	d	3	XC786228
14	Waveform 1	1	28.780729348	29.247740668	1266.1	1871.6	0.4670			3	d	3	XC786228
14	Spectrogram 1	1	28.780729348	29.247740668	1266.1	1871.6	0.4670	1500.000	-40.30	3	d	3	XC786228
15	Waveform 1	1	29.341142932	29.794811071	1403.7	2091.7	0.4537			3	d	3	XC786228
15	Spectrogram 1	1	29.341142932	29.794811071	1403.7	2091.7	0.4537	1593.750	-40.43	3	d	3	XC786228
16	Waveform 1	1	28.327061209	29.781467891	1293.6	1981.7	1.4544			3	t	3	XC786228
16	Spectrogram 1	1	28.327061209	29.781467891	1293.6	1981.7	1.4544	1500.000	-40.30	3	t	3	XC786228
17	Waveform 1	1	28.620611181	28.780729348	1293.6	1954.1	0.1601			NA	cad	3	XC786228
17	Spectrogram 1	1	28.620611181	28.780729348	1293.6	1954.1	0.1601	1687.500	-58.84	NA	cad	3	XC786228
18	Waveform 1	1	29.247740668	29.341142932	1321.1	1926.6	0.0934			NA	cad	3	XC786228
18	Spectrogram 1	1	29.247740668	29.341142932	1321.1	1926.6	0.0934	1406.250	-54.62	NA	cad	3	XC786228
