Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Delta Time (s)	total elementos	tipo de nota	canto	nombre archivo
6	Waveform 1	1	1.223294616	1.298683940	1242.0	1935.0			0.0754	NA	cad	1	XC854527
6	Spectrogram 1	1	1.223294616	1.298683940	1242.0	1935.0	1550.391	-49.95	0.0754	NA	cad	1	XC854527
4	Waveform 1	1	0.296634184	1.876668752	1285.3	1978.3			1.5800	3	t	1	XC854527
4	Spectrogram 1	1	0.296634184	1.876668752	1285.3	1978.3	1636.523	-32.05	1.5800	3	t	1	XC854527
10	Waveform 1	1	10.234272512	11.880272737	1285.3	1891.7			1.6460	3	t	2	XC854527
10	Spectrogram 1	1	10.234272512	11.880272737	1285.3	1891.7	1636.523	-31.49	1.6460	3	t	2	XC854527
12	Waveform 1	1	11.255169598	11.317994034	1285.3	1805.1			0.0628	NA	cad	2	XC854527
12	Spectrogram 1	1	11.255169598	11.317994034	1285.3	1805.1	1550.391	-43.81	0.0628	NA	cad	2	XC854527
8	Waveform 1	1	10.743150444	11.245745933	1328.7	1761.8			0.5026	3	d	2	XC854527
8	Spectrogram 1	1	10.743150444	11.245745933	1328.7	1761.8	1636.523	-33.28	0.5026	3	d	2	XC854527
11	Waveform 1	1	10.674043564	10.743150444	1328.7	1805.1			0.0691	NA	cad	2	XC854527
11	Spectrogram 1	1	10.674043564	10.743150444	1328.7	1805.1	1464.258	-50.98	0.0691	NA	cad	2	XC854527
14	Waveform 1	1	20.797331564	21.321915606	1328.7	1848.4			0.5246	3	d	3	XC854527
14	Spectrogram 1	1	20.797331564	21.321915606	1328.7	1848.4	1636.523	-34.24	0.5246	3	d	3	XC854527
1	Waveform 1	1	0.299775406	0.620180030	1372.0	1978.3			0.3204	3	d	1	XC854527
1	Spectrogram 1	1	0.299775406	0.620180030	1372.0	1978.3	1722.656	-39.00	0.3204	3	d	1	XC854527
2	Waveform 1	1	0.717557906	1.223294616	1372.0	1848.4			0.5057	3	d	1	XC854527
2	Spectrogram 1	1	0.717557906	1.223294616	1372.0	1848.4	1636.523	-32.05	0.5057	3	d	1	XC854527
3	Waveform 1	1	1.301825162	1.873527530	1415.3	1935.0			0.5717	3	d	1	XC854527
3	Spectrogram 1	1	1.301825162	1.873527530	1415.3	1935.0	1722.656	-33.00	0.5717	3	d	1	XC854527
13	Waveform 1	1	20.282171189	20.718801019	1415.3	1978.3			0.4366	3	d	3	XC854527
13	Spectrogram 1	1	20.282171189	20.718801019	1415.3	1978.3	1722.656	-36.90	0.4366	3	d	3	XC854527
15	Waveform 1	1	21.372175154	21.947018745	1415.3	1978.3			0.5748	3	d	3	XC854527
15	Spectrogram 1	1	21.372175154	21.947018745	1415.3	1978.3	1722.656	-29.41	0.5748	3	d	3	XC854527
16	Waveform 1	1	20.282171189	21.953301188	1429.2	1978.3			1.6711	3	t	3	XC854527
16	Spectrogram 1	1	20.282171189	21.953301188	1429.2	1978.3	1722.656	-29.41	1.6711	3	t	3	XC854527
9	Waveform 1	1	11.321135256	11.864566628	1458.6	1935.0			0.5434	3	d	2	XC854527
9	Spectrogram 1	1	11.321135256	11.864566628	1458.6	1935.0	1636.523	-31.49	0.5434	3	d	2	XC854527
5	Waveform 1	1	0.623321252	0.717557906	1501.9	1848.4			0.0942	NA	cad	1	XC854527
5	Spectrogram 1	1	0.623321252	0.717557906	1501.9	1848.4	1550.391	-54.17	0.0942	NA	cad	1	XC854527
7	Waveform 1	1	10.237413734	10.677184786	1545.2	1891.7			0.4398	3	d	2	XC854527
7	Spectrogram 1	1	10.237413734	10.677184786	1545.2	1891.7	1722.656	-40.10	0.4398	3	d	2	XC854527
17	Waveform 1	1	20.715659798	20.794190343	1559.2	1905.7			0.0785	NA	cad	3	XC854527
17	Spectrogram 1	1	20.715659798	20.794190343	1559.2	1905.7	1722.656	-51.08	0.0785	NA	cad	3	XC854527
18	Waveform 1	1	21.321915606	21.372175154	1689.1	1862.3			0.0503	NA	cad	3	XC854527
18	Spectrogram 1	1	21.321915606	21.372175154	1689.1	1862.3	1722.656	-58.95	0.0503	NA	cad	3	XC854527
