Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	0.296570844	0.622011415	1533.8	1949.1	0.3254		3	d	1	XC854527
1	Spectrogram 1	1	0.296570844	0.622011415	1533.8	1949.1	0.3254	-39.00	3	d	1	XC854527
2	Waveform 1	1	0.699985699	1.196020119	1390.2	1729.1	0.4960		3	d	1	XC854527
2	Spectrogram 1	1	0.699985699	1.196020119	1390.2	1729.1	0.4960	-32.05	3	d	1	XC854527
3	Waveform 1	1	1.319212293	1.859863565	1548.3	1842.0	0.5407		3	d	1	XC854527
3	Spectrogram 1	1	1.319212293	1.859863565	1548.3	1842.0	0.5407	-33.00	3	d	1	XC854527
4	Waveform 1	1	0.293946323	1.855536163	1390.2	1955.0	1.5616		3	t	1	XC854527
4	Spectrogram 1	1	0.293946323	1.855536163	1390.2	1955.0	1.5616	-32.05	3	t	1	XC854527
5	Waveform 1	1	0.624635936	0.700747037	1390.2	1909.8	0.0761		NA	cad	1	XC854527
5	Spectrogram 1	1	0.624635936	0.700747037	1390.2	1909.8	0.0761	-55.45	NA	cad	1	XC854527
6	Waveform 1	1	1.196781457	1.317509411	1390.2	1887.2	0.1207		NA	cad	1	XC854527
6	Spectrogram 1	1	1.196781457	1.317509411	1390.2	1887.2	0.1207	-45.86	NA	cad	1	XC854527
7	Waveform 1	1	10.249314279	10.658739514	1616.1	1887.2	0.4094		3	d	2	XC854527
7	Spectrogram 1	1	10.249314279	10.658739514	1616.1	1887.2	0.4094	-40.10	3	d	2	XC854527
8	Waveform 1	1	10.745348699	11.233509556	1412.8	1706.5	0.4882		3	d	2	XC854527
8	Spectrogram 1	1	10.745348699	11.233509556	1412.8	1706.5	0.4882	-33.28	3	d	2	XC854527
9	Waveform 1	1	11.353095525	11.864877069	1593.5	1842.0	0.5118		3	d	2	XC854527
9	Spectrogram 1	1	11.353095525	11.864877069	1593.5	1842.0	0.5118	-31.49	3	d	2	XC854527
10	Waveform 1	1	10.259431715	11.865638408	1412.8	1955.0	1.6062		3	t	2	XC854527
10	Spectrogram 1	1	10.259431715	11.865638408	1412.8	1955.0	1.6062	-31.49	3	t	2	XC854527
11	Waveform 1	1	10.666232430	10.744968052	1322.4	1864.6	0.0787		NA	cad	2	XC854527
11	Spectrogram 1	1	10.666232430	10.744968052	1322.4	1864.6	0.0787	-50.98	NA	cad	2	XC854527
12	Waveform 1	1	11.233128910	11.345983302	1458.0	1909.8	0.1129		NA	cad	2	XC854527
12	Spectrogram 1	1	11.233128910	11.345983302	1458.0	1909.8	0.1129	-37.46	NA	cad	2	XC854527
13	Waveform 1	1	20.295558776	20.704984012	1593.5	1842.0	0.4094		3	d	3	XC854527
13	Spectrogram 1	1	20.295558776	20.704984012	1593.5	1842.0	0.4094	-36.90	3	d	3	XC854527
14	Waveform 1	1	20.807340321	21.266631450	1435.4	1683.9	0.4593		3	d	3	XC854527
14	Spectrogram 1	1	20.807340321	21.266631450	1435.4	1683.9	0.4593	-34.24	3	d	3	XC854527
15	Waveform 1	1	21.389983925	21.930635197	1480.5	1796.8	0.5407		3	d	3	XC854527
15	Spectrogram 1	1	21.389983925	21.930635197	1480.5	1796.8	0.5407	-29.41	3	d	3	XC854527
16	Waveform 1	1	20.295558776	21.933259718	1435.4	1819.4	1.6377		3	t	3	XC854527
16	Spectrogram 1	1	20.295558776	21.933259718	1435.4	1819.4	1.6377	-29.41	3	t	3	XC854527
17	Waveform 1	1	20.710233053	20.802091279	1435.4	1796.8	0.0919		NA	cad	3	XC854527
17	Spectrogram 1	1	20.710233053	20.802091279	1435.4	1796.8	0.0919	-46.91	NA	cad	3	XC854527
18	Waveform 1	1	21.274505012	21.389983925	1435.4	1796.8	0.1155		NA	cad	3	XC854527
18	Spectrogram 1	1	21.274505012	21.389983925	1435.4	1796.8	0.1155	-42.95	NA	cad	3	XC854527
