Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Power Density (dB FS/Hz)	Peak Freq (Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	0.934634922	1.393964050	1376.4	1813.6	0.4593			3	d	1	XC871762
1	Spectrogram 1	1	0.934634922	1.393964050	1376.4	1813.6	0.4593	-42.20	1687.500	3	d	1	XC871762
2	Waveform 1	1	1.545742371	2.001077333	1327.8	1635.5	0.4553			3	d	1	XC871762
2	Spectrogram 1	1	1.545742371	2.001077333	1327.8	1635.5	0.4553	-47.08	1500.000	3	d	1	XC871762
3	Waveform 1	1	2.112913990	2.540289788	1408.8	1910.8	0.4274			3	d	1	XC871762
3	Spectrogram 1	1	2.112913990	2.540289788	1408.8	1910.8	0.4274	-35.70	1687.500	3	d	1	XC871762
4	Waveform 1	1	0.910669924	2.532301455	1392.6	1878.4	1.6216			3	t	1	XC871762
4	Spectrogram 1	1	0.910669924	2.532301455	1392.6	1878.4	1.6216	-35.70	1687.500	3	t	1	XC871762
5	Waveform 1	1	1.393964050	1.541748205	1360.2	1829.8	0.1478			NA	cad	1	XC871762
5	Spectrogram 1	1	1.393964050	1.541748205	1360.2	1829.8	0.1478	-56.19	1687.500	NA	cad	1	XC871762
6	Waveform 1	1	1.997083167	2.116908157	1372.6	1871.8	0.1198			NA	cad	1	XC871762
6	Spectrogram 1	1	1.997083167	2.116908157	1372.6	1871.8	0.1198	-59.35	1500.000	NA	cad	1	XC871762
7	Waveform 1	1	11.668334586	12.051774554	1408.3	1800.4	0.3834			3	d	2	XC871762
7	Spectrogram 1	1	11.668334586	12.051774554	1408.3	1800.4	0.3834	-42.38	1687.500	3	d	2	XC871762
8	Waveform 1	1	12.255477037	12.654893670	1354.8	1675.7	0.3994			3	d	2	XC871762
8	Spectrogram 1	1	12.255477037	12.654893670	1354.8	1675.7	0.3994	-43.15	1500.000	3	d	2	XC871762
9	Waveform 1	1	12.838625321	13.254018620	1443.9	1925.2	0.4154			3	d	2	XC871762
9	Spectrogram 1	1	12.838625321	13.254018620	1443.9	1925.2	0.4154	-33.51	1781.250	3	d	2	XC871762
10	Waveform 1	1	11.660346253	13.262006953	1390.4	1871.8	1.6017			3	t	2	XC871762
10	Spectrogram 1	1	11.660346253	13.262006953	1390.4	1871.8	1.6017	-33.51	1781.250	3	t	2	XC871762
11	Waveform 1	1	12.055768720	12.255477037	1408.3	1871.8	0.1997			NA	cad	2	XC871762
11	Spectrogram 1	1	12.055768720	12.255477037	1408.3	1871.8	0.1997	-52.08	1687.500	NA	cad	2	XC871762
12	Waveform 1	1	12.654893670	12.842619488	1408.3	1836.1	0.1877			NA	cad	2	XC871762
12	Spectrogram 1	1	12.654893670	12.842619488	1408.3	1836.1	0.1877	-54.79	1500.000	NA	cad	2	XC871762
13	Waveform 1	1	26.904295652	27.347648115	1426.1	1871.8	0.4434			3	d	3	XC871762
13	Spectrogram 1	1	26.904295652	27.347648115	1426.1	1871.8	0.4434	-39.94	1687.500	3	d	3	XC871762
14	Waveform 1	1	27.515403101	27.954761398	1301.3	1693.5	0.4394			3	d	3	XC871762
14	Spectrogram 1	1	27.515403101	27.954761398	1301.3	1693.5	0.4394	-39.36	1500.000	3	d	3	XC871762
16	Waveform 1	1	28.114528051	28.537909682	1408.3	1925.2	0.4234			3	d	3	XC871762
16	Spectrogram 1	1	28.114528051	28.537909682	1408.3	1925.2	0.4234	-32.95	1781.250	3	d	3	XC871762
17	Waveform 1	1	26.900301486	28.533915516	1319.1	1889.6	1.6336			3	t	3	XC871762
17	Spectrogram 1	1	26.900301486	28.533915516	1319.1	1889.6	1.6336	-32.95	1781.250	3	t	3	XC871762
18	Waveform 1	1	27.347648115	27.515403101	1301.3	1836.1	0.1678			NA	cad	3	XC871762
18	Spectrogram 1	1	27.347648115	27.515403101	1301.3	1836.1	0.1678	-56.41	1687.500	NA	cad	3	XC871762
19	Waveform 1	1	27.954761398	28.110533885	1390.4	1943.1	0.1558			3	cad	3	XC871762
19	Spectrogram 1	1	27.954761398	28.110533885	1390.4	1943.1	0.1558	-52.68	1500.000	3	cad	3	XC871762
