Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.091879485	1.344735787	1506.800	1794.500	0.2529		3	d	1	XC871762
1	Spectrogram 1	1	1.091879485	1.344735787	1506.800	1794.500	0.2529	1550.391	3	d	1	XC871762
2	Waveform 1	1	1.557364949	1.959636339	1379.300	1586.200	0.4023		3	d	1	XC871762
2	Spectrogram 1	1	1.557364949	1.959636339	1379.300	1586.200	0.4023	1550.391	3	d	1	XC871762
3	Waveform 1	1	2.155025299	2.540056486	1413.800	1689.700	0.3850		3	d	1	XC871762
3	Spectrogram 1	1	2.155025299	2.540056486	1413.800	1689.700	0.3850	1636.523	3	d	1	XC871762
4	Waveform 1	1	1.097626219	2.534309752	1310.300	1827.600	1.4367		3	t	1	XC871762
4	Spectrogram 1	1	1.097626219	2.534309752	1310.300	1827.600	1.4367	1722.656	3	t	1	XC871762
5	Waveform 1	1	1.340396643	1.559828595	1292.300	1706.800	0.2194		NA	cad	1	XC871762
5	Spectrogram 1	1	1.340396643	1.559828595	1292.300	1706.800	0.2194	1636.523	NA	cad	1	XC871762
6	Waveform 1	1	1.958056953	2.153107577	1389.800	1609.300	0.1951		NA	cad	1	XC871762
6	Spectrogram 1	1	1.958056953	2.153107577	1389.800	1609.300	0.1951	1464.258	NA	cad	1	XC871762
7	Waveform 1	1	11.670015984	12.049300436	1487.400	1682.400	0.3793		3	d	2	XC871762
7	Spectrogram 1	1	11.670015984	12.049300436	1487.400	1682.400	0.3793	1636.523	3	d	2	XC871762
8	Waveform 1	1	12.255157708	12.668922566	1365.400	1609.300	0.4138		3	d	2	XC871762
8	Spectrogram 1	1	12.255157708	12.668922566	1365.400	1609.300	0.4138	1378.125	3	d	2	XC871762
9	Waveform 1	1	12.849944691	13.240722612	1341.100	1926.300	0.3908		3	d	2	XC871762
9	Spectrogram 1	1	12.849944691	13.240722612	1341.100	1926.300	0.3908	1636.523	3	d	2	XC871762
10	Waveform 1	1	11.671864194	13.240722612	1267.900	1901.900	1.5689		3	t	2	XC871762
10	Spectrogram 1	1	11.671864194	13.240722612	1267.900	1901.900	1.5689	1722.656	3	t	2	XC871762
11	Waveform 1	1	12.039655179	12.255157708	1267.900	1706.800	0.2155		NA	cad	2	XC871762
11	Spectrogram 1	1	12.039655179	12.255157708	1267.900	1706.800	0.2155	1291.992	NA	cad	2	XC871762
12	Waveform 1	1	12.666049199	12.832704489	1219.100	1706.800	0.1667		NA	cad	2	XC871762
12	Spectrogram 1	1	12.666049199	12.832704489	1219.100	1706.800	0.1667	1291.992	NA	cad	2	XC871762
13	Waveform 1	1	26.926744558	27.339072732	1414.200	1828.700	0.4123		3	d	3	XC871762
13	Spectrogram 1	1	26.926744558	27.339072732	1414.200	1828.700	0.4123	1464.258	3	d	3	XC871762
14	Waveform 1	1	27.541645110	27.935296398	1389.800	1658.000	0.3937		3	d	3	XC871762
14	Spectrogram 1	1	27.541645110	27.935296398	1389.800	1658.000	0.3937	1464.258	3	d	3	XC871762
15	Waveform 1	1	28.133558726	28.521463280	1438.600	1828.700	0.3879		3	d	3	XC871762
15	Spectrogram 1	1	28.133558726	28.521463280	1438.600	1828.700	0.3879	1464.258	3	d	3	XC871762
16	Waveform 1	1	26.923871191	28.524336647	1267.900	1877.500	1.6005		3	t	3	XC871762
16	Spectrogram 1	1	26.923871191	28.524336647	1267.900	1877.500	1.6005	1291.992	3	t	3	XC871762
17	Waveform 1	1	27.340509416	27.533025009	1219.100	1755.600	0.1925			NA	3	XC871762
17	Spectrogram 1	1	27.340509416	27.533025009	1219.100	1755.600	0.1925	1291.992		NA	3	XC871762
18	Waveform 1	1	27.938169765	28.116318523	1170.400	1633.700	0.1781		NA	cad	3	XC871762
18	Spectrogram 1	1	27.938169765	28.116318523	1170.400	1633.700	0.1781	1291.992	NA	cad	3	XC871762
