cad,singing,ID,date,region
0.083,1,ML104776411,2018-06-04,Cesar
0.067,1,ML104776411,2018-06-04,Cesar
0.128,2,ML104776411,2018-06-04,Cesar
0.131,3,ML104776411,2018-06-04,Cesar
0.159,3,ML104776411,2018-06-04,Cesar
0.159,2,ML104776411,2018-06-04,Cesar
0.126,1,ML134949711,2017-05-21,Boyaca
0.23,1,ML134949711,2017-05-21,Boyaca
0.066,1,ML134949711,2017-05-21,Boyaca
0.112,2,ML145137171,2019-02-27,Caldas
0.076,2,ML145137171,2019-02-27,Caldas
0.103,3,ML145137171,2019-02-27,Caldas
0.067,3,ML145137171,2019-02-27,Caldas
0.076,1,ML145137171,2019-02-27,Caldas
0.121,1,ML145137171,2019-02-27,Caldas
0.175,1,ML155228091,2019-04-20,Boyaca
0.05,1,ML155228091,2019-04-20,Boyaca
0.145,1,ML160994421,2019-05-26,Boyaca
0.019,1,ML160994421,2019-05-26,Boyaca
0.069,2,ML160994421,2019-05-26,Boyaca
0.133,3,ML160994421,2019-05-26,Boyaca
0.088,2,ML160994421,2019-05-26,Boyaca
0.101,3,ML160994421,2019-05-26,Boyaca
0.117,1,ML168748811,2019-07-06,Risaralda
0.158,2,ML168748811,2019-07-06,Risaralda
0.024,1,ML168748811,2019-07-06,Risaralda
0.136,3,ML168748811,2019-07-06,Risaralda
0.09,3,ML168748811,2019-07-06,Risaralda
0.068,2,ML168748811,2019-07-06,Risaralda
0.131,1,ML176085171,2019-09-07,Boyaca
0.148,1,ML176085171,2019-09-07,Boyaca
0.246,2,ML176085171,2019-09-07,Boyaca
0.15,2,ML176085171,2019-09-07,Boyaca
0.145,2,ML176085171,2019-09-07,Boyaca
0.183,3,ML176085171,2019-09-07,Boyaca
0.152,3,ML176085171,2019-09-07,Boyaca
0.129,1,ML176342261,2019-09-03,Tolima
0.124,1,ML176342261,2019-09-03,Tolima
0.232,2,ML176342261,2019-09-03,Tolima
0.146,2,ML176342261,2019-09-03,Tolima
0.124,2,ML176342261,2019-09-03,Tolima
0.229,3,ML176342261,2019-09-03,Tolima
0.099,3,ML176342261,2019-09-03,Tolima
0.069,3,ML176342261,2019-09-03,Tolima
0.16,2,ML215054161,2016-04-01,Cundinamarca
0.126,2,ML215054161,2016-04-01,Cundinamarca
0.179,1,ML215054161,2016-04-01,Cundinamarca
0.16,1,ML215054161,2016-04-01,Cundinamarca
0.134,1,ML215054161,2016-04-01,Cundinamarca
0.182,2,ML215054161,2016-04-01,Cundinamarca
0.118,2,ML215054161,2016-04-01,Cundinamarca
0.192,2,ML215054161,2016-04-01,Cundinamarca
0.158,2,ML215054161,2016-04-01,Cundinamarca
0.135,1,ML215584781,2020-03-01,Cundinamarca
