ID;year;temperature;precipitation;max_temp;min_temp;elevation;date;region
ML104776411;2018;21.658308;16.98802016;21.87161431;21.24216508;107.6432419;4/06/2018;Cesar
ML134949711;2017;14.85160232;5.240691382;13.72865305;12.99660526;2827.362793;21/05/2017;Boyaca
ML145137171;2019;17.32405693;20.08096332;16.41247214;15.5406636;1040.869385;27/02/2019;Caldas
ML155228091;2019;13.56583444;12.27360256;13.25468172;12.56678498;2698.716064;20/04/2019;Boyaca
ML160994421;2019;13.72434813;11.67173206;13.35714947;12.84268257;2753.991943;26/05/2019;Boyaca
ML168748811;2019;18.39249678;11.19950077;17.009444;16.32245816;1193.996582;6/07/2019;Risaralda
ML176085171;2019;12.52552246;4.827568682;12.4634097;11.81269662;2753.991943;7/09/2019;Boyaca
ML176342261;2019;15.58434494;14.64236863;15.61417426;14.89023188;1518.926636;3/09/2019;Tolima
ML185348451;2019;16.18370078;12.98261066;16.14213699;15.36577287;1268.448975;22/09/2019;Caldas
ML215054161;2016;20.10379821;8.973234083;19.60282073;18.95739818;964.2814941;1/04/2016;Cundinamarca
ML215584781;2020;19.43482193;11.13503208;18.71743204;17.89367098;647.1864014;1/03/2020;Cundinamarca
ML223560251;2020;13.86878735;7.782298358;13.53404754;12.79408045;2638.706787;30/03/2020;Boyaca
ML246946471;2019;18.62716382;1.75155381;17.86366462;17.26560041;920.2996826;9/12/2019;Cundinamarca
ML253740121;2020;13.62083332;2.577581897;13.33729602;12.61659289;2613.200439;4/08/2020;Cundinamarca
ML264215601;2020;13.45776394;7.224285802;13.13358654;12.45011048;2613.200439;17/09/2020;Cundinamarca
ML265449341;2020;13.43587576;1.2355298;13.18482839;12.45137219;2753.991943;21/08/2020;Boyaca
ML302220931;2021;16.66689762;4.313406809;15.66220614;14.88372722;1300.969971;26/01/2021;Quindio
ML335305611;2021;12.73280826;0.091616659;12.17709827;11.33497374;2564.25;4/04/2021;Cundinamarca
ML379312001;2021;13.20342481;0.589716347;12.77555868;11.9187461;2613.200439;10/10/2021;Cundinamarca
ML381022231;2021;13.54782498;1.413355914;13.16252177;12.30664461;2753.991943;9/10/2021;Boyaca
