"","ID","singing","year","temperature","precipitation","max_temp","min_temp","elevation","date","region","low_freq_hz","high_freq_hz","delta_time_s","peak_freq_hz","total_elements","note","cad","month","quarter"
"1","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1278,1949,0.104,1722.7,4,"a",0.126,5,2
"2","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1278,1949,0.104,1722.7,4,"a",0.066,5,2
"3","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1278,1949,0.104,1722.7,4,"a",0.23,5,2
"4","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1246.1,1597.5,0.428,1464.3,4,"d",0.126,5,2
"5","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1246.1,1597.5,0.428,1464.3,4,"d",0.066,5,2
"6","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1246.1,1597.5,0.428,1464.3,4,"d",0.23,5,2
"7","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1373.9,1789.2,0.302,1636.5,4,"d",0.126,5,2
"8","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1373.9,1789.2,0.302,1636.5,4,"d",0.066,5,2
"9","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1373.9,1789.2,0.302,1636.5,4,"d",0.23,5,2
"10","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1437.8,1853.1,0.587,1722.7,4,"d",0.126,5,2
"11","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1437.8,1853.1,0.587,1722.7,4,"d",0.066,5,2
"12","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1437.8,1853.1,0.587,1722.7,4,"d",0.23,5,2
"13","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1246.1,1949,1.876,1636.5,4,"t",0.126,5,2
"14","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1246.1,1949,1.876,1636.5,4,"t",0.066,5,2
"15","ML134949711",1,2017,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2827.362793,2017-05-21,"Boyaca",1246.1,1949,1.876,1636.5,4,"t",0.23,5,2
"16","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1521.7,1776.6,0.462,1636.5,3,"d",0.076,2,1
"17","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1521.7,1776.6,0.462,1636.5,3,"d",0.121,2,1
"18","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1334,1688.4,0.426,1550.4,3,"d",0.076,2,1
"19","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1334,1688.4,0.426,1550.4,3,"d",0.121,2,1
"20","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1458.4,1750.1,0.305,1636.5,3,"d",0.076,2,1
"21","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1458.4,1750.1,0.305,1636.5,3,"d",0.121,2,1
"22","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1299.3,1776.6,1.409,1636.5,3,"t",0.076,2,1
"23","ML145137171",1,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1299.3,1776.6,1.409,1636.5,3,"t",0.121,2,1
"24","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1336.4,1670.5,0.453,1464.3,3,"d",0.112,2,1
"25","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1336.4,1670.5,0.453,1464.3,3,"d",0.076,2,1
"26","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1373.6,1819,0.359,1636.5,3,"d",0.112,2,1
"27","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1373.6,1819,0.359,1636.5,3,"d",0.076,2,1
"28","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1447.8,1744.8,0.422,1636.5,3,"d",0.112,2,1
"29","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1447.8,1744.8,0.422,1636.5,3,"d",0.076,2,1
"30","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1336.4,1819,1.445,1636.5,3,"t",0.112,2,1
"31","ML145137171",2,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1336.4,1819,1.445,1636.5,3,"t",0.076,2,1
"32","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1350.8,1736.7,0.345,1636.5,3,"d",0.067,2,1
"33","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1350.8,1736.7,0.345,1636.5,3,"d",0.103,2,1
"34","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1339,1696,0.444,1550.4,3,"d",0.067,2,1
"35","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1339,1696,0.444,1550.4,3,"d",0.103,2,1
"36","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1331.5,1756,1.413,1636.5,3,"t",0.067,2,1
"37","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1331.5,1756,1.413,1636.5,3,"t",0.103,2,1
"38","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1485.8,1747.9,0.449,1636.5,3,"d",0.067,2,1
"39","ML145137171",3,2019,16.4169301467095,7.63809998361568,15.6097648194087,14.8965251047815,1040.869385,2019-02-27,"Caldas",1485.8,1747.9,0.449,1636.5,3,"d",0.103,2,1
"40","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1342.2,1917.4,1.378,1722.7,3,"t",0.175,4,2
"41","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1342.2,1917.4,1.378,1722.7,3,"t",0.05,4,2
"42","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1370.3,1619.5,0.46,1550.4,3,"d",0.175,4,2
"43","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1370.3,1619.5,0.46,1550.4,3,"d",0.05,4,2
"44","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1494.9,1868.6,0.285,1722.7,3,"d",0.175,4,2
"45","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1494.9,1868.6,0.285,1722.7,3,"d",0.05,4,2
"46","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1494.9,1993.2,0.407,1722.7,3,"d",0.175,4,2
"47","ML155228091",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2698.716064,2019-04-20,"Boyaca",1494.9,1993.2,0.407,1722.7,3,"d",0.05,4,2
"48","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1474,1867.1,0.391,1636.5,3,"d",0.019,5,2
"49","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1474,1867.1,0.391,1636.5,3,"d",0.145,5,2
"50","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",884.4,1703.3,0.492,1550.4,3,"d",0.019,5,2
"51","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",884.4,1703.3,0.492,1550.4,3,"d",0.145,5,2
"52","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",786.1,1965.3,1.616,1722.7,3,"t",0.019,5,2
"53","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",786.1,1965.3,1.616,1722.7,3,"t",0.145,5,2
"54","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1244.7,1899.8,0.568,1722.7,3,"d",0.019,5,2
"55","ML160994421",1,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1244.7,1899.8,0.568,1722.7,3,"d",0.145,5,2
"56","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",917.2,1867.1,1.534,1722.7,3,"t",0.088,5,2
"57","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",917.2,1867.1,1.534,1722.7,3,"t",0.069,5,2
"58","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",917.2,1736.1,0.417,1550.4,3,"d",0.088,5,2
"59","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",917.2,1736.1,0.417,1550.4,3,"d",0.069,5,2
"60","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1048.2,1867.1,0.518,1636.5,3,"d",0.088,5,2
"61","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1048.2,1867.1,0.518,1636.5,3,"d",0.069,5,2
"62","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1179.2,1867.1,0.429,1722.7,3,"d",0.088,5,2
"63","ML160994421",2,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1179.2,1867.1,0.429,1722.7,3,"d",0.069,5,2
"64","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1053.5,1896.3,1.42,1722.7,3,"t",0.133,5,2
"65","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1053.5,1896.3,1.42,1722.7,3,"t",0.101,5,2
"66","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1264.2,1843.6,0.423,1636.5,3,"d",0.133,5,2
"67","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1264.2,1843.6,0.423,1636.5,3,"d",0.101,5,2
"68","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1053.5,1738.3,0.404,1550.4,3,"d",0.133,5,2
"69","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1053.5,1738.3,0.404,1550.4,3,"d",0.101,5,2
"70","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1106.2,1896.3,0.341,1722.7,3,"d",0.133,5,2
"71","ML160994421",3,2019,16.4943432223044,13.1326309124751,15.7089414691607,15.0220849532148,2753.991943,2019-05-26,"Boyaca",1106.2,1896.3,0.341,1722.7,3,"d",0.101,5,2
"72","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1470,1755.8,0.424,1636.5,3,"d",0.024,7,3
"73","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1470,1755.8,0.424,1636.5,3,"d",0.117,7,3
"74","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1306.7,1653.7,0.508,1464.3,3,"d",0.024,7,3
"75","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1306.7,1653.7,0.508,1464.3,3,"d",0.117,7,3
"76","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1265.8,1776.2,0.348,1636.5,3,"d",0.024,7,3
"77","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1265.8,1776.2,0.348,1636.5,3,"d",0.117,7,3
"78","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1286.2,1776.2,1.428,1636.5,3,"t",0.024,7,3
"79","ML168748811",1,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1286.2,1776.2,1.428,1636.5,3,"t",0.117,7,3
